vcf_name,ID_Berk,NMFS_DNA_ID,BOX_ID,BOX_POSITION,Population,Concentration (ng/ul),run_type
DPCh_plate1_A01_S1,CH_Plate1_1A,T144767,T1512,1A,Salmon River Fall,23.4,Fall
DPCh_plate1_A02_S2,CH_Plate1_2A,T144804,T1512,5F,Salmon River Fall,67.4,Fall
DPCh_plate1_A03_S3,CH_Plate1_3A,T145109,T1515,7G,Salmon River Spring,3.52,Spring
DPCh_plate1_A04_S4,CH_Plate1_4A,T145118,T1515,8H,Salmon River Spring,10.3,Spring
DPCh_plate1_A05_S5,CH_Plate1_5A,T144863,T1513,1A,Feather River Hatchery Fall,220,Fall
DPCh_plate1_A06_S6,CH_Plate1_6A,T144906,T1513,6D,Feather River Hatchery Fall,180,Fall
DPCh_plate1_A07_S7,CH_Plate1_7A,T145128,T1515,10B,Feather River Hatchery Spring,149,Spring
DPCh_plate1_A08_S8,CH_Plate1_8A,T145142,T1515,11H,Feather River Hatchery Spring,185,Spring
DPCh_plate1_A09_S9,CH_Plate1_9A,T144959,T1514,1A,Trinity River Hatchery Spring,104,Spring
DPCh_plate1_A10_S10,CH_Plate1_10A,T144980,T1514,3F,Trinity River Hatchery Spring,92.4,Spring
DPCh_plate1_A11_S11,CH_Plate1_11A,T145151,T1516,1A,Trinity River Hatchery Fall,116,Fall
DPCh_plate1_A12_S12,CH_Plate1_12A,T145192,T1516,6B,Trinity River Hatchery Fall,51,Fall
DPCh_plate1_B01_S13,CH_Plate1_1B,T144770,T1512,1D,Salmon River Fall,13.5,Fall
DPCh_plate1_B02_S14,CH_Plate1_2B,T144805,T1512,5G,Salmon River Fall,103,Fall
DPCh_plate1_B03_S15,CH_Plate1_3B,T145111,T1515,8A,Salmon River Spring,10.6,Spring
DPCh_plate1_B04_S16,CH_Plate1_4B,T145119,T1515,9A,Salmon River Spring,55,Spring
DPCh_plate1_B05_S17,CH_Plate1_5B,T144870,T1513,1H,Feather River Hatchery Fall,129,Fall
DPCh_plate1_B06_S18,CH_Plate1_6B,T144911,T1513,7A,Feather River Hatchery Fall,101,Fall
DPCh_plate1_B07_S19,CH_Plate1_7B,T145130,T1515,10D,Feather River Hatchery Spring,198,Spring
DPCh_plate1_B08_S20,CH_Plate1_8B,T145144,T1515,12B,Feather River Hatchery Spring,104,Spring
DPCh_plate1_B09_S21,CH_Plate1_9B,T144960,T1514,1B,Trinity River Hatchery Spring,107,Spring
DPCh_plate1_B10_S22,CH_Plate1_10B,T144981,T1514,3G,Trinity River Hatchery Spring,58.8,Spring
DPCh_plate1_B11_S23,CH_Plate1_11B,T145152,T1516,1B,Trinity River Hatchery Fall,69.2,Fall
DPCh_plate1_B12_S24,CH_Plate1_12B,T145193,T1516,6C,Trinity River Hatchery Fall,76,Fall
DPCh_plate1_C01_S25,CH_Plate1_1C,T144774,T1512,1H,Salmon River Fall,5.82,Fall
DPCh_plate1_C02_S26,CH_Plate1_2C,T144806,T1512,5H,Salmon River Fall,143,Fall
DPCh_plate1_C03_S27,CH_Plate1_3C,T145112,T1515,8B,Salmon River Spring,19.4,Spring
DPCh_plate1_C04_S28,CH_Plate1_4C,T145120,T1515,9B,Salmon River Spring,13.3,Spring
DPCh_plate1_C05_S29,CH_Plate1_5C,T144871,T1513,2A,Feather River Hatchery Fall,152,Fall
DPCh_plate1_C06_S30,CH_Plate1_6C,T144920,T1513,8B,Feather River Hatchery Fall,100,Fall
DPCh_plate1_C07_S31,CH_Plate1_7C,T145131,T1515,10E,Feather River Hatchery Spring,194,Spring
DPCh_plate1_C08_S32,CH_Plate1_8C,T145145,T1515,12C,Feather River Hatchery Spring,198,Spring
DPCh_plate1_C09_S33,CH_Plate1_9C,T144961,T1514,1C,Trinity River Hatchery Spring,124,Spring
DPCh_plate1_C10_S34,CH_Plate1_10C,T144989,T1514,4G,Trinity River Hatchery Spring,64.2,Spring
DPCh_plate1_C11_S35,CH_Plate1_11C,T145153,T1516,1C,Trinity River Hatchery Fall,62.6,Fall
DPCh_plate1_C12_S36,CH_Plate1_12C,T145200,T1516,7B,Trinity River Hatchery Fall,58.8,Fall
DPCh_plate1_D01_S37,CH_Plate1_1D,T144777,T1512,2C,Salmon River Fall,41.4,Fall
DPCh_plate1_D02_S38,CH_Plate1_2D,T144831,T1512,9A,Salmon River Fall,43.4,Fall
DPCh_plate1_D03_S39,CH_Plate1_3D,T145113,T1515,8C,Salmon River Spring,9.02,Spring
DPCh_plate1_D04_S40,CH_Plate1_4D,T145121,T1515,9C,Salmon River Spring,6.62,Spring
DPCh_plate1_D05_S41,CH_Plate1_5D,T144879,T1513,3A,Feather River Hatchery Fall,101,Fall
DPCh_plate1_D06_S42,CH_Plate1_6D,T144924,T1513,8F,Feather River Hatchery Fall,144,Fall
