sample	unit	library	flowcell	platform	barcode	sample_id	lane	fq1	fq2	kb1	kb2
s001	1	lib	whatever	ILLUMINA	DPCh_plate1_A01_S1	T144767	1	data/chinook_WGS_Berkeley_raw/DPCh_plate1_A01_S1_R1_001.fastq.gz	data/chinook_WGS_Berkeley_raw/DPCh_plate1_A01_S1_R2_001.fastq.gz	618586.2	660920.7
s002	1	lib	whatever	ILLUMINA	DPCh_plate1_A02_S2	T144804	1	data/chinook_WGS_Berkeley_raw/DPCh_plate1_A02_S2_R1_001.fastq.gz	data/chinook_WGS_Berkeley_raw/DPCh_plate1_A02_S2_R2_001.fastq.gz	1305298.5	1458576
s003	1	lib	whatever	ILLUMINA	DPCh_plate1_A03_S3	T145109	1	data/chinook_WGS_Berkeley_raw/DPCh_plate1_A03_S3_R1_001.fastq.gz	data/chinook_WGS_Berkeley_raw/DPCh_plate1_A03_S3_R2_001.fastq.gz	950097.3	1033839.1
s004	1	lib	whatever	ILLUMINA	DPCh_plate1_A04_S4	T145118	1	data/chinook_WGS_Berkeley_raw/DPCh_plate1_A04_S4_R1_001.fastq.gz	data/chinook_WGS_Berkeley_raw/DPCh_plate1_A04_S4_R2_001.fastq.gz	584464.1	618109.5
s005	1	lib	whatever	ILLUMINA	DPCh_plate1_A05_S5	T144863	1	data/chinook_WGS_Berkeley_raw/DPCh_plate1_A05_S5_R1_001.fastq.gz	data/chinook_WGS_Berkeley_raw/DPCh_plate1_A05_S5_R2_001.fastq.gz	949356.5	1091868.1
s006	1	lib	whatever	ILLUMINA	DPCh_plate1_A06_S6	T144906	1	data/chinook_WGS_Berkeley_raw/DPCh_plate1_A06_S6_R1_001.fastq.gz	data/chinook_WGS_Berkeley_raw/DPCh_plate1_A06_S6_R2_001.fastq.gz	511202.7	549412.8
s007	1	lib	whatever	ILLUMINA	DPCh_plate1_A07_S7	T145128	1	data/chinook_WGS_Berkeley_raw/DPCh_plate1_A07_S7_R1_001.fastq.gz	data/chinook_WGS_Berkeley_raw/DPCh_plate1_A07_S7_R2_001.fastq.gz	1117961.4	1301906
s008	1	lib	whatever	ILLUMINA	DPCh_plate1_A08_S8	T145142	1	data/chinook_WGS_Berkeley_raw/DPCh_plate1_A08_S8_R1_001.fastq.gz	data/chinook_WGS_Berkeley_raw/DPCh_plate1_A08_S8_R2_001.fastq.gz	1311662.5	1374270.6
s009	1	lib	whatever	ILLUMINA	DPCh_plate1_A09_S9	T144959	1	data/chinook_WGS_Berkeley_raw/DPCh_plate1_A09_S9_R1_001.fastq.gz	data/chinook_WGS_Berkeley_raw/DPCh_plate1_A09_S9_R2_001.fastq.gz	856212.3	988687.4
s010	1	lib	whatever	ILLUMINA	DPCh_plate1_A10_S10	T144980	1	data/chinook_WGS_Berkeley_raw/DPCh_plate1_A10_S10_R1_001.fastq.gz	data/chinook_WGS_Berkeley_raw/DPCh_plate1_A10_S10_R2_001.fastq.gz	1161779	1324371
s011	1	lib	whatever	ILLUMINA	DPCh_plate1_A11_S11	T145151	1	data/chinook_WGS_Berkeley_raw/DPCh_plate1_A11_S11_R1_001.fastq.gz	data/chinook_WGS_Berkeley_raw/DPCh_plate1_A11_S11_R2_001.fastq.gz	932033	1053467.4
s012	1	lib	whatever	ILLUMINA	DPCh_plate1_A12_S12	T145192	1	data/chinook_WGS_Berkeley_raw/DPCh_plate1_A12_S12_R1_001.fastq.gz	data/chinook_WGS_Berkeley_raw/DPCh_plate1_A12_S12_R2_001.fastq.gz	1053721.5	1199786.1
s013	1	lib	whatever	ILLUMINA	DPCh_plate1_B01_S13	T144770	1	data/chinook_WGS_Berkeley_raw/DPCh_plate1_B01_S13_R1_001.fastq.gz	data/chinook_WGS_Berkeley_raw/DPCh_plate1_B01_S13_R2_001.fastq.gz	1103223	1257057.6
s014	1	lib	whatever	ILLUMINA	DPCh_plate1_B02_S14	T144805	1	data/chinook_WGS_Berkeley_raw/DPCh_plate1_B02_S14_R1_001.fastq.gz	data/chinook_WGS_Berkeley_raw/DPCh_plate1_B02_S14_R2_001.fastq.gz	1188925.8	1350458.3
s015	1	lib	whatever	ILLUMINA	DPCh_plate1_B03_S15	T145111	1	data/chinook_WGS_Berkeley_raw/DPCh_plate1_B03_S15_R1_001.fastq.gz	data/chinook_WGS_Berkeley_raw/DPCh_plate1_B03_S15_R2_001.fastq.gz	1517588.8	1714267.6
s016	1	lib	whatever	ILLUMINA	DPCh_plate1_B04_S16	T145119	1	data/chinook_WGS_Berkeley_raw/DPCh_plate1_B04_S16_R1_001.fastq.gz	data/chinook_WGS_Berkeley_raw/DPCh_plate1_B04_S16_R2_001.fastq.gz	969492.8	1069695.5
s017	1	lib	whatever	ILLUMINA	DPCh_plate1_B05_S17	T144870	1	data/chinook_WGS_Berkeley_raw/DPCh_plate1_B05_S17_R1_001.fastq.gz	data/chinook_WGS_Berkeley_raw/DPCh_plate1_B05_S17_R2_001.fastq.gz	1230843.5	1418312.8
