sample	sample_id	indel_grp
s0001	C003528	spp-clarkii
s0002	C003530	spp-clarkii
s0003	C003536	spp-clarkii
s0004	C003539	spp-clarkii
s0005	C003544	spp-clarkii
s0006	C003550	spp-clarkii
s0007	C003555	spp-clarkii
s0008	C003563	spp-clarkii
s0009	C003564	spp-clarkii
s0010	C003571	spp-clarkii
s0011	C003575	spp-clarkii
s0012	C003582	spp-clarkii
s0013	C003586	spp-clarkii
s0014	C003592	spp-clarkii
s0015	C003602	spp-clarkii
s0016	C003607	spp-clarkii
s0017	C003618	spp-clarkii
s0018	C003619	spp-clarkii
s0019	C003624	spp-clarkii
s0020	C003629	spp-clarkii
s0021	C003634	spp-clarkii
s0022	C003639	spp-clarkii
s0023	C003647	spp-clarkii
s0024	C003652	spp-clarkii
s0025	C003654	spp-clarkii
s0026	C003661	spp-clarkii
s0027	C003666	spp-clarkii
s0028	C003670	spp-clarkii
s0029	C003671	spp-clarkii
s0030	C003674	spp-clarkii
s0031	M127372	spp-mykiss
s0032	M127396	spp-mykiss
s0033	M127423	spp-mykiss
s0034	M127440	spp-mykiss
s0035	M128791	spp-mykiss
s0036	M128861	spp-mykiss
s0037	M128983	spp-mykiss
s0038	M129006	spp-mykiss
s0039	M129030	spp-mykiss
s0040	M129040	spp-mykiss
s0041	M129098	spp-mykiss
s0042	M129133	spp-mykiss
s0043	M129153	spp-mykiss
s0044	M129204	spp-mykiss
s0045	M129209	spp-mykiss
s0046	M129232	spp-mykiss
s0047	M129295	spp-mykiss
s0048	M129374	spp-mykiss
s0049	M129490	spp-mykiss
s0050	M129502	spp-mykiss
s0051	M129542	spp-mykiss
s0052	M132751	spp-mykiss
s0053	M132765	spp-mykiss
s0054	M132827	spp-mykiss
s0055	M132831	spp-mykiss
s0056	M132836	spp-mykiss
s0057	M132843	spp-mykiss
s0058	M132845	spp-mykiss
s0059	M132849	spp-mykiss
s0060	M132852	spp-mykiss
s0061	M132856	spp-mykiss
s0062	M132859	spp-mykiss
s0063	M132860	spp-mykiss
s0064	M132861	spp-mykiss
s0065	M132864	spp-mykiss
s0066	M132866	spp-mykiss
s0067	M132870	spp-mykiss
s0068	M132871	spp-mykiss
s0069	M132879	spp-mykiss
s0070	M132881	spp-mykiss
s0071	M132889	spp-mykiss
s0072	M132890	spp-mykiss
s0073	M132896	spp-mykiss
s0074	M132898	spp-mykiss
s0075	M132903	spp-mykiss
s0076	M132906	spp-mykiss
s0077	M132910	spp-mykiss
s0078	M132915	spp-mykiss
s0079	M133058	spp-mykiss
s0080	M133063	spp-mykiss
s0081	M133066	spp-mykiss
s0082	M133070	spp-mykiss
s0083	M133077	spp-mykiss
s0084	M133082	spp-mykiss
s0085	M133086	spp-mykiss
s0086	M133090	spp-mykiss
s0087	M133095	spp-mykiss
s0088	M133099	spp-mykiss
s0089	M133100	spp-mykiss
s0090	M133107	spp-mykiss
s0091	M133109	spp-mykiss
s0092	M133113	spp-mykiss
s0093	M133117	spp-mykiss
s0094	M133123	spp-mykiss
s0095	M133125	spp-mykiss
s0096	M133129	spp-mykiss
s0097	M133133	spp-mykiss
s0098	M133144	spp-mykiss
s0099	M133148	spp-mykiss
s0100	M133618	spp-mykiss
s0101	M133803	spp-mykiss
s0102	M133820	spp-mykiss
