id	chrom	len	cumul
scaff_group_001	NW_005081537v1	24127801	24127801
scaff_group_001	NW_005081538v1	20615370	44743171
scaff_group_002	NW_005081539v1	19526422	64269593
scaff_group_002	NW_005081540v1	19439814	83709407
scaff_group_003	NW_005081541v1	19199999	102909406
scaff_group_003	NW_005081542v1	17182522	120091928
scaff_group_003	NW_005081543v1	16390125	136482053
scaff_group_004	NW_005081544v1	16225752	152707805
scaff_group_004	NW_005081545v1	15808273	168516078
scaff_group_004	NW_005081546v1	13251123	181767201
scaff_group_004	NW_005081547v1	12713024	194480225
scaff_group_005	NW_005081548v1	11927161	206407386
scaff_group_005	NW_005081549v1	11372716	217780102
scaff_group_005	NW_005081550v1	10845492	228625594
scaff_group_005	NW_005081551v1	10915959	239541553
scaff_group_005	NW_005081552v1	10223093	249764646
scaff_group_006	NW_005081553v1	10178608	259943254
scaff_group_006	NW_005081554v1	9919599	269862853
scaff_group_006	NW_005081555v1	9738610	279601463
scaff_group_006	NW_005081556v1	9148886	288750349
scaff_group_006	NW_005081557v1	9412929	298163278
scaff_group_007	NW_005081558v1	8584013	306747291
scaff_group_007	NW_005081559v1	8355851	315103142
scaff_group_007	NW_005081560v1	7733260	322836402
scaff_group_007	NW_005081561v1	7587459	330423861
scaff_group_007	NW_005081562v1	7551303	337975164
scaff_group_007	NW_005081563v1	7244704	345219868
scaff_group_008	NW_005081564v1	7510081	352729949
scaff_group_008	NW_005081565v1	7260678	359990627
scaff_group_008	NW_005081566v1	6552560	366543187
scaff_group_008	NW_005081567v1	6338647	372881834
scaff_group_008	NW_005081568v1	6275344	379157178
scaff_group_008	NW_005081569v1	6428186	385585364
scaff_group_008	NW_005081570v1	6421098	392006462
scaff_group_008	NW_005081571v1	6369667	398376129
scaff_group_009	NW_005081572v1	5854062	404230191
scaff_group_009	NW_005081573v1	5657613	409887804
scaff_group_009	NW_005081574v1	5690812	415578616
scaff_group_009	NW_005081575v1	5596662	421175278
scaff_group_009	NW_005081576v1	5584185	426759463
scaff_group_009	NW_005081577v1	5965230	432724693
scaff_group_009	NW_005081578v1	5641992	438366685
scaff_group_009	NW_005081579v1	5382539	443749224
scaff_group_009	NW_005081580v1	5063729	448812953
scaff_group_010	NW_005081581v1	5188199	454001152
scaff_group_010	NW_005081582v1	4964275	458965427
scaff_group_010	NW_005081583v1	4955519	463920946
scaff_group_010	NW_005081584v1	4866725	468787671
scaff_group_010	NW_005081585v1	5103085	473890756
scaff_group_010	NW_005081586v1	4753918	478644674
scaff_group_010	NW_005081587v1	4619863	483264537
scaff_group_010	NW_005081588v1	4505013	487769550
scaff_group_010	NW_005081589v1	4458466	492228016
scaff_group_010	NW_005081590v1	4656846	496884862
scaff_group_011	NW_005081591v1	4515391	501400253
scaff_group_011	NW_005081592v1	4891552	506291805
scaff_group_011	NW_005081593v1	4456365	510748170
scaff_group_011	NW_005081594v1	4430339	515178509
scaff_group_011	NW_005081595v1	4756365	519934874
scaff_group_011	NW_005081596v1	4339766	524274640
scaff_group_011	NW_005081597v1	4463627	528738267
scaff_group_011	NW_005081598v1	5008810	533747077
scaff_group_011	NW_005081599v1	4461960	538209037
scaff_group_011	NW_005081600v1	4267173	542476210
scaff_group_011	NW_005081601v1	4235148	546711358
scaff_group_012	NW_005081602v1	4246152	550957510
scaff_group_012	NW_005081603v1	4357161	555314671
scaff_group_012	NW_005081604v1	4093519	559408190
scaff_group_012	NW_005081605v1	4018548	563426738
scaff_group_012	NW_005081606v1	4160852	567587590
scaff_group_012	NW_005081607v1	4377844	571965434
scaff_group_012	NW_005081608v1	4256980	576222414
scaff_group_012	NW_005081609v1	3616420	579838834
scaff_group_012	NW_005081610v1	3547384	583386218
scaff_group_012	NW_005081611v1	3581226	586967444
scaff_group_012	NW_005081612v1	3442925	590410369
scaff_group_012	NW_005081613v1	3512439	593922808
scaff_group_012	NW_005081614v1	3395079	597317887
scaff_group_013	NW_005081615v1	3504361	600822248
scaff_group_013	NW_005081616v1	3510543	604332791
scaff_group_013	NW_005081617v1	4073067	608405858
scaff_group_013	NW_005081618v1	3424501	611830359
scaff_group_013	NW_005081619v1	3255797	615086156
scaff_group_013	NW_005081620v1	3189763	618275919
scaff_group_013	NW_005081621v1	3168318	621444237
scaff_group_013	NW_005081622v1	3071205	624515442
scaff_group_013	NW_005081623v1	3140077	627655519
scaff_group_013	NW_005081624v1	3313420	630968939
scaff_group_013	NW_005081625v1	3221608	634190547
scaff_group_013	NW_005081626v1	3359959	637550506
scaff_group_013	NW_005081627v1	2820995	640371501
scaff_group_013	NW_005081628v1	2707101	643078602
scaff_group_013	NW_005081629v1	3266250	646344852
scaff_group_014	NW_005081630v1	3704554	650049406
scaff_group_014	NW_005081631v1	2668396	652717802
scaff_group_014	NW_005081632v1	2520776	655238578
scaff_group_014	NW_005081633v1	2509543	657748121
scaff_group_014	NW_005081634v1	3178465	660926586
scaff_group_014	NW_005081635v1	2503139	663429725
scaff_group_014	NW_005081636v1	2330111	665759836
scaff_group_014	NW_005081637v1	2332526	668092362
scaff_group_014	NW_005081638v1	2499788	670592150
scaff_group_014	NW_005081639v1	2335631	672927781
scaff_group_014	NW_005081640v1	2732555	675660336
scaff_group_014	NW_005081641v1	2231522	677891858
scaff_group_014	NW_005081642v1	2153052	680044910
scaff_group_014	NW_005081643v1	2131741	682176651
scaff_group_014	NW_005081644v1	2311647	684488298
scaff_group_014	NW_005081645v1	2698535	687186833
scaff_group_014	NW_005081646v1	3535180	690722013
scaff_group_014	NW_005081647v1	2053932	692775945
scaff_group_014	NW_005081648v1	2083070	694859015
scaff_group_014	NW_005081649v1	2396297	697255312
scaff_group_014	NW_005081650v1	2057475	699312787
scaff_group_015	NW_005081651v1	2534617	701847404
scaff_group_015	NW_005081652v1	2439751	704287155
scaff_group_015	NW_005081653v1	2022704	706309859
scaff_group_015	NW_005081654v1	1930009	708239868
scaff_group_015	NW_005081655v1	1926611	710166479
scaff_group_015	NW_005081656v1	2512143	712678622
scaff_group_015	NW_005081657v1	2189579	714868201
scaff_group_015	NW_005081658v1	1821893	716690094
scaff_group_015	NW_005081659v1	1801071	718491165
scaff_group_015	NW_005081660v1	1855892	720347057
scaff_group_015	NW_005081661v1	2810194	723157251
scaff_group_015	NW_005081662v1	1786786	724944037
scaff_group_015	NW_005081663v1	1806625	726750662
scaff_group_015	NW_005081664v1	2407505	729158167
scaff_group_015	NW_005081665v1	1691053	730849220
scaff_group_015	NW_005081666v1	1883778	732732998
scaff_group_015	NW_005081667v1	1700355	734433353
scaff_group_015	NW_005081668v1	1635803	736069156
scaff_group_015	NW_005081669v1	2113411	738182567
scaff_group_015	NW_005081670v1	1583829	739766396
scaff_group_015	NW_005081671v1	1597971	741364367
scaff_group_015	NW_005081672v1	2488573	743852940
scaff_group_015	NW_005081673v1	2120562	745973502
scaff_group_015	NW_005081674v1	2177953	748151455
scaff_group_016	NW_005081675v1	2114605	750266060
scaff_group_016	NW_005081676v1	1691286	751957346
scaff_group_016	NW_005081677v1	1409741	753367087
scaff_group_016	NW_005081678v1	1751841	755118928
scaff_group_016	NW_005081679v1	1462397	756581325
scaff_group_016	NW_005081680v1	1506456	758087781
scaff_group_016	NW_005081681v1	1869171	759956952
scaff_group_016	NW_005081682v1	1748647	761705599
scaff_group_016	NW_005081683v1	1959460	763665059
scaff_group_016	NW_005081684v1	1898618	765563677
scaff_group_016	NW_005081685v1	1648736	767212413
scaff_group_016	NW_005081686v1	2378844	769591257
scaff_group_016	NW_005081687v1	1326514	770917771
scaff_group_016	NW_005081688v1	1288759	772206530
scaff_group_016	NW_005081689v1	1411539	773618069
scaff_group_016	NW_005081690v1	1926687	775544756
scaff_group_016	NW_005081691v1	1572681	777117437
scaff_group_016	NW_005081692v1	1255362	778372799
scaff_group_016	NW_005081693v1	1437200	779809999
scaff_group_016	NW_005081694v1	1205499	781015498
scaff_group_016	NW_005081695v1	1335160	782350658
scaff_group_016	NW_005081696v1	1968081	784318739
scaff_group_016	NW_005081697v1	1189320	785508059
scaff_group_016	NW_005081698v1	1683037	787191096
scaff_group_016	NW_005081699v1	1172919	788364015
scaff_group_016	NW_005081700v1	1217445	789581460
scaff_group_016	NW_005081701v1	1196078	790777538
scaff_group_016	NW_005081702v1	1090834	791868372
scaff_group_016	NW_005081703v1	1881141	793749513
scaff_group_016	NW_005081704v1	1266728	795016241
scaff_group_016	NW_005081705v1	1546649	796562890
scaff_group_016	NW_005081706v1	1526570	798089460
scaff_group_016	NW_005081707v1	1110460	799199920
scaff_group_017	NW_005081708v1	1082959	800282879
scaff_group_017	NW_005081709v1	1826650	802109529
scaff_group_017	NW_005081710v1	1842449	803951978
scaff_group_017	NW_005081711v1	1291302	805243280
scaff_group_017	NW_005081712v1	1029829	806273109
scaff_group_017	NW_005081713v1	1036292	807309401
scaff_group_017	NW_005081714v1	1456143	808765544
scaff_group_017	NW_005081715v1	959245	809724789
scaff_group_017	NW_005081716v1	1438760	811163549
scaff_group_017	NW_005081717v1	958124	812121673
scaff_group_017	NW_005081718v1	1555973	813677646
scaff_group_017	NW_005081719v1	1667129	815344775
scaff_group_017	NW_005081720v1	1134561	816479336
scaff_group_017	NW_005081721v1	1348215	817827551
scaff_group_017	NW_005081722v1	1528454	819356005
scaff_group_017	NW_005081723v1	926129	820282134
scaff_group_017	NW_005081724v1	946058	821228192
scaff_group_017	NW_005081725v1	1309180	822537372
scaff_group_017	NW_005081726v1	878076	823415448
scaff_group_017	NW_005081727v1	1024416	824439864
scaff_group_017	NW_005081728v1	1175496	825615360
scaff_group_017	NW_005081729v1	913800	826529160
scaff_group_017	NW_005081730v1	1088936	827618096
scaff_group_017	NW_005081731v1	1332312	828950408
scaff_group_017	NW_005081732v1	1176009	830126417
scaff_group_017	NW_005081733v1	982554	831108971
scaff_group_017	NW_005081734v1	978386	832087357
scaff_group_017	NW_005081735v1	1042425	833129782
scaff_group_017	NW_005081736v1	913136	834042918
scaff_group_017	NW_005081737v1	1368213	835411131
scaff_group_017	NW_005081738v1	852449	836263580
scaff_group_017	NW_005081739v1	1399377	837662957
scaff_group_017	NW_005081740v1	838212	838501169
scaff_group_017	NW_005081741v1	1279233	839780402
scaff_group_017	NW_005081742v1	825557	840605959
scaff_group_017	NW_005081743v1	1014152	841620111
scaff_group_017	NW_005081744v1	1030464	842650575
scaff_group_017	NW_005081745v1	883178	843533753
scaff_group_017	NW_005081746v1	758667	844292420
scaff_group_017	NW_005081747v1	779486	845071906
scaff_group_017	NW_005081748v1	870198	845942104
scaff_group_017	NW_005081749v1	1337797	847279901
scaff_group_017	NW_005081750v1	1261557	848541458
scaff_group_017	NW_005081751v1	1044468	849585926
scaff_group_018	NW_005081752v1	1031561	850617487
scaff_group_018	NW_005081753v1	750225	851367712
scaff_group_018	NW_005081754v1	810001	852177713
scaff_group_018	NW_005081755v1	755315	852933028
scaff_group_018	NW_005081756v1	1088771	854021799
scaff_group_018	NW_005081757v1	863662	854885461
scaff_group_018	NW_005081758v1	1220185	856105646
scaff_group_018	NW_005081759v1	794177	856899823
scaff_group_018	NW_005081760v1	1271905	858171728
scaff_group_018	NW_005081761v1	921155	859092883
scaff_group_018	NW_005081762v1	661022	859753905
scaff_group_018	NW_005081763v1	1245480	860999385
scaff_group_018	NW_005081764v1	978886	861978271
scaff_group_018	NW_005081765v1	738862	862717133
scaff_group_018	NW_005081766v1	1316434	864033567
scaff_group_018	NW_005081767v1	717310	864750877
scaff_group_018	NW_005081768v1	949835	865700712
scaff_group_018	NW_005081769v1	731032	866431744
scaff_group_018	NW_005081770v1	1035688	867467432
scaff_group_018	NW_005081771v1	578351	868045783
scaff_group_018	NW_005081772v1	611311	868657094
scaff_group_018	NW_005081773v1	624993	869282087
scaff_group_018	NW_005081774v1	700567	869982654
scaff_group_018	NW_005081775v1	606670	870589324
scaff_group_018	NW_005081776v1	675361	871264685
scaff_group_018	NW_005081777v1	1326265	872590950
scaff_group_018	NW_005081778v1	646330	873237280
scaff_group_018	NW_005081779v1	1041711	874278991
scaff_group_018	NW_005081780v1	567635	874846626
scaff_group_018	NW_005081781v1	833320	875679946
scaff_group_018	NW_005081782v1	1266348	876946294
scaff_group_018	NW_005081783v1	577082	877523376
scaff_group_018	NW_005081784v1	572131	878095507
scaff_group_018	NW_005081785v1	727287	878822794
scaff_group_018	NW_005081786v1	625968	879448762
scaff_group_018	NW_005081787v1	688612	880137374
scaff_group_018	NW_005081788v1	685200	880822574
scaff_group_018	NW_005081789v1	628570	881451144
scaff_group_018	NW_005081790v1	990080	882441224
scaff_group_018	NW_005081791v1	516901	882958125
scaff_group_018	NW_005081792v1	809322	883767447
scaff_group_018	NW_005081793v1	870193	884637640
scaff_group_018	NW_005081794v1	578149	885215789
scaff_group_018	NW_005081795v1	760359	885976148
scaff_group_018	NW_005081796v1	966413	886942561
scaff_group_018	NW_005081797v1	554467	887497028
scaff_group_018	NW_005081798v1	820433	888317461
scaff_group_018	NW_005081799v1	498572	888816033
scaff_group_018	NW_005081800v1	499548	889315581
scaff_group_018	NW_005081801v1	695644	890011225
scaff_group_018	NW_005081802v1	717144	890728369
scaff_group_018	NW_005081803v1	753498	891481867
scaff_group_018	NW_005081804v1	635365	892117232
scaff_group_018	NW_005081805v1	457463	892574695
scaff_group_018	NW_005081806v1	429611	893004306
scaff_group_018	NW_005081807v1	633172	893637478
scaff_group_018	NW_005081808v1	614006	894251484
scaff_group_018	NW_005081809v1	540563	894792047
scaff_group_018	NW_005081810v1	442776	895234823
scaff_group_018	NW_005081811v1	453455	895688278
scaff_group_018	NW_005081812v1	685770	896374048
scaff_group_018	NW_005081813v1	525062	896899110
scaff_group_018	NW_005081814v1	459172	897358282
scaff_group_018	NW_005081815v1	657322	898015604
scaff_group_018	NW_005081816v1	795034	898810638
scaff_group_018	NW_005081817v1	437601	899248239
scaff_group_018	NW_005081818v1	423136	899671375
scaff_group_019	NW_005081819v1	844369	900515744
scaff_group_019	NW_005081820v1	399474	900915218
scaff_group_019	NW_005081821v1	411424	901326642
scaff_group_019	NW_005081822v1	543549	901870191
scaff_group_019	NW_005081823v1	372114	902242305
scaff_group_019	NW_005081824v1	460039	902702344
scaff_group_019	NW_005081825v1	416768	903119112
scaff_group_019	NW_005081826v1	392903	903512015
scaff_group_019	NW_005081827v1	355097	903867112
scaff_group_019	NW_005081828v1	370485	904237597
scaff_group_019	NW_005081829v1	593875	904831472
scaff_group_019	NW_005081830v1	718261	905549733
scaff_group_019	NW_005081831v1	438198	905987931
scaff_group_019	NW_005081832v1	349547	906337478
scaff_group_019	NW_005081833v1	560750	906898228
scaff_group_019	NW_005081834v1	605066	907503294
scaff_group_019	NW_005081835v1	413171	907916465
scaff_group_019	NW_005081836v1	343471	908259936
scaff_group_019	NW_005081837v1	409729	908669665
scaff_group_019	NW_005081838v1	321342	908991007
scaff_group_019	NW_005081839v1	334989	909325996
scaff_group_019	NW_005081840v1	472373	909798369
scaff_group_019	NW_005081841v1	345384	910143753
scaff_group_019	NW_005081842v1	318084	910461837
scaff_group_019	NW_005081843v1	329010	910790847
scaff_group_019	NW_005081844v1	292358	911083205
scaff_group_019	NW_005081845v1	304213	911387418
scaff_group_019	NW_005081846v1	584034	911971452
scaff_group_019	NW_005081847v1	450212	912421664
scaff_group_019	NW_005081848v1	311296	912732960
scaff_group_019	NW_005081849v1	882981	913615941
scaff_group_019	NW_005081850v1	404370	914020311
scaff_group_019	NW_005081851v1	306686	914326997
scaff_group_019	NW_005081852v1	500491	914827488
scaff_group_019	NW_005081853v1	372703	915200191
scaff_group_019	NW_005081854v1	473659	915673850
scaff_group_019	NW_005081855v1	296469	915970319
scaff_group_019	NW_005081856v1	352171	916322490
scaff_group_019	NW_005081857v1	450306	916772796
scaff_group_019	NW_005081858v1	287312	917060108
scaff_group_019	NW_005081859v1	677380	917737488
scaff_group_019	NW_005081860v1	494677	918232165
scaff_group_019	NW_005081861v1	332740	918564905
scaff_group_019	NW_005081862v1	281062	918845967
scaff_group_019	NW_005081863v1	497390	919343357
scaff_group_019	NW_005081864v1	379380	919722737
scaff_group_019	NW_005081865v1	499673	920222410
scaff_group_019	NW_005081866v1	553535	920775945
scaff_group_019	NW_005081867v1	260234	921036179
scaff_group_019	NW_005081868v1	549951	921586130
scaff_group_019	NW_005081869v1	229733	921815863
scaff_group_019	NW_005081870v1	423299	922239162
scaff_group_019	NW_005081871v1	301607	922540769
scaff_group_019	NW_005081872v1	777614	923318383
scaff_group_019	NW_005081873v1	439494	923757877
scaff_group_019	NW_005081874v1	387596	924145473
scaff_group_019	NW_005081875v1	229185	924374658
scaff_group_019	NW_005081876v1	266586	924641244
scaff_group_019	NW_005081877v1	463702	925104946
scaff_group_019	NW_005081878v1	537258	925642204
scaff_group_019	NW_005081879v1	326419	925968623
scaff_group_019	NW_005081880v1	254863	926223486
scaff_group_019	NW_005081881v1	308446	926531932
scaff_group_019	NW_005081882v1	673622	927205554
scaff_group_019	NW_005081883v1	224620	927430174
scaff_group_019	NW_005081884v1	442076	927872250
scaff_group_019	NW_005081885v1	215647	928087897
scaff_group_019	NW_005081886v1	538111	928626008
scaff_group_019	NW_005081887v1	482995	929109003
scaff_group_019	NW_005081888v1	232030	929341033
scaff_group_019	NW_005081889v1	383705	929724738
scaff_group_019	NW_005081890v1	295690	930020428
scaff_group_019	NW_005081891v1	251859	930272287
scaff_group_019	NW_005081892v1	213218	930485505
scaff_group_019	NW_005081893v1	282453	930767958
scaff_group_019	NW_005081894v1	199591	930967549
scaff_group_019	NW_005081895v1	474111	931441660
scaff_group_019	NW_005081896v1	274732	931716392
scaff_group_019	NW_005081897v1	199654	931916046
scaff_group_019	NW_005081898v1	354082	932270128
scaff_group_019	NW_005081899v1	405843	932675971
scaff_group_019	NW_005081900v1	224158	932900129
scaff_group_019	NW_005081901v1	484951	933385080
scaff_group_019	NW_005081902v1	423396	933808476
scaff_group_019	NW_005081903v1	335246	934143722
scaff_group_019	NW_005081904v1	364630	934508352
scaff_group_019	NW_005081905v1	190682	934699034
scaff_group_019	NW_005081906v1	277725	934976759
scaff_group_019	NW_005081907v1	191121	935167880
scaff_group_019	NW_005081908v1	283730	935451610
scaff_group_019	NW_005081909v1	364397	935816007
scaff_group_019	NW_005081910v1	253643	936069650
scaff_group_019	NW_005081911v1	169889	936239539
scaff_group_019	NW_005081912v1	432040	936671579
scaff_group_019	NW_005081913v1	170911	936842490
scaff_group_019	NW_005081914v1	158675	937001165
scaff_group_019	NW_005081915v1	331605	937332770
scaff_group_019	NW_005081916v1	282019	937614789
scaff_group_019	NW_005081917v1	192581	937807370
scaff_group_019	NW_005081918v1	174563	937981933
scaff_group_019	NW_005081919v1	286262	938268195
scaff_group_019	NW_005081920v1	295922	938564117
scaff_group_019	NW_005081921v1	403622	938967739
scaff_group_019	NW_005081922v1	418612	939386351
scaff_group_019	NW_005081923v1	167611	939553962
scaff_group_019	NW_005081924v1	180953	939734915
scaff_group_019	NW_005081925v1	144432	939879347
scaff_group_019	NW_005081926v1	186122	940065469
scaff_group_019	NW_005081927v1	163977	940229446
scaff_group_019	NW_005081928v1	184749	940414195
scaff_group_019	NW_005081929v1	302097	940716292
scaff_group_019	NW_005081930v1	298395	941014687
scaff_group_019	NW_005081931v1	223346	941238033
scaff_group_019	NW_005081932v1	310219	941548252
scaff_group_019	NW_005081933v1	208529	941756781
scaff_group_019	NW_005081934v1	132496	941889277
scaff_group_019	NW_005081935v1	148417	942037694
scaff_group_019	NW_005081936v1	329776	942367470
scaff_group_019	NW_005081937v1	440375	942807845
scaff_group_019	NW_005081938v1	358858	943166703
scaff_group_019	NW_005081939v1	183703	943350406
scaff_group_019	NW_005081940v1	112990	943463396
scaff_group_019	NW_005081941v1	117674	943581070
scaff_group_019	NW_005081942v1	335057	943916127
scaff_group_019	NW_005081943v1	308850	944224977
scaff_group_019	NW_005081944v1	302372	944527349
scaff_group_019	NW_005081945v1	242141	944769490
scaff_group_019	NW_005081946v1	150635	944920125
scaff_group_019	NW_005081947v1	310360	945230485
scaff_group_019	NW_005081948v1	240745	945471230
scaff_group_019	NW_005081949v1	148651	945619881
scaff_group_019	NW_005081950v1	172339	945792220
scaff_group_019	NW_005081951v1	186825	945979045
scaff_group_019	NW_005081952v1	210442	946189487
scaff_group_019	NW_005081953v1	132581	946322068
scaff_group_019	NW_005081954v1	141571	946463639
scaff_group_019	NW_005081955v1	181421	946645060
scaff_group_019	NW_005081956v1	129397	946774457
scaff_group_019	NW_005081957v1	232568	947007025
scaff_group_019	NW_005081958v1	224289	947231314
scaff_group_019	NW_005081959v1	117322	947348636
scaff_group_019	NW_005081960v1	237355	947585991
scaff_group_019	NW_005081961v1	116999	947702990
scaff_group_019	NW_005081962v1	117879	947820869
scaff_group_019	NW_005081963v1	260703	948081572
scaff_group_019	NW_005081964v1	166948	948248520
scaff_group_019	NW_005081965v1	163558	948412078
scaff_group_019	NW_005081966v1	300018	948712096
scaff_group_019	NW_005081967v1	152183	948864279
scaff_group_019	NW_005081968v1	120861	948985140
scaff_group_019	NW_005081969v1	190312	949175452
scaff_group_019	NW_005081970v1	257378	949432830
scaff_group_019	NW_005081971v1	113130	949545960
scaff_group_019	NW_005081972v1	114802	949660762
scaff_group_019	NW_005081973v1	259590	949920352
scaff_group_020	NW_005081974v1	126618	950046970
scaff_group_020	NW_005081975v1	192253	950239223
scaff_group_020	NW_005081976v1	159388	950398611
scaff_group_020	NW_005081977v1	237497	950636108
scaff_group_020	NW_005081978v1	193482	950829590
scaff_group_020	NW_005081979v1	247747	951077337
scaff_group_020	NW_005081980v1	190577	951267914
scaff_group_020	NW_005081981v1	164697	951432611
scaff_group_020	NW_005081982v1	216424	951649035
scaff_group_020	NW_005081983v1	216678	951865713
scaff_group_020	NW_005081984v1	171283	952036996
scaff_group_020	NW_005081985v1	219900	952256896
scaff_group_020	NW_005081986v1	218071	952474967
scaff_group_020	NW_005081987v1	144021	952618988
scaff_group_020	NW_005081988v1	115748	952734736
scaff_group_020	NW_005081989v1	131426	952866162
scaff_group_020	NW_005081990v1	177049	953043211
scaff_group_020	NW_005081991v1	214963	953258174
scaff_group_020	NW_005081992v1	275891	953534065
