sample	unit	library	flowcell	platform	lane	sample_id	barcode	fq1	fq2	kb1	kb2
s0001	1	Plate1	H7TCCDSX5	ILLUMINA	3	22N01831	s0001-22N01831-Plate1	NS2943-JAustin_S4_H7TCCDSX5-Lane3/NS2943-1-22N01831_N701_s502_L003/22N01831_S1_L003_R1_001.fastq.gz	NS2943-JAustin_S4_H7TCCDSX5-Lane3/NS2943-1-22N01831_N701_s502_L003/22N01831_S1_L003_R2_001.fastq.gz	1674674.149	1752924.086
s0002	1	Plate1	H7TCCDSX5	ILLUMINA	3	22N01832	s0002-22N01832-Plate1	NS2943-JAustin_S4_H7TCCDSX5-Lane3/NS2943-2-22N01832_N702_s502_L003/22N01832_S2_L003_R1_001.fastq.gz	NS2943-JAustin_S4_H7TCCDSX5-Lane3/NS2943-2-22N01832_N702_s502_L003/22N01832_S2_L003_R2_001.fastq.gz	1480157.325	1525299.019
s0003	1	Plate1	H7TCCDSX5	ILLUMINA	3	22N01833	s0003-22N01833-Plate1	NS2943-JAustin_S4_H7TCCDSX5-Lane3/NS2943-3-22N01833_N703_s502_L003/22N01833_S3_L003_R1_001.fastq.gz	NS2943-JAustin_S4_H7TCCDSX5-Lane3/NS2943-3-22N01833_N703_s502_L003/22N01833_S3_L003_R2_001.fastq.gz	2315955.011	2502173.705
s0004	1	Plate1	H7TCCDSX5	ILLUMINA	3	22N01834	s0004-22N01834-Plate1	NS2943-JAustin_S4_H7TCCDSX5-Lane3/NS2943-4-22N01834_N704_s502_L003/22N01834_S4_L003_R1_001.fastq.gz	NS2943-JAustin_S4_H7TCCDSX5-Lane3/NS2943-4-22N01834_N704_s502_L003/22N01834_S4_L003_R2_001.fastq.gz	2040705.434	2172018.748
s0005	1	Plate1	H7TCCDSX5	ILLUMINA	3	22N01835	s0005-22N01835-Plate1	NS2943-JAustin_S4_H7TCCDSX5-Lane3/NS2943-5-22N01835_N705_s502_L003/22N01835_S5_L003_R1_001.fastq.gz	NS2943-JAustin_S4_H7TCCDSX5-Lane3/NS2943-5-22N01835_N705_s502_L003/22N01835_S5_L003_R2_001.fastq.gz	2593390.635	2741622.459
s0006	1	Plate1	H7TCCDSX5	ILLUMINA	3	22N01836	s0006-22N01836-Plate1	NS2943-JAustin_S4_H7TCCDSX5-Lane3/NS2943-6-22N01836_N706_s502_L003/22N01836_S6_L003_R1_001.fastq.gz	NS2943-JAustin_S4_H7TCCDSX5-Lane3/NS2943-6-22N01836_N706_s502_L003/22N01836_S6_L003_R2_001.fastq.gz	2535857.153	2649403.752
s0007	1	Plate1	H7TCCDSX5	ILLUMINA	3	22N01837	s0007-22N01837-Plate1	NS2943-JAustin_S4_H7TCCDSX5-Lane3/NS2943-7-22N01837_N707_s502_L003/22N01837_S7_L003_R1_001.fastq.gz	NS2943-JAustin_S4_H7TCCDSX5-Lane3/NS2943-7-22N01837_N707_s502_L003/22N01837_S7_L003_R2_001.fastq.gz	2332689.752	2471779.594
s0008	1	Plate1	H7TCCDSX5	ILLUMINA	3	22N01838	s0008-22N01838-Plate1	NS2943-JAustin_S4_H7TCCDSX5-Lane3/NS2943-8-22N01838_N710_s502_L003/22N01838_S8_L003_R1_001.fastq.gz	NS2943-JAustin_S4_H7TCCDSX5-Lane3/NS2943-8-22N01838_N710_s502_L003/22N01838_S8_L003_R2_001.fastq.gz	2666919.809	2620727.136
s0009	1	Plate1	H7TCCDSX5	ILLUMINA	3	22N01839	s0009-22N01839-Plate1	NS2943-JAustin_S4_H7TCCDSX5-Lane3/NS2943-9-22N01839_N711_s502_L003/22N01839_S9_L003_R1_001.fastq.gz	NS2943-JAustin_S4_H7TCCDSX5-Lane3/NS2943-9-22N01839_N711_s502_L003/22N01839_S9_L003_R2_001.fastq.gz	2521038.026	2553087.791
s0010	1	Plate1	H7TCCDSX5	ILLUMINA	3	22N01840	s0010-22N01840-Plate1	NS2943-JAustin_S4_H7TCCDSX5-Lane3/NS2943-10-22N01840_N712_s502_L003/22N01840_S10_L003_R1_001.fastq.gz	NS2943-JAustin_S4_H7TCCDSX5-Lane3/NS2943-10-22N01840_N712_s502_L003/22N01840_S10_L003_R2_001.fastq.gz	2319768.017	2453462.006
