sample	unit	library	flowcell	platform	lane	sample_id	barcode	fq1	fq2	kb1	kb2
s0001	1	Plate1	HY3LMDSX2	ILLUMINA	3	04N8896	s0001-04N8896-Plate1	data/YEWA_transfer/YEWA_LCWG_Plate1_11032021/raw_data/s04N8896/s04N8896_1.fq.gz	data/YEWA_transfer/YEWA_LCWG_Plate1_11032021/raw_data/s04N8896/s04N8896_2.fq.gz	2143489.314	2130211.637
s0002	1	Plate1	HY3LMDSX2	ILLUMINA	3	04N8897	s0002-04N8897-Plate1	data/YEWA_transfer/YEWA_LCWG_Plate1_11032021/raw_data/s04N8897/s04N8897_1.fq.gz	data/YEWA_transfer/YEWA_LCWG_Plate1_11032021/raw_data/s04N8897/s04N8897_2.fq.gz	710813.974	718731.534
s0003	1	Plate1	HY3LMDSX2	ILLUMINA	3	04N8899	s0003-04N8899-Plate1	data/YEWA_transfer/YEWA_LCWG_Plate1_11032021/raw_data/s04N8899/s04N8899_1.fq.gz	data/YEWA_transfer/YEWA_LCWG_Plate1_11032021/raw_data/s04N8899/s04N8899_2.fq.gz	233215.592	223457.733
s0004	1	Plate1	HY3LMDSX2	ILLUMINA	3	04N8944	s0004-04N8944-Plate1	data/YEWA_transfer/YEWA_LCWG_Plate1_11032021/raw_data/s04N8944/s04N8944_1.fq.gz	data/YEWA_transfer/YEWA_LCWG_Plate1_11032021/raw_data/s04N8944/s04N8944_2.fq.gz	183867.452	179529.366
s0005	1	Plate1	HY3LMDSX2	ILLUMINA	3	04N8945	s0005-04N8945-Plate1	data/YEWA_transfer/YEWA_LCWG_Plate1_11032021/raw_data/s04N8945/s04N8945_1.fq.gz	data/YEWA_transfer/YEWA_LCWG_Plate1_11032021/raw_data/s04N8945/s04N8945_2.fq.gz	81706.389	79705.031
s0006	1	Plate1	HY3LMDSX2	ILLUMINA	3	04N8946	s0006-04N8946-Plate1	data/YEWA_transfer/YEWA_LCWG_Plate1_11032021/raw_data/s04N8946/s04N8946_1.fq.gz	data/YEWA_transfer/YEWA_LCWG_Plate1_11032021/raw_data/s04N8946/s04N8946_2.fq.gz	144550.055	139953.935
s0007	1	Plate2	H5M7NDRX2	ILLUMINA	1	04N8950	s0007-04N8950-Plate2	data/YEWA_transfer/YEWA_LCWG_Plate2_03212022_03312022/Rayne_7572_220328A7/04N8950_S213_L001_R1_001.fastq.gz	data/YEWA_transfer/YEWA_LCWG_Plate2_03212022_03312022/Rayne_7572_220328A7/04N8950_S213_L001_R2_001.fastq.gz	347587.816	356906.113
s0007	2	Plate2	H5M7NDRX2	ILLUMINA	2	04N8950	s0007-04N8950-Plate2	data/YEWA_transfer/YEWA_LCWG_Plate2_03212022_03312022/Rayne_7572_220328A7/04N8950_S213_L002_R1_001.fastq.gz	data/YEWA_transfer/YEWA_LCWG_Plate2_03212022_03312022/Rayne_7572_220328A7/04N8950_S213_L002_R2_001.fastq.gz	340963.6	350433.926
s0008	1	Plate1	HY3LMDSX2	ILLUMINA	3	04N8955	s0008-04N8955-Plate1	data/YEWA_transfer/YEWA_LCWG_Plate1_11032021/raw_data/s04N8955/s04N8955_1.fq.gz	data/YEWA_transfer/YEWA_LCWG_Plate1_11032021/raw_data/s04N8955/s04N8955_2.fq.gz	253108.076	249589.979
s0009	1	Plate1	HY3LMDSX2	ILLUMINA	3	07N51509	s0009-07N51509-Plate1	data/YEWA_transfer/YEWA_LCWG_Plate1_11032021/raw_data/s07N51509/s07N51509_1.fq.gz	data/YEWA_transfer/YEWA_LCWG_Plate1_11032021/raw_data/s07N51509/s07N51509_2.fq.gz	318121.976	315294.347
s0010	1	Plate1	HY3LMDSX2	ILLUMINA	3	07N54940	s0010-07N54940-Plate1	data/YEWA_transfer/YEWA_LCWG_Plate1_11032021/raw_data/s07N54940/s07N54940_1.fq.gz	data/YEWA_transfer/YEWA_LCWG_Plate1_11032021/raw_data/s07N54940/s07N54940_2.fq.gz	23976.153	23276.444
s0011	1	Plate1	HY3LMDSX2	ILLUMINA	3	07N54989	s0011-07N54989-Plate1	data/YEWA_transfer/YEWA_LCWG_Plate1_11032021/raw_data/s07N54989/s07N54989_1.fq.gz	data/YEWA_transfer/YEWA_LCWG_Plate1_11032021/raw_data/s07N54989/s07N54989_2.fq.gz	138731.209	135301.341
s0012	1	Plate1	HY3LMDSX2	ILLUMINA	3	07N55003	s0012-07N55003-Plate1	data/YEWA_transfer/YEWA_LCWG_Plate1_11032021/raw_data/s07N55003/s07N55003_1.fq.gz	data/YEWA_transfer/YEWA_LCWG_Plate1_11032021/raw_data/s07N55003/s07N55003_2.fq.gz	185654.143	181364.633
s0013	1	Plate1	HY3LMDSX2	ILLUMINA	3	07N64717	s0013-07N64717-Plate1	data/YEWA_transfer/YEWA_LCWG_Plate1_11032021/raw_data/s07N64717/s07N64717_1.fq.gz	data/YEWA_transfer/YEWA_LCWG_Plate1_11032021/raw_data/s07N64717/s07N64717_2.fq.gz	401419.146	391015.135
s0014	1	Plate1	HY3LMDSX2	ILLUMINA	3	07N65432	s0014-07N65432-Plate1	data/YEWA_transfer/YEWA_LCWG_Plate1_11032021/raw_data/s07N65432/s07N65432_1.fq.gz	data/YEWA_transfer/YEWA_LCWG_Plate1_11032021/raw_data/s07N65432/s07N65432_2.fq.gz	70684.935	68777.849
s0015	1	Plate1	HY3LMDSX2	ILLUMINA	3	07N65464	s0015-07N65464-Plate1	data/YEWA_transfer/YEWA_LCWG_Plate1_11032021/raw_data/s07N65464/s07N65464_1.fq.gz	data/YEWA_transfer/YEWA_LCWG_Plate1_11032021/raw_data/s07N65464/s07N65464_2.fq.gz	516782.464	533864.229
s0016	1	Plate1	HY3LMDSX2	ILLUMINA	3	07N65471	s0016-07N65471-Plate1	data/YEWA_transfer/YEWA_LCWG_Plate1_11032021/raw_data/s07N65471/s07N65471_1.fq.gz	data/YEWA_transfer/YEWA_LCWG_Plate1_11032021/raw_data/s07N65471/s07N65471_2.fq.gz	728830.861	724069.568
