sample	unit	library	flowcell	platform	lane	sample_id	barcode	fq1	fq2	kb1	kb2
s0001	1	Lib-1	HFMKHDSX3	ILLUMINA	2	T148326	T148326_2_Lib-1	data/NVS142A_Columbus_R1/T148326_T1549_1H_S88_L002_R1_001.fastq.gz	data/NVS142A_Columbus_R2/T148326_T1549_1H_S88_L002_R2_001.fastq.gz	2865865.814	2936993.592
s0002	1	Lib-1	HFMKHDSX3	ILLUMINA	2	T148327	T148327_2_Lib-1	data/NVS142A_Columbus_R1/T148327_T1549_2A_S89_L002_R1_001.fastq.gz	data/NVS142A_Columbus_R2/T148327_T1549_2A_S89_L002_R2_001.fastq.gz	2048268.071	2119511.713
s0003	1	Lib-1	HFMKHDSX3	ILLUMINA	2	T169826	T169826_2_Lib-1	data/NVS142A_Columbus_R1/T169826_T1773_1D_S15_L002_R1_001.fastq.gz	data/NVS142A_Columbus_R2/T169826_T1773_1D_S15_L002_R2_001.fastq.gz	2271566.573	2299849.866
s0004	1	Lib-1	HFMKHDSX3	ILLUMINA	2	T169832	T169832_2_Lib-1	data/NVS142A_Columbus_R1/T169832_T1773_2B_S75_L002_R1_001.fastq.gz	data/NVS142A_Columbus_R2/T169832_T1773_2B_S75_L002_R2_001.fastq.gz	2471012.31	2520327.097
s0005	1	Lib-1	HFMKHDSX3	ILLUMINA	2	T169834	T169834_2_Lib-1	data/NVS142A_Columbus_R1/T169834_T1773_2D_S76_L002_R1_001.fastq.gz	data/NVS142A_Columbus_R2/T169834_T1773_2D_S76_L002_R2_001.fastq.gz	2635454.454	2658898.335
s0006	1	Lib-1	HFMKHDSX3	ILLUMINA	2	T169837	T169837_2_Lib-1	data/NVS142A_Columbus_R1/T169837_T1773_2G_S77_L002_R1_001.fastq.gz	data/NVS142A_Columbus_R2/T169837_T1773_2G_S77_L002_R2_001.fastq.gz	2345317.211	2404844.62
s0007	1	Lib-1	HFMKHDSX3	ILLUMINA	2	T169838	T169838_2_Lib-1	data/NVS142A_Columbus_R1/T169838_T1773_2H_S78_L002_R1_001.fastq.gz	data/NVS142A_Columbus_R2/T169838_T1773_2H_S78_L002_R2_001.fastq.gz	2070594.1	2107895.719
s0008	1	Lib-1	HFMKHDSX3	ILLUMINA	2	T169849	T169849_2_Lib-1	data/NVS142A_Columbus_R1/T169849_T1773_4C_S79_L002_R1_001.fastq.gz	data/NVS142A_Columbus_R2/T169849_T1773_4C_S79_L002_R2_001.fastq.gz	2371051.939	2425038.569
s0009	1	Lib-1	HFMKHDSX3	ILLUMINA	2	T169857	T169857_2_Lib-1	data/NVS142A_Columbus_R1/T169857_T1773_5C_S93_L002_R1_001.fastq.gz	data/NVS142A_Columbus_R2/T169857_T1773_5C_S93_L002_R2_001.fastq.gz	2049779.501	2103577.577
s0010	1	Lib-1	HFMKHDSX3	ILLUMINA	2	T169868	T169868_2_Lib-1	data/NVS142A_Columbus_R1/T169868_T1773_6F_S80_L002_R1_001.fastq.gz	data/NVS142A_Columbus_R2/T169868_T1773_6F_S80_L002_R2_001.fastq.gz	2846155.337	2935228.254
s0011	1	Lib-1	HFMKHDSX3	ILLUMINA	2	T169880	T169880_2_Lib-1	data/NVS142A_Columbus_R1/T169880_T1773_8B_S81_L002_R1_001.fastq.gz	data/NVS142A_Columbus_R2/T169880_T1773_8B_S81_L002_R2_001.fastq.gz	2321510.056	2382591.591
s0012	1	Lib-1	HFMKHDSX3	ILLUMINA	2	T169883	T169883_2_Lib-1	data/NVS142A_Columbus_R1/T169883_T1773_8E_S82_L002_R1_001.fastq.gz	data/NVS142A_Columbus_R2/T169883_T1773_8E_S82_L002_R2_001.fastq.gz	1271847.872	1330460.075
s0013	1	Lib-1	HFMKHDSX3	ILLUMINA	2	T169888	T169888_2_Lib-1	data/NVS142A_Columbus_R1/T169888_T1773_9B_S94_L002_R1_001.fastq.gz	data/NVS142A_Columbus_R2/T169888_T1773_9B_S94_L002_R2_001.fastq.gz	2575931.111	2642060.387
s0014	1	Lib-1	HFMKHDSX3	ILLUMINA	2	T169897	T169897_2_Lib-1	data/NVS142A_Columbus_R1/T169897_T1773_10C_S83_L002_R1_001.fastq.gz	data/NVS142A_Columbus_R2/T169897_T1773_10C_S83_L002_R2_001.fastq.gz	2356720.979	2435622.281
s0015	1	Lib-1	HFMKHDSX3	ILLUMINA	2	T169900	T169900_2_Lib-1	data/NVS142A_Columbus_R1/T169900_T1773_10F_S84_L002_R1_001.fastq.gz	data/NVS142A_Columbus_R2/T169900_T1773_10F_S84_L002_R2_001.fastq.gz	2009054.034	2074415.963
s0016	1	Lib-1	HFMKHDSX3	ILLUMINA	2	T169906	T169906_2_Lib-1	data/NVS142A_Columbus_R1/T169906_T1773_11D_S85_L002_R1_001.fastq.gz	data/NVS142A_Columbus_R2/T169906_T1773_11D_S85_L002_R2_001.fastq.gz	2090067.879	2170936.918
s0017	1	Lib-1	HFMKHDSX3	ILLUMINA	2	T169907	T169907_2_Lib-1	data/NVS142A_Columbus_R1/T169907_T1773_11E_S86_L002_R1_001.fastq.gz	data/NVS142A_Columbus_R2/T169907_T1773_11E_S86_L002_R2_001.fastq.gz	1903620.886	1963660.189
s0018	1	Lib-1	HFMKHDSX3	ILLUMINA	2	T169913	T169913_2_Lib-1	data/NVS142A_Columbus_R1/T169913_T1773_12C_S87_L002_R1_001.fastq.gz	data/NVS142A_Columbus_R2/T169913_T1773_12C_S87_L002_R2_001.fastq.gz	2137615.4	2185919.099
s0019	1	Lib-1	HFMKHDSX3	ILLUMINA	2	T206181	T206181_2_Lib-1	data/NVS142A_Columbus_R1/T206181_T2151_9G_S90_L002_R1_001.fastq.gz	data/NVS142A_Columbus_R2/T206181_T2151_9G_S90_L002_R2_001.fastq.gz	2954009.789	3037610.75
s0020	1	Lib-1	HFMKHDSX3	ILLUMINA	2	T206182	T206182_2_Lib-1	data/NVS142A_Columbus_R1/T206182_T2151_9H_S91_L002_R1_001.fastq.gz	data/NVS142A_Columbus_R2/T206182_T2151_9H_S91_L002_R2_001.fastq.gz	2654225.623	2669514.477
s0021	1	Lib-1	HFMKHDSX3	ILLUMINA	2	T206184	T206184_2_Lib-1	data/NVS142A_Columbus_R1/T206184_T2151_10B_S92_L002_R1_001.fastq.gz	data/NVS142A_Columbus_R2/T206184_T2151_10B_S92_L002_R2_001.fastq.gz	2461171.938	2502921.912
s0022	1	Lib-1	HFMKHDSX3	ILLUMINA	2	T206192	T206192_2_Lib-1	data/NVS142A_Columbus_R1/T206192_T2151_11B_S95_L002_R1_001.fastq.gz	data/NVS142A_Columbus_R2/T206192_T2151_11B_S95_L002_R2_001.fastq.gz	2331019.429	2349815.801
s0023	1	Lib-1	HFMKHDSX3	ILLUMINA	2	T206193	T206193_2_Lib-1	data/NVS142A_Columbus_R1/T206193_T2151_11C_S72_L002_R1_001.fastq.gz	data/NVS142A_Columbus_R2/T206193_T2151_11C_S72_L002_R2_001.fastq.gz	2228808.551	2344094.984
s0024	1	Lib-1	HFMKHDSX3	ILLUMINA	2	T206203	T206203_2_Lib-1	data/NVS142A_Columbus_R1/T206203_T2151_12E_S96_L002_R1_001.fastq.gz	data/NVS142A_Columbus_R2/T206203_T2151_12E_S96_L002_R2_001.fastq.gz	2507928.763	2561723.652
