sample	unit	library	flowcell	platform	lane	sample_id	barcode	fq1	fq2	kb1	kb2
s0001	1	Lib-1	HM3Y7DSX3	ILLUMINA	4	AP027197	AP027197_4_Lib-1	data/fastq/AP027197_AP287_2A_S9_L004_R1_001.fastq.gz	data/fastq/AP027197_AP287_2A_S9_L004_R2_001.fastq.gz	1591016.777	1647561.705
s0002	1	Lib-1	HM3Y7DSX3	ILLUMINA	4	AP027199	AP027199_4_Lib-1	data/fastq/AP027199_AP287_2C_S90_L004_R1_001.fastq.gz	data/fastq/AP027199_AP287_2C_S90_L004_R2_001.fastq.gz	1047834.618	1087295.808
s0003	1	Lib-1	HM3Y7DSX3	ILLUMINA	4	AP027200	AP027200_4_Lib-1	data/fastq/AP027200_AP287_2D_S91_L004_R1_001.fastq.gz	data/fastq/AP027200_AP287_2D_S91_L004_R2_001.fastq.gz	1432300.762	1484716.245
s0004	1	Lib-1	HM3Y7DSX3	ILLUMINA	4	AP027210	AP027210_4_Lib-1	data/fastq/AP027210_AP287_3F_S92_L004_R1_001.fastq.gz	data/fastq/AP027210_AP287_3F_S92_L004_R2_001.fastq.gz	1324813.037	1387192.323
s0005	1	Lib-1	HM3Y7DSX3	ILLUMINA	4	AP027216	AP027216_4_Lib-1	data/fastq/AP027216_AP287_4D_S93_L004_R1_001.fastq.gz	data/fastq/AP027216_AP287_4D_S93_L004_R2_001.fastq.gz	2541535.35	2653884.772
s0006	1	Lib-1	HM3Y7DSX3	ILLUMINA	4	AP027217	AP027217_4_Lib-1	data/fastq/AP027217_AP287_4E_S94_L004_R1_001.fastq.gz	data/fastq/AP027217_AP287_4E_S94_L004_R2_001.fastq.gz	1146653.773	1189023.098
s0007	1	Lib-1	HM3Y7DSX3	ILLUMINA	4	AP027227	AP027227_4_Lib-1	data/fastq/AP027227_AP287_5G_S89_L004_R1_001.fastq.gz	data/fastq/AP027227_AP287_5G_S89_L004_R2_001.fastq.gz	1380944.916	1410334.869
s0008	1	Lib-1	HM3Y7DSX3	ILLUMINA	4	AP027229	AP027229_4_Lib-1	data/fastq/AP027229_AP287_6A_S95_L004_R1_001.fastq.gz	data/fastq/AP027229_AP287_6A_S95_L004_R2_001.fastq.gz	1568482.773	1607504.607
s0009	1	Lib-1	HM3Y7DSX3	ILLUMINA	4	AP027247	AP027247_4_Lib-1	data/fastq/AP027247_AP287_8C_S33_L004_R1_001.fastq.gz	data/fastq/AP027247_AP287_8C_S33_L004_R2_001.fastq.gz	1040601.094	1090768.226
s0010	1	Lib-1	HM3Y7DSX3	ILLUMINA	4	AP027249	AP027249_4_Lib-1	data/fastq/AP027249_AP287_8E_S88_L004_R1_001.fastq.gz	data/fastq/AP027249_AP287_8E_S88_L004_R2_001.fastq.gz	774237.422	800013.127
s0011	1	Lib-1	HM3Y7DSX3	ILLUMINA	4	AP027250	AP027250_4_Lib-1	data/fastq/AP027250_AP287_8F_S86_L004_R1_001.fastq.gz	data/fastq/AP027250_AP287_8F_S86_L004_R2_001.fastq.gz	1349291.636	1395702.675
s0012	1	Lib-1	HM3Y7DSX3	ILLUMINA	4	AP027255	AP027255_4_Lib-1	data/fastq/AP027255_AP287_9C_S87_L004_R1_001.fastq.gz	data/fastq/AP027255_AP287_9C_S87_L004_R2_001.fastq.gz	1265707.253	1348818.177
s0013	1	Lib-1	HM3Y7DSX3	ILLUMINA	4	AP028629	AP028629_4_Lib-1	data/fastq/AP028629_AP302_1A_S1_L004_R1_001.fastq.gz	data/fastq/AP028629_AP302_1A_S1_L004_R2_001.fastq.gz	1135079.369	1162163.975
s0014	1	Lib-1	HM3Y7DSX3	ILLUMINA	4	AP028630	AP028630_4_Lib-1	data/fastq/AP028630_AP302_1B_S2_L004_R1_001.fastq.gz	data/fastq/AP028630_AP302_1B_S2_L004_R2_001.fastq.gz	1045997.963	1064797.43
s0015	1	Lib-1	HM3Y7DSX3	ILLUMINA	4	AP028631	AP028631_4_Lib-1	data/fastq/AP028631_AP302_1C_S3_L004_R1_001.fastq.gz	data/fastq/AP028631_AP302_1C_S3_L004_R2_001.fastq.gz	1563417.822	1601751.064
s0016	1	Lib-1	HM3Y7DSX3	ILLUMINA	4	AP028632	AP028632_4_Lib-1	data/fastq/AP028632_AP302_1D_S4_L004_R1_001.fastq.gz	data/fastq/AP028632_AP302_1D_S4_L004_R2_001.fastq.gz	987359.35	1024536.551
s0017	1	Lib-1	HM3Y7DSX3	ILLUMINA	4	AP028634	AP028634_4_Lib-1	data/fastq/AP028634_AP302_1F_S6_L004_R1_001.fastq.gz	data/fastq/AP028634_AP302_1F_S6_L004_R2_001.fastq.gz	1194589.723	1278798.553
s0018	1	Lib-1	HM3Y7DSX3	ILLUMINA	4	AP028635	AP028635_4_Lib-1	data/fastq/AP028635_AP302_1G_S7_L004_R1_001.fastq.gz	data/fastq/AP028635_AP302_1G_S7_L004_R2_001.fastq.gz	1009121.209	1028129.234
s0019	1	Lib-1	HM3Y7DSX3	ILLUMINA	4	AP028636	AP028636_4_Lib-1	data/fastq/AP028636_AP302_1H_S8_L004_R1_001.fastq.gz	data/fastq/AP028636_AP302_1H_S8_L004_R2_001.fastq.gz	1312538.662	1357684.508
s0020	1	Lib-1	HM3Y7DSX3	ILLUMINA	4	AP028637	AP028637_4_Lib-1	data/fastq/AP028637_AP302_2A_S96_L004_R1_001.fastq.gz	data/fastq/AP028637_AP302_2A_S96_L004_R2_001.fastq.gz	1076671.425	1129312.277
s0021	1	Lib-1	HM3Y7DSX3	ILLUMINA	4	AP028639	AP028639_4_Lib-1	data/fastq/AP028639_AP302_2C_S11_L004_R1_001.fastq.gz	data/fastq/AP028639_AP302_2C_S11_L004_R2_001.fastq.gz	1162948.742	1191102.709
s0022	1	Lib-1	HM3Y7DSX3	ILLUMINA	4	AP028640	AP028640_4_Lib-1	data/fastq/AP028640_AP302_2D_S12_L004_R1_001.fastq.gz	data/fastq/AP028640_AP302_2D_S12_L004_R2_001.fastq.gz	1078619.132	1101678.633
s0023	1	Lib-1	HM3Y7DSX3	ILLUMINA	4	AP028641	AP028641_4_Lib-1	data/fastq/AP028641_AP302_2E_S13_L004_R1_001.fastq.gz	data/fastq/AP028641_AP302_2E_S13_L004_R2_001.fastq.gz	978151.611	1005116.487
s0024	1	Lib-1	HM3Y7DSX3	ILLUMINA	4	AP028642	AP028642_4_Lib-1	data/fastq/AP028642_AP302_2F_S14_L004_R1_001.fastq.gz	data/fastq/AP028642_AP302_2F_S14_L004_R2_001.fastq.gz	243386.041	249535.209
s0025	1	Lib-1	HM3Y7DSX3	ILLUMINA	4	AP028643	AP028643_4_Lib-1	data/fastq/AP028643_AP302_2G_S15_L004_R1_001.fastq.gz	data/fastq/AP028643_AP302_2G_S15_L004_R2_001.fastq.gz	1519562.462	1576930.637
s0026	1	Lib-1	HM3Y7DSX3	ILLUMINA	4	AP028644	AP028644_4_Lib-1	data/fastq/AP028644_AP302_2H_S16_L004_R1_001.fastq.gz	data/fastq/AP028644_AP302_2H_S16_L004_R2_001.fastq.gz	1655097.927	1690551.791
s0027	1	Lib-1	HM3Y7DSX3	ILLUMINA	4	AP028645	AP028645_4_Lib-1	data/fastq/AP028645_AP302_3A_S17_L004_R1_001.fastq.gz	data/fastq/AP028645_AP302_3A_S17_L004_R2_001.fastq.gz	1245170.343	1275921.016
s0028	1	Lib-1	HM3Y7DSX3	ILLUMINA	4	AP028646	AP028646_4_Lib-1	data/fastq/AP028646_AP302_3B_S18_L004_R1_001.fastq.gz	data/fastq/AP028646_AP302_3B_S18_L004_R2_001.fastq.gz	1388863.694	1440578.269
s0029	1	Lib-1	HM3Y7DSX3	ILLUMINA	4	AP028647	AP028647_4_Lib-1	data/fastq/AP028647_AP302_3C_S19_L004_R1_001.fastq.gz	data/fastq/AP028647_AP302_3C_S19_L004_R2_001.fastq.gz	1102756.909	1150235.506
s0030	1	Lib-1	HM3Y7DSX3	ILLUMINA	4	AP028648	AP028648_4_Lib-1	data/fastq/AP028648_AP302_3D_S20_L004_R1_001.fastq.gz	data/fastq/AP028648_AP302_3D_S20_L004_R2_001.fastq.gz	1765260.589	1826389.871
s0031	1	Lib-1	HM3Y7DSX3	ILLUMINA	4	AP028650	AP028650_4_Lib-1	data/fastq/AP028650_AP302_3F_S22_L004_R1_001.fastq.gz	data/fastq/AP028650_AP302_3F_S22_L004_R2_001.fastq.gz	1088589.325	1119193.964
s0032	1	Lib-1	HM3Y7DSX3	ILLUMINA	4	AP028651	AP028651_4_Lib-1	data/fastq/AP028651_AP302_3G_S23_L004_R1_001.fastq.gz	data/fastq/AP028651_AP302_3G_S23_L004_R2_001.fastq.gz	998937.495	1032341.684
s0033	1	Lib-1	HM3Y7DSX3	ILLUMINA	4	AP028652	AP028652_4_Lib-1	data/fastq/AP028652_AP302_3H_S24_L004_R1_001.fastq.gz	data/fastq/AP028652_AP302_3H_S24_L004_R2_001.fastq.gz	1055955.79	1104032.69
s0034	1	Lib-1	HM3Y7DSX3	ILLUMINA	4	AP028653	AP028653_4_Lib-1	data/fastq/AP028653_AP302_4A_S25_L004_R1_001.fastq.gz	data/fastq/AP028653_AP302_4A_S25_L004_R2_001.fastq.gz	1361262.778	1397445.134
s0035	1	Lib-1	HM3Y7DSX3	ILLUMINA	4	AP028654	AP028654_4_Lib-1	data/fastq/AP028654_AP302_4B_S26_L004_R1_001.fastq.gz	data/fastq/AP028654_AP302_4B_S26_L004_R2_001.fastq.gz	1225912.402	1276324.557
s0036	1	Lib-1	HM3Y7DSX3	ILLUMINA	4	AP028655	AP028655_4_Lib-1	data/fastq/AP028655_AP302_4C_S27_L004_R1_001.fastq.gz	data/fastq/AP028655_AP302_4C_S27_L004_R2_001.fastq.gz	1300089.88	1352031.538
s0037	1	Lib-1	HM3Y7DSX3	ILLUMINA	4	AP028656	AP028656_4_Lib-1	data/fastq/AP028656_AP302_4D_S28_L004_R1_001.fastq.gz	data/fastq/AP028656_AP302_4D_S28_L004_R2_001.fastq.gz	1233909.714	1276994.293
s0038	1	Lib-1	HM3Y7DSX3	ILLUMINA	4	AP028657	AP028657_4_Lib-1	data/fastq/AP028657_AP302_4E_S29_L004_R1_001.fastq.gz	data/fastq/AP028657_AP302_4E_S29_L004_R2_001.fastq.gz	1242519.491	1317922.094
s0039	1	Lib-1	HM3Y7DSX3	ILLUMINA	4	AP028659	AP028659_4_Lib-1	data/fastq/AP028659_AP302_4G_S31_L004_R1_001.fastq.gz	data/fastq/AP028659_AP302_4G_S31_L004_R2_001.fastq.gz	1119574.12	1166292.993
s0040	1	Lib-1	HM3Y7DSX3	ILLUMINA	4	AP028662	AP028662_4_Lib-1	data/fastq/AP028662_AP302_5B_S34_L004_R1_001.fastq.gz	data/fastq/AP028662_AP302_5B_S34_L004_R2_001.fastq.gz	1191385.148	1224168.852
s0041	1	Lib-1	HM3Y7DSX3	ILLUMINA	4	AP028663	AP028663_4_Lib-1	data/fastq/AP028663_AP302_5C_S35_L004_R1_001.fastq.gz	data/fastq/AP028663_AP302_5C_S35_L004_R2_001.fastq.gz	1063427.101	1107825.497
s0042	1	Lib-1	HM3Y7DSX3	ILLUMINA	4	AP028664	AP028664_4_Lib-1	data/fastq/AP028664_AP302_5D_S36_L004_R1_001.fastq.gz	data/fastq/AP028664_AP302_5D_S36_L004_R2_001.fastq.gz	1215403.12	1261215.905
