sample	sample_id	indel_grp
s0001	R035944	spp-melanops
s0002	R035945	spp-melanops
s0003	R035946	spp-melanops
s0004	R035947	spp-melanops
s0005	R035948	spp-melanops
s0006	R035949	spp-melanops
s0007	R035950	spp-melanops
s0008	R035951	spp-melanops
s0009	R035952	spp-melanops
s0010	R035953	spp-melanops
s0011	R035954	spp-melanops
s0012	R035955	spp-melanops
s0013	R035956	spp-melanops
s0014	R035957	spp-melanops
s0015	R035958	spp-melanops
s0016	R035959	spp-melanops
s0017	R035960	spp-melanops
s0018	R035961	spp-melanops
s0019	R035962	spp-melanops
s0020	R035963	spp-melanops
s0021	R035964	spp-melanops
s0022	R035965	spp-melanops
s0023	R035966	spp-melanops
s0024	R035967	spp-melanops
s0025	R035968	spp-melanops
s0026	R035969	spp-melanops
s0027	R035970	spp-melanops
s0028	R035971	spp-melanops
s0029	R035972	spp-melanops
s0030	R035973	spp-melanops
s0031	R035974	spp-melanops
s0032	R035975	spp-serranoides
s0033	R035976	spp-serranoides
s0034	R035977	spp-serranoides
s0035	R035978	spp-serranoides
s0036	R035979	spp-serranoides
s0037	R035980	spp-serranoides
s0038	R035981	spp-serranoides
s0039	R035982	spp-serranoides
s0040	R035983	spp-serranoides
s0041	R035984	spp-serranoides
s0042	R035985	spp-serranoides
s0043	R035986	spp-serranoides
s0044	R035987	spp-serranoides
s0045	R035988	spp-serranoides
s0046	R035989	spp-serranoides
s0047	R035990	spp-serranoides
s0048	R035991	spp-serranoides
s0049	R035992	spp-serranoides
s0050	R035993	spp-serranoides
s0051	R035994	spp-serranoides
s0052	R035995	spp-serranoides
s0053	R035996	spp-serranoides
s0054	R035997	spp-serranoides
s0055	R035998	spp-serranoides
s0056	R035999	spp-serranoides
s0057	R036000	spp-serranoides
s0058	R036001	spp-serranoides
s0059	R036002	spp-serranoides
s0060	R036003	spp-serranoides
s0061	R036004	spp-flavidus
s0062	R036005	spp-flavidus
s0063	R036006	spp-flavidus
s0064	R036007	spp-flavidus
s0065	R036008	spp-flavidus
s0066	R036009	spp-flavidus
s0067	R036010	spp-flavidus
s0068	R036011	spp-flavidus
s0069	R036012	spp-flavidus
s0070	R036013	spp-flavidus
s0071	R036014	spp-flavidus
s0072	R036015	spp-flavidus
s0073	R036016	spp-flavidus
s0074	R036017	spp-flavidus
s0075	R036018	spp-flavidus
s0076	R036019	spp-flavidus
s0077	R036020	spp-flavidus
s0078	R036021	spp-flavidus
s0079	R036022	spp-flavidus
s0080	R036023	spp-flavidus
s0081	R036024	spp-flavidus
s0082	R036025	spp-flavidus
s0083	R036026	spp-flavidus
s0084	R036027	spp-flavidus
s0085	R036028	spp-flavidus
s0086	R036029	spp-flavidus
s0087	R036030	spp-flavidus
s0088	R036031	spp-flavidus
s0089	R036032	spp-flavidus
s0090	R036033	spp-flavidus
s0091	R036034	spp-flavidus
s0092	R036035	spp-flavidus
s0093	R036036	spp-flavidus
s0094	R036037	spp-flavidus
s0095	R036038	spp-flavidus
s0096	R036039	spp-flavidus
s0097	R036040	spp-carnatus
s0098	R036041	spp-carnatus
s0099	R036042	spp-carnatus
s0100	R036043	spp-carnatus
s0101	R036044	spp-carnatus
s0102	R036045	spp-carnatus
s0103	R036046	spp-carnatus
s0104	R036047	spp-carnatus
s0105	R036048	spp-carnatus
s0106	R036049	spp-carnatus
s0107	R036050	spp-carnatus
s0108	R036051	spp-carnatus
s0109	R036052	spp-carnatus
s0110	R036053	spp-carnatus
s0111	R036054	spp-carnatus
s0112	R036055	spp-carnatus
s0113	R036056	spp-chrysomelas
s0114	R036057	spp-chrysomelas
s0115	R036058	spp-chrysomelas
s0116	R036059	spp-chrysomelas
s0117	R036060	spp-chrysomelas
s0118	R036061	spp-chrysomelas
s0119	R036062	spp-chrysomelas
s0120	R036063	spp-chrysomelas
s0121	R036064	spp-diaconus
s0122	R036065	spp-diaconus
s0123	R036066	spp-diaconus
s0124	R036067	spp-diaconus
s0125	R036068	spp-diaconus
s0126	R036069	spp-diaconus
s0127	R036070	spp-diaconus
s0128	R036071	spp-diaconus
s0129	R036072	spp-diaconus
s0130	R036073	spp-diaconus
s0131	R036074	spp-diaconus
s0132	R036075	spp-diaconus
s0133	R036076	spp-diaconus
s0134	R036077	spp-diaconus
s0135	R036078	spp-diaconus
s0136	R036079	spp-diaconus
s0137	R036080	spp-diaconus
s0138	R036081	spp-diaconus
s0139	R036082	spp-mystinus
s0140	R036083	spp-mystinus
s0141	R036084	spp-mystinus
s0142	R036085	spp-mystinus
s0143	R036086	spp-mystinus
s0144	R036087	spp-mystinus
s0145	R036088	spp-mystinus
s0146	R036089	spp-mystinus
s0147	R036090	spp-mystinus
s0148	R036091	spp-mystinus
s0149	R036092	spp-mystinus
s0150	R036093	spp-mystinus
s0151	R036094	spp-mystinus
s0152	R036095	spp-mystinus
