sample	unit	library	flowcell	platform	barcode	sample_id	lane	fq1	fq2	kb1	kb2
s0001	1	R378-4	HT5V2DSX3	ILLUMINA	R035944-R378	R035944	4	data/NVS144B_R1_Columbus/R036008_R378_1A_S33_L004_R1_001.fastq.gz	data/NVS144B_R2_Columbus/R036008_R378_1A_S33_L004_R2_001.fastq.gz	2480651.836	2499479.706
s0002	1	R378-4	HT5V2DSX3	ILLUMINA	R035945-R378	R035945	4	data/NVS144B_R1_Columbus/R036009_R378_1B_S34_L004_R1_001.fastq.gz	data/NVS144B_R2_Columbus/R036009_R378_1B_S34_L004_R2_001.fastq.gz	2273489.071	2315423.87
s0003	1	R378-4	HT5V2DSX3	ILLUMINA	R035946-R378	R035946	4	data/NVS144B_R1_Columbus/R036010_R378_1C_S35_L004_R1_001.fastq.gz	data/NVS144B_R2_Columbus/R036010_R378_1C_S35_L004_R2_001.fastq.gz	3142036.885	3222568.167
s0004	1	R378-4	HT5V2DSX3	ILLUMINA	R035947-R378	R035947	4	data/NVS144B_R1_Columbus/R036011_R378_1D_S36_L004_R1_001.fastq.gz	data/NVS144B_R2_Columbus/R036011_R378_1D_S36_L004_R2_001.fastq.gz	2299484.584	2345710.806
s0005	1	R378-4	HT5V2DSX3	ILLUMINA	R035948-R378	R035948	4	data/NVS144B_R1_Columbus/R036012_R378_1E_S37_L004_R1_001.fastq.gz	data/NVS144B_R2_Columbus/R036012_R378_1E_S37_L004_R2_001.fastq.gz	2643285.821	2654386.807
s0006	1	R378-4	HT5V2DSX3	ILLUMINA	R035949-R378	R035949	4	data/NVS144B_R1_Columbus/R036013_R378_1F_S38_L004_R1_001.fastq.gz	data/NVS144B_R2_Columbus/R036013_R378_1F_S38_L004_R2_001.fastq.gz	3507556.223	3526733.046
s0007	1	R378-4	HT5V2DSX3	ILLUMINA	R035950-R378	R035950	4	data/NVS144B_R1_Columbus/R036014_R378_1G_S39_L004_R1_001.fastq.gz	data/NVS144B_R2_Columbus/R036014_R378_1G_S39_L004_R2_001.fastq.gz	2460751.999	2492540.029
s0008	1	R378-4	HT5V2DSX3	ILLUMINA	R035951-R378	R035951	4	data/NVS144B_R1_Columbus/R036015_R378_1H_S40_L004_R1_001.fastq.gz	data/NVS144B_R2_Columbus/R036015_R378_1H_S40_L004_R2_001.fastq.gz	3211126.929	3187870.268
s0009	1	R378-4	HT5V2DSX3	ILLUMINA	R035952-R378	R035952	4	data/NVS144B_R1_Columbus/R036016_R378_2A_S41_L004_R1_001.fastq.gz	data/NVS144B_R2_Columbus/R036016_R378_2A_S41_L004_R2_001.fastq.gz	2872233.465	2915013.062
s0010	1	R378-4	HT5V2DSX3	ILLUMINA	R035953-R378	R035953	4	data/NVS144B_R1_Columbus/R036017_R378_2B_S42_L004_R1_001.fastq.gz	data/NVS144B_R2_Columbus/R036017_R378_2B_S42_L004_R2_001.fastq.gz	2827829.757	2820561.354
s0011	1	R378-4	HT5V2DSX3	ILLUMINA	R035954-R378	R035954	4	data/NVS144B_R1_Columbus/R036018_R378_2C_S43_L004_R1_001.fastq.gz	data/NVS144B_R2_Columbus/R036018_R378_2C_S43_L004_R2_001.fastq.gz	2384615.629	2385514.111
s0012	1	R378-4	HT5V2DSX3	ILLUMINA	R035955-R378	R035955	4	data/NVS144B_R1_Columbus/R036019_R378_2D_S44_L004_R1_001.fastq.gz	data/NVS144B_R2_Columbus/R036019_R378_2D_S44_L004_R2_001.fastq.gz	2640787.101	2646322.817
s0013	1	R378-4	HT5V2DSX3	ILLUMINA	R035956-R378	R035956	4	data/NVS144B_R1_Columbus/R036020_R378_2E_S45_L004_R1_001.fastq.gz	data/NVS144B_R2_Columbus/R036020_R378_2E_S45_L004_R2_001.fastq.gz	3061159.436	3115395.506
s0014	1	R378-4	HT5V2DSX3	ILLUMINA	R035957-R378	R035957	4	data/NVS144B_R1_Columbus/R036021_R378_2F_S46_L004_R1_001.fastq.gz	data/NVS144B_R2_Columbus/R036021_R378_2F_S46_L004_R2_001.fastq.gz	2527333.132	2547218.232
s0015	1	R378-4	HT5V2DSX3	ILLUMINA	R035958-R378	R035958	4	data/NVS144B_R1_Columbus/R036022_R378_2G_S47_L004_R1_001.fastq.gz	data/NVS144B_R2_Columbus/R036022_R378_2G_S47_L004_R2_001.fastq.gz	2416707.713	2382521.716
s0016	1	R378-4	HT5V2DSX3	ILLUMINA	R035959-R378	R035959	4	data/NVS144B_R1_Columbus/R036023_R378_2H_S48_L004_R1_001.fastq.gz	data/NVS144B_R2_Columbus/R036023_R378_2H_S48_L004_R2_001.fastq.gz	2854840.49	2832910.258
s0017	1	R378-4	HT5V2DSX3	ILLUMINA	R035960-R378	R035960	4	data/NVS144B_R1_Columbus/R036024_R378_3A_S49_L004_R1_001.fastq.gz	data/NVS144B_R2_Columbus/R036024_R378_3A_S49_L004_R2_001.fastq.gz	2182626.089	2188508.703
s0018	1	R378-4	HT5V2DSX3	ILLUMINA	R035961-R378	R035961	4	data/NVS144B_R1_Columbus/R036025_R378_3B_S50_L004_R1_001.fastq.gz	data/NVS144B_R2_Columbus/R036025_R378_3B_S50_L004_R2_001.fastq.gz	2269573.553	2346256.957
s0019	1	R378-4	HT5V2DSX3	ILLUMINA	R035962-R378	R035962	4	data/NVS144B_R1_Columbus/R036026_R378_3C_S51_L004_R1_001.fastq.gz	data/NVS144B_R2_Columbus/R036026_R378_3C_S51_L004_R2_001.fastq.gz	2754457.27	2729409.599
s0020	1	R378-4	HT5V2DSX3	ILLUMINA	R035963-R378	R035963	4	data/NVS144B_R1_Columbus/R036027_R378_3D_S52_L004_R1_001.fastq.gz	data/NVS144B_R2_Columbus/R036027_R378_3D_S52_L004_R2_001.fastq.gz	2597412.335	2623850.5
s0021	1	R378-4	HT5V2DSX3	ILLUMINA	R035964-R378	R035964	4	data/NVS144B_R1_Columbus/R036028_R378_3E_S53_L004_R1_001.fastq.gz	data/NVS144B_R2_Columbus/R036028_R378_3E_S53_L004_R2_001.fastq.gz	2039005.27	2030819.974
s0022	1	R378-4	HT5V2DSX3	ILLUMINA	R035965-R378	R035965	4	data/NVS144B_R1_Columbus/R036029_R378_3F_S54_L004_R1_001.fastq.gz	data/NVS144B_R2_Columbus/R036029_R378_3F_S54_L004_R2_001.fastq.gz	2118307.361	2166697.494
s0023	1	R378-4	HT5V2DSX3	ILLUMINA	R035966-R378	R035966	4	data/NVS144B_R1_Columbus/R036030_R378_3G_S55_L004_R1_001.fastq.gz	data/NVS144B_R2_Columbus/R036030_R378_3G_S55_L004_R2_001.fastq.gz	1948547.244	2026476.18
s0024	1	R378-4	HT5V2DSX3	ILLUMINA	R035967-R378	R035967	4	data/NVS144B_R1_Columbus/R036031_R378_3H_S56_L004_R1_001.fastq.gz	data/NVS144B_R2_Columbus/R036031_R378_3H_S56_L004_R2_001.fastq.gz	1582500.196	1642811.926
s0025	1	R378-4	HT5V2DSX3	ILLUMINA	R035968-R378	R035968	4	data/NVS144B_R1_Columbus/R036032_R378_4A_S57_L004_R1_001.fastq.gz	data/NVS144B_R2_Columbus/R036032_R378_4A_S57_L004_R2_001.fastq.gz	2322888.28	2394272.704
s0026	1	R378-4	HT5V2DSX3	ILLUMINA	R035969-R378	R035969	4	data/NVS144B_R1_Columbus/R036033_R378_4B_S58_L004_R1_001.fastq.gz	data/NVS144B_R2_Columbus/R036033_R378_4B_S58_L004_R2_001.fastq.gz	2214418.325	2246800.504
s0027	1	R378-4	HT5V2DSX3	ILLUMINA	R035970-R378	R035970	4	data/NVS144B_R1_Columbus/R036034_R378_4C_S59_L004_R1_001.fastq.gz	data/NVS144B_R2_Columbus/R036034_R378_4C_S59_L004_R2_001.fastq.gz	1969954.014	1987996.717
s0028	1	R378-4	HT5V2DSX3	ILLUMINA	R035971-R378	R035971	4	data/NVS144B_R1_Columbus/R036035_R378_4D_S60_L004_R1_001.fastq.gz	data/NVS144B_R2_Columbus/R036035_R378_4D_S60_L004_R2_001.fastq.gz	2654809.659	2690506.789
s0029	1	R378-4	HT5V2DSX3	ILLUMINA	R035972-R378	R035972	4	data/NVS144B_R1_Columbus/R036036_R378_4E_S61_L004_R1_001.fastq.gz	data/NVS144B_R2_Columbus/R036036_R378_4E_S61_L004_R2_001.fastq.gz	2713789.669	2747972.882
s0030	1	R378-4	HT5V2DSX3	ILLUMINA	R035973-R378	R035973	4	data/NVS144B_R1_Columbus/R036037_R378_4F_S62_L004_R1_001.fastq.gz	data/NVS144B_R2_Columbus/R036037_R378_4F_S62_L004_R2_001.fastq.gz	2158049.472	2204334.651
s0031	1	R378-4	HT5V2DSX3	ILLUMINA	R035974-R378	R035974	4	data/NVS144B_R1_Columbus/R036038_R378_4G_S63_L004_R1_001.fastq.gz	data/NVS144B_R2_Columbus/R036038_R378_4G_S63_L004_R2_001.fastq.gz	2459558.585	2505366.038
s0032	1	R378-4	HT5V2DSX3	ILLUMINA	R035975-R378	R035975	4	data/NVS144B_R1_Columbus/R036039_R378_4H_S64_L004_R1_001.fastq.gz	data/NVS144B_R2_Columbus/R036039_R378_4H_S64_L004_R2_001.fastq.gz	2207998.109	2268820.806
s0033	1	R378-4	HT5V2DSX3	ILLUMINA	R035976-R378	R035976	4	data/NVS144B_R1_Columbus/R036040_R378_5A_S65_L004_R1_001.fastq.gz	data/NVS144B_R2_Columbus/R036040_R378_5A_S65_L004_R2_001.fastq.gz	1861690.406	1974439.499
s0034	1	R378-4	HT5V2DSX3	ILLUMINA	R035977-R378	R035977	4	data/NVS144B_R1_Columbus/R036041_R378_5B_S66_L004_R1_001.fastq.gz	data/NVS144B_R2_Columbus/R036041_R378_5B_S66_L004_R2_001.fastq.gz	1810550.276	1859509.982
s0035	1	R378-4	HT5V2DSX3	ILLUMINA	R035978-R378	R035978	4	data/NVS144B_R1_Columbus/R036042_R378_5C_S67_L004_R1_001.fastq.gz	data/NVS144B_R2_Columbus/R036042_R378_5C_S67_L004_R2_001.fastq.gz	2948921.054	3032660.754
s0036	1	R378-4	HT5V2DSX3	ILLUMINA	R035979-R378	R035979	4	data/NVS144B_R1_Columbus/R036043_R378_5D_S68_L004_R1_001.fastq.gz	data/NVS144B_R2_Columbus/R036043_R378_5D_S68_L004_R2_001.fastq.gz	2407198.013	2525564.33
s0037	1	R378-4	HT5V2DSX3	ILLUMINA	R035980-R378	R035980	4	data/NVS144B_R1_Columbus/R036044_R378_5E_S69_L004_R1_001.fastq.gz	data/NVS144B_R2_Columbus/R036044_R378_5E_S69_L004_R2_001.fastq.gz	2315208.649	2371169.466
s0038	1	R378-4	HT5V2DSX3	ILLUMINA	R035981-R378	R035981	4	data/NVS144B_R1_Columbus/R036045_R378_5F_S70_L004_R1_001.fastq.gz	data/NVS144B_R2_Columbus/R036045_R378_5F_S70_L004_R2_001.fastq.gz	2268800.696	2301060.584
s0039	1	R378-4	HT5V2DSX3	ILLUMINA	R035982-R378	R035982	4	data/NVS144B_R1_Columbus/R036046_R378_5G_S71_L004_R1_001.fastq.gz	data/NVS144B_R2_Columbus/R036046_R378_5G_S71_L004_R2_001.fastq.gz	2393533.859	2430723.831
s0040	1	R378-4	HT5V2DSX3	ILLUMINA	R035983-R378	R035983	4	data/NVS144B_R1_Columbus/R036047_R378_5H_S72_L004_R1_001.fastq.gz	data/NVS144B_R2_Columbus/R036047_R378_5H_S72_L004_R2_001.fastq.gz	2340493.138	2349321.144
s0041	1	R378-4	HT5V2DSX3	ILLUMINA	R035984-R378	R035984	4	data/NVS144B_R1_Columbus/R036048_R378_6A_S73_L004_R1_001.fastq.gz	data/NVS144B_R2_Columbus/R036048_R378_6A_S73_L004_R2_001.fastq.gz	2441669.284	2462988.854
s0042	1	R378-4	HT5V2DSX3	ILLUMINA	R035985-R378	R035985	4	data/NVS144B_R1_Columbus/R036049_R378_6B_S74_L004_R1_001.fastq.gz	data/NVS144B_R2_Columbus/R036049_R378_6B_S74_L004_R2_001.fastq.gz	2850503.367	2913077.107
s0043	1	R378-4	HT5V2DSX3	ILLUMINA	R035986-R378	R035986	4	data/NVS144B_R1_Columbus/R036050_R378_6C_S75_L004_R1_001.fastq.gz	data/NVS144B_R2_Columbus/R036050_R378_6C_S75_L004_R2_001.fastq.gz	2373941.128	2402971.326
