id	chrom	len	cumul
scaff_group_001	SCAF_10	22737361	22737361
scaff_group_001	SCAF_11	21334147	44071508
scaff_group_002	SCAF_12	20645427	64716935
scaff_group_002	SCAF_13	20409353	85126288
scaff_group_003	SCAF_14	20390672	105516960
scaff_group_003	SCAF_15	20340717	125857677
scaff_group_003	SCAF_16	17928154	143785831
scaff_group_004	SCAF_17	17443470	161229301
scaff_group_004	SCAF_18	17382651	178611952
scaff_group_004	SCAF_19	16882281	195494233
scaff_group_005	SCAF_20	16757003	212251236
scaff_group_005	SCAF_21	15994777	228246013
scaff_group_005	SCAF_22	15660135	243906148
scaff_group_006	SCAF_23	13915174	257821322
scaff_group_006	SCAF_24	12998393	270819715
scaff_group_006	SCAF_25	12007800	282827515
scaff_group_006	SCAF_26	11171004	293998519
scaff_group_007	SCAF_27	9040611	303039130
scaff_group_007	SCAF_28	8924963	311964093
scaff_group_007	SCAF_29	8870770	320834863
scaff_group_007	SCAF_30	8600322	329435185
scaff_group_007	SCAF_31	8557324	337992509
scaff_group_007	SCAF_32	8022945	346015454
scaff_group_008	SCAF_33	8013412	354028866
scaff_group_008	SCAF_34	7869142	361898008
scaff_group_008	SCAF_35	7861426	369759434
scaff_group_008	SCAF_36	7624126	377383560
scaff_group_008	SCAF_37	6286668	383670228
scaff_group_008	SCAF_38	6248896	389919124
scaff_group_008	SCAF_39	5958708	395877832
scaff_group_009	SCAF_40	5878373	401756205
scaff_group_009	SCAF_41	5833950	407590155
scaff_group_009	SCAF_42	5708933	413299088
scaff_group_009	SCAF_43	5568545	418867633
scaff_group_009	SCAF_44	5512698	424380331
scaff_group_009	SCAF_45	5346673	429727004
scaff_group_009	SCAF_46	5306017	435033021
scaff_group_009	SCAF_47	5029645	440062666
scaff_group_009	SCAF_48	4959612	445022278
scaff_group_009	SCAF_49	4899827	449922105
scaff_group_010	SCAF_50	4799664	454721769
scaff_group_010	SCAF_51	4527991	459249760
scaff_group_010	SCAF_52	4267471	463517231
scaff_group_010	SCAF_53	4151280	467668511
scaff_group_010	SCAF_54	4031477	471699988
scaff_group_010	SCAF_55	3908624	475608612
scaff_group_010	SCAF_56	3902670	479511282
scaff_group_010	SCAF_57	3897544	483408826
scaff_group_010	SCAF_58	3787168	487195994
scaff_group_010	SCAF_59	3786147	490982141
scaff_group_010	SCAF_60	3773530	494755671
scaff_group_010	SCAF_61	3688208	498443879
scaff_group_011	SCAF_62	3582559	502026438
scaff_group_011	SCAF_63	3530012	505556450
scaff_group_011	SCAF_64	3483474	509039924
scaff_group_011	SCAF_65	3393097	512433021
scaff_group_011	SCAF_66	3384698	515817719
scaff_group_011	SCAF_67	3314081	519131800
scaff_group_011	SCAF_68	3312840	522444640
scaff_group_011	SCAF_69	3271069	525715709
