chrom	num_bases
NC_055957.1	56504578
NC_055958.1	44392265
NC_055959.1	41744500
NC_055960.1	40364483
NC_055961.1	40211269
NC_055962.1	39814911
NW_024582116.1	22192
NC_055963.1	39350476
NC_055964.1	38912301
NC_055965.1	38593806
NC_055966.1	38583819
NC_055967.1	38440066
NC_055968.1	38278902
NC_055969.1	37159020
NC_055970.1	36832652
NC_055971.1	35536770
NC_055972.1	35201806
NC_055973.1	34941941
NC_055974.1	32793614
NC_055975.1	32206363
NW_024582117.1	295807
NC_055976.1	32252668
NC_055977.1	32081259
NC_055978.1	31742902
NC_055979.1	31227213
NC_055980.1	30811943
