id	scatter_idx	chrom	start	end	scatter_length
NW_005081536v1	scat_0001	NW_005081536v1	1	4524087	4524087
NW_005081536v1	scat_0002	NW_005081536v1	4524088	9048174	4524087
NW_005081536v1	scat_0003	NW_005081536v1	9048175	13572261	4524087
NW_005081536v1	scat_0004	NW_005081536v1	13572262	18096348	4524087
NW_005081536v1	scat_0005	NW_005081536v1	18096349	22620435	4524087
NW_005081536v1	scat_0006	NW_005081536v1	22620436	27144522	4524087
NW_005081536v1	scat_0007	NW_005081536v1	27144523	31668609	4524087
NW_005081536v1	scat_0008	NW_005081536v1	31668610	36192696	4524087
NW_005081536v1	scat_0009	NW_005081536v1	36192697	40716783	4524087
NW_005081536v1	scat_0010	NW_005081536v1	40716784	45240865	4524082
scaff_group_001	scat_0001	NW_005081537v1	1	4825561	4825561
scaff_group_001	scat_0002	NW_005081537v1	4825562	9651122	4825561
scaff_group_001	scat_0003	NW_005081537v1	9651123	14476683	4825561
scaff_group_001	scat_0004	NW_005081537v1	14476684	19302244	4825561
scaff_group_001	scat_0005	NW_005081537v1	19302245	24127801	4825557
scaff_group_001	scat_0006	NW_005081538v1	1	4123074	4123074
scaff_group_001	scat_0007	NW_005081538v1	4123075	8246148	4123074
scaff_group_001	scat_0008	NW_005081538v1	8246149	12369222	4123074
scaff_group_001	scat_0009	NW_005081538v1	12369223	16492296	4123074
scaff_group_001	scat_0010	NW_005081538v1	16492297	20615370	4123074
scaff_group_002	scat_0001	NW_005081539v1	1	4881606	4881606
scaff_group_002	scat_0002	NW_005081539v1	4881607	9763212	4881606
scaff_group_002	scat_0003	NW_005081539v1	9763213	14644818	4881606
scaff_group_002	scat_0004	NW_005081539v1	14644819	19526422	4881604
scaff_group_002	scat_0005	NW_005081540v1	1	4859954	4859954
scaff_group_002	scat_0006	NW_005081540v1	4859955	9719908	4859954
scaff_group_002	scat_0007	NW_005081540v1	9719909	14579862	4859954
scaff_group_002	scat_0008	NW_005081540v1	14579863	19439814	4859952
scaff_group_003	scat_0001	NW_005081541v1	1	4800000	4800000
scaff_group_003	scat_0002	NW_005081541v1	4800001	9600000	4800000
scaff_group_003	scat_0003	NW_005081541v1	9600001	14400000	4800000
scaff_group_003	scat_0004	NW_005081541v1	14400001	19199999	4799999
scaff_group_003	scat_0005	NW_005081542v1	1	4295631	4295631
scaff_group_003	scat_0006	NW_005081542v1	4295632	8591262	4295631
scaff_group_003	scat_0007	NW_005081542v1	8591263	12886893	4295631
scaff_group_003	scat_0008	NW_005081542v1	12886894	17182522	4295629
scaff_group_003	scat_0009	NW_005081543v1	1	4097532	4097532
scaff_group_003	scat_0010	NW_005081543v1	4097533	8195064	4097532
scaff_group_003	scat_0011	NW_005081543v1	8195065	12292596	4097532
scaff_group_003	scat_0012	NW_005081543v1	12292597	16390125	4097529
scaff_group_004	scat_0001	NW_005081544v1	1	4056438	4056438
scaff_group_004	scat_0002	NW_005081544v1	4056439	8112876	4056438
scaff_group_004	scat_0003	NW_005081544v1	8112877	12169314	4056438
scaff_group_004	scat_0004	NW_005081544v1	12169315	16225752	4056438
scaff_group_004	scat_0005	NW_005081545v1	1	3952069	3952069
scaff_group_004	scat_0006	NW_005081545v1	3952070	7904138	3952069
scaff_group_004	scat_0007	NW_005081545v1	7904139	11856207	3952069
scaff_group_004	scat_0008	NW_005081545v1	11856208	15808273	3952066
scaff_group_004	scat_0009	NW_005081546v1	1	4417041	4417041
scaff_group_004	scat_0010	NW_005081546v1	4417042	8834082	4417041
scaff_group_004	scat_0011	NW_005081546v1	8834083	13251123	4417041
scaff_group_004	scat_0012	NW_005081547v1	1	4237675	4237675
scaff_group_004	scat_0013	NW_005081547v1	4237676	8475350	4237675
scaff_group_004	scat_0014	NW_005081547v1	8475351	12713024	4237674
scaff_group_005	scat_0001	NW_005081548v1	1	3975721	3975721
scaff_group_005	scat_0002	NW_005081548v1	3975722	7951442	3975721
scaff_group_005	scat_0003	NW_005081548v1	7951443	11927161	3975719
scaff_group_005	scat_0004	NW_005081549v1	1	3790906	3790906
scaff_group_005	scat_0005	NW_005081549v1	3790907	7581812	3790906
scaff_group_005	scat_0006	NW_005081549v1	7581813	11372716	3790904
scaff_group_005	scat_0007	NW_005081550v1	1	3615164	3615164
scaff_group_005	scat_0008	NW_005081550v1	3615165	7230328	3615164
scaff_group_005	scat_0009	NW_005081550v1	7230329	10845492	3615164
scaff_group_005	scat_0010	NW_005081551v1	1	3638653	3638653
scaff_group_005	scat_0011	NW_005081551v1	3638654	7277306	3638653
scaff_group_005	scat_0012	NW_005081551v1	7277307	10915959	3638653
scaff_group_005	scat_0013	NW_005081552v1	1	3407698	3407698
scaff_group_005	scat_0014	NW_005081552v1	3407699	6815396	3407698
scaff_group_005	scat_0015	NW_005081552v1	6815397	10223093	3407697
scaff_group_006	scat_0001	NW_005081553v1	1	3392870	3392870
scaff_group_006	scat_0002	NW_005081553v1	3392871	6785740	3392870
scaff_group_006	scat_0003	NW_005081553v1	6785741	10178608	3392868
scaff_group_006	scat_0004	NW_005081554v1	1	4959800	4959800
scaff_group_006	scat_0005	NW_005081554v1	4959801	9919599	4959799
scaff_group_006	scat_0006	NW_005081555v1	1	4869305	4869305
scaff_group_006	scat_0007	NW_005081555v1	4869306	9738610	4869305
scaff_group_006	scat_0008	NW_005081556v1	1	4574443	4574443
scaff_group_006	scat_0009	NW_005081556v1	4574444	9148886	4574443
scaff_group_006	scat_0010	NW_005081557v1	1	4706465	4706465
scaff_group_006	scat_0011	NW_005081557v1	4706466	9412929	4706464
scaff_group_007	scat_0001	NW_005081558v1	1	4292007	4292007
scaff_group_007	scat_0002	NW_005081558v1	4292008	8584013	4292006
scaff_group_007	scat_0003	NW_005081559v1	1	4177926	4177926
scaff_group_007	scat_0004	NW_005081559v1	4177927	8355851	4177925
scaff_group_007	scat_0005	NW_005081560v1	1	3866630	3866630
scaff_group_007	scat_0006	NW_005081560v1	3866631	7733260	3866630
scaff_group_007	scat_0007	NW_005081561v1	1	3793730	3793730
scaff_group_007	scat_0008	NW_005081561v1	3793731	7587459	3793729
scaff_group_007	scat_0009	NW_005081562v1	1	3775652	3775652
scaff_group_007	scat_0010	NW_005081562v1	3775653	7551303	3775651
scaff_group_007	scat_0011	NW_005081563v1	1	3622352	3622352
scaff_group_007	scat_0012	NW_005081563v1	3622353	7244704	3622352
scaff_group_008	scat_0001	NW_005081564v1	1	3755041	3755041
scaff_group_008	scat_0002	NW_005081564v1	3755042	7510081	3755040
scaff_group_008	scat_0003	NW_005081565v1	1	3630339	3630339
scaff_group_008	scat_0004	NW_005081565v1	3630340	7260678	3630339
scaff_group_008	scat_0005	NW_005081566v1	1	3276280	3276280
scaff_group_008	scat_0006	NW_005081566v1	3276281	6552560	3276280
scaff_group_008	scat_0007	NW_005081567v1	1	3169324	3169324
scaff_group_008	scat_0008	NW_005081567v1	3169325	6338647	3169323
scaff_group_008	scat_0009	NW_005081568v1	1	3137672	3137672
scaff_group_008	scat_0010	NW_005081568v1	3137673	6275344	3137672
scaff_group_008	scat_0011	NW_005081569v1	1	3214093	3214093
scaff_group_008	scat_0012	NW_005081569v1	3214094	6428186	3214093
scaff_group_008	scat_0013	NW_005081570v1	1	3210549	3210549
scaff_group_008	scat_0014	NW_005081570v1	3210550	6421098	3210549
scaff_group_008	scat_0015	NW_005081571v1	1	3184834	3184834
scaff_group_008	scat_0016	NW_005081571v1	3184835	6369667	3184833
scaff_group_009	scat_0001	NW_005081572v1	1	2927031	2927031
scaff_group_009	scat_0002	NW_005081572v1	2927032	5854062	2927031
scaff_group_009	scat_0003	NW_005081573v1	1	2828807	2828807
scaff_group_009	scat_0004	NW_005081573v1	2828808	5657613	2828806
scaff_group_009	scat_0005	NW_005081574v1	1	2845406	2845406
scaff_group_009	scat_0006	NW_005081574v1	2845407	5690812	2845406
scaff_group_009	scat_0007	NW_005081575v1	1	2798331	2798331
scaff_group_009	scat_0008	NW_005081575v1	2798332	5596662	2798331
scaff_group_009	scat_0009	NW_005081576v1	1	2792093	2792093
scaff_group_009	scat_0010	NW_005081576v1	2792094	5584185	2792092
scaff_group_009	scat_0011	NW_005081577v1	1	2982615	2982615
scaff_group_009	scat_0012	NW_005081577v1	2982616	5965230	2982615
scaff_group_009	scat_0013	NW_005081578v1	1	2820996	2820996
scaff_group_009	scat_0014	NW_005081578v1	2820997	5641992	2820996
scaff_group_009	scat_0015	NW_005081579v1	1	2691270	2691270
scaff_group_009	scat_0016	NW_005081579v1	2691271	5382539	2691269
scaff_group_009	scat_0017	NW_005081580v1	1	2531865	2531865
scaff_group_009	scat_0018	NW_005081580v1	2531866	5063729	2531864
scaff_group_010	scat_0001	NW_005081581v1	1	2594100	2594100
scaff_group_010	scat_0002	NW_005081581v1	2594101	5188199	2594099
scaff_group_010	scat_0003	NW_005081582v1	1	4964275	4964275
scaff_group_010	scat_0004	NW_005081583v1	1	4955519	4955519
scaff_group_010	scat_0005	NW_005081584v1	1	4866725	4866725
scaff_group_010	scat_0006	NW_005081585v1	1	2551543	2551543
scaff_group_010	scat_0007	NW_005081585v1	2551544	5103085	2551542
scaff_group_010	scat_0008	NW_005081586v1	1	4753918	4753918
scaff_group_010	scat_0009	NW_005081587v1	1	4619863	4619863
scaff_group_010	scat_0010	NW_005081588v1	1	4505013	4505013
scaff_group_010	scat_0011	NW_005081589v1	1	4458466	4458466
scaff_group_010	scat_0012	NW_005081590v1	1	4656846	4656846
scaff_group_011	scat_0001	NW_005081591v1	1	4515391	4515391
scaff_group_011	scat_0002	NW_005081592v1	1	4891552	4891552
scaff_group_011	scat_0003	NW_005081593v1	1	4456365	4456365
scaff_group_011	scat_0004	NW_005081594v1	1	4430339	4430339
scaff_group_011	scat_0005	NW_005081595v1	1	4756365	4756365
scaff_group_011	scat_0006	NW_005081596v1	1	4339766	4339766
scaff_group_011	scat_0007	NW_005081597v1	1	4463627	4463627
scaff_group_011	scat_0008	NW_005081598v1	1	2504405	2504405
scaff_group_011	scat_0009	NW_005081598v1	2504406	5008810	2504405
scaff_group_011	scat_0010	NW_005081599v1	1	4461960	4461960
scaff_group_011	scat_0011	NW_005081600v1	1	4267173	4267173
scaff_group_011	scat_0012	NW_005081601v1	1	4235148	4235148
scaff_group_012	scat_0001	NW_005081602v1	1	4246152	4246152
scaff_group_012	scat_0002	NW_005081603v1	1	4357161	4357161
scaff_group_012	scat_0003	NW_005081604v1	1	4093519	4093519
scaff_group_012	scat_0004	NW_005081605v1	1	4018548	4018548
scaff_group_012	scat_0005	NW_005081606v1	1	4160852	4160852
scaff_group_012	scat_0006	NW_005081607v1	1	4377844	4377844
scaff_group_012	scat_0007	NW_005081608v1	1	4256980	4256980
scaff_group_012	scat_0008	NW_005081609v1	1	3616420	3616420
scaff_group_012	scat_0009	NW_005081610v1	1	3547384	3547384
scaff_group_012	scat_0010	NW_005081611v1	1	3581226	3581226
scaff_group_012	scat_0011	NW_005081612v1	1	3442925	3442925
scaff_group_012	scat_0012	NW_005081613v1	1	3512439	3512439
scaff_group_012	scat_0013	NW_005081614v1	1	3395079	3395079
scaff_group_013	scat_0001	NW_005081615v1	1	3504361	3504361
scaff_group_013	scat_0002	NW_005081616v1	1	3510543	3510543
scaff_group_013	scat_0003	NW_005081617v1	1	4073067	4073067
scaff_group_013	scat_0004	NW_005081618v1	1	3424501	3424501
scaff_group_013	scat_0005	NW_005081619v1	1	3255797	3255797
scaff_group_013	scat_0006	NW_005081620v1	1	3189763	3189763
scaff_group_013	scat_0007	NW_005081621v1	1	3168318	3168318
scaff_group_013	scat_0008	NW_005081622v1	1	3071205	3071205
scaff_group_013	scat_0009	NW_005081623v1	1	3140077	3140077
scaff_group_013	scat_0010	NW_005081624v1	1	3313420	3313420
scaff_group_013	scat_0011	NW_005081625v1	1	3221608	3221608
scaff_group_013	scat_0012	NW_005081626v1	1	3359959	3359959
scaff_group_013	scat_0013	NW_005081627v1	1	2820995	2820995
scaff_group_013	scat_0014	NW_005081628v1	1	2707101	2707101
scaff_group_013	scat_0015	NW_005081629v1	1	3266250	3266250
scaff_group_014	scat_0001	NW_005081630v1	1	3704554	3704554
scaff_group_014	scat_0002	NW_005081631v1	1	2668396	2668396
scaff_group_014	scat_0003	NW_005081632v1	1	2520776	2520776
scaff_group_014	scat_0004	NW_005081633v1	1	2509543	2509543
scaff_group_014	scat_0005	NW_005081634v1	1	3178465	3178465
scaff_group_014	scat_0006	NW_005081635v1	1	2503139	4833250
scaff_group_014	scat_0006	NW_005081636v1	1	2330111	4833250
scaff_group_014	scat_0007	NW_005081637v1	1	2332526	4832314
scaff_group_014	scat_0007	NW_005081638v1	1	2499788	4832314
scaff_group_014	scat_0008	NW_005081639v1	1	2335631	2335631
scaff_group_014	scat_0009	NW_005081640v1	1	2732555	4964077
scaff_group_014	scat_0009	NW_005081641v1	1	2231522	4964077
scaff_group_014	scat_0010	NW_005081642v1	1	2153052	4284793
scaff_group_014	scat_0010	NW_005081643v1	1	2131741	4284793
scaff_group_014	scat_0011	NW_005081644v1	1	2311647	2311647
scaff_group_014	scat_0012	NW_005081645v1	1	2698535	2698535
scaff_group_014	scat_0013	NW_005081646v1	1	3535180	3535180
scaff_group_014	scat_0014	NW_005081647v1	1	2053932	4137002
scaff_group_014	scat_0014	NW_005081648v1	1	2083070	4137002
scaff_group_014	scat_0015	NW_005081649v1	1	2396297	4453772
scaff_group_014	scat_0015	NW_005081650v1	1	2057475	4453772
scaff_group_015	scat_0001	NW_005081651v1	1	2534617	4974368
scaff_group_015	scat_0001	NW_005081652v1	1	2439751	4974368
scaff_group_015	scat_0002	NW_005081653v1	1	2022704	3952713
scaff_group_015	scat_0002	NW_005081654v1	1	1930009	3952713
scaff_group_015	scat_0003	NW_005081655v1	1	1926611	4438754
scaff_group_015	scat_0003	NW_005081656v1	1	2512143	4438754
scaff_group_015	scat_0004	NW_005081657v1	1	2189579	4011472
scaff_group_015	scat_0004	NW_005081658v1	1	1821893	4011472
scaff_group_015	scat_0005	NW_005081659v1	1	1801071	3656963
scaff_group_015	scat_0005	NW_005081660v1	1	1855892	3656963
scaff_group_015	scat_0006	NW_005081661v1	1	2810194	4596980
scaff_group_015	scat_0006	NW_005081662v1	1	1786786	4596980
scaff_group_015	scat_0007	NW_005081663v1	1	1806625	4214130
scaff_group_015	scat_0007	NW_005081664v1	1	2407505	4214130
scaff_group_015	scat_0008	NW_005081665v1	1	1691053	3574831
scaff_group_015	scat_0008	NW_005081666v1	1	1883778	3574831
scaff_group_015	scat_0009	NW_005081667v1	1	1700355	3336158
scaff_group_015	scat_0009	NW_005081668v1	1	1635803	3336158
scaff_group_015	scat_0010	NW_005081669v1	1	2113411	3697240
scaff_group_015	scat_0010	NW_005081670v1	1	1583829	3697240
scaff_group_015	scat_0011	NW_005081671v1	1	1597971	4086544
scaff_group_015	scat_0011	NW_005081672v1	1	2488573	4086544
scaff_group_015	scat_0012	NW_005081673v1	1	2120562	4298515
scaff_group_015	scat_0012	NW_005081674v1	1	2177953	4298515
scaff_group_016	scat_0001	NW_005081675v1	1	2114605	3805891
scaff_group_016	scat_0001	NW_005081676v1	1	1691286	3805891
scaff_group_016	scat_0002	NW_005081677v1	1	1409741	4623979
scaff_group_016	scat_0002	NW_005081678v1	1	1751841	4623979
scaff_group_016	scat_0002	NW_005081679v1	1	1462397	4623979
scaff_group_016	scat_0003	NW_005081680v1	1	1506456	3375627
scaff_group_016	scat_0003	NW_005081681v1	1	1869171	3375627
scaff_group_016	scat_0004	NW_005081682v1	1	1748647	3708107
scaff_group_016	scat_0004	NW_005081683v1	1	1959460	3708107
scaff_group_016	scat_0005	NW_005081684v1	1	1898618	3547354
scaff_group_016	scat_0005	NW_005081685v1	1	1648736	3547354
scaff_group_016	scat_0006	NW_005081686v1	1	2378844	4994117
scaff_group_016	scat_0006	NW_005081687v1	1	1326514	4994117
scaff_group_016	scat_0006	NW_005081688v1	1	1288759	4994117
scaff_group_016	scat_0007	NW_005081689v1	1	1411539	4910907
scaff_group_016	scat_0007	NW_005081690v1	1	1926687	4910907
scaff_group_016	scat_0007	NW_005081691v1	1	1572681	4910907
scaff_group_016	scat_0008	NW_005081692v1	1	1255362	3898061
scaff_group_016	scat_0008	NW_005081693v1	1	1437200	3898061
scaff_group_016	scat_0008	NW_005081694v1	1	1205499	3898061
scaff_group_016	scat_0009	NW_005081695v1	1	1335160	4492561
scaff_group_016	scat_0009	NW_005081696v1	1	1968081	4492561
scaff_group_016	scat_0009	NW_005081697v1	1	1189320	4492561
scaff_group_016	scat_0010	NW_005081698v1	1	1683037	4073401
scaff_group_016	scat_0010	NW_005081699v1	1	1172919	4073401
scaff_group_016	scat_0010	NW_005081700v1	1	1217445	4073401
scaff_group_016	scat_0011	NW_005081701v1	1	1196078	4168053
scaff_group_016	scat_0011	NW_005081702v1	1	1090834	4168053
scaff_group_016	scat_0011	NW_005081703v1	1	1881141	4168053
scaff_group_016	scat_0012	NW_005081704v1	1	1266728	4339947
scaff_group_016	scat_0012	NW_005081705v1	1	1546649	4339947
scaff_group_016	scat_0012	NW_005081706v1	1	1526570	4339947
scaff_group_016	scat_0013	NW_005081707v1	1	1110460	1110460
scaff_group_017	scat_0001	NW_005081708v1	1	1082959	4752058
scaff_group_017	scat_0001	NW_005081709v1	1	1826650	4752058
scaff_group_017	scat_0001	NW_005081710v1	1	1842449	4752058
scaff_group_017	scat_0002	NW_005081711v1	1	1291302	4813566
scaff_group_017	scat_0002	NW_005081712v1	1	1029829	4813566
scaff_group_017	scat_0002	NW_005081713v1	1	1036292	4813566
scaff_group_017	scat_0002	NW_005081714v1	1	1456143	4813566
scaff_group_017	scat_0003	NW_005081715v1	1	959245	4912102
scaff_group_017	scat_0003	NW_005081716v1	1	1438760	4912102
scaff_group_017	scat_0003	NW_005081717v1	1	958124	4912102
scaff_group_017	scat_0003	NW_005081718v1	1	1555973	4912102
scaff_group_017	scat_0004	NW_005081719v1	1	1667129	4149905
scaff_group_017	scat_0004	NW_005081720v1	1	1134561	4149905
scaff_group_017	scat_0004	NW_005081721v1	1	1348215	4149905
scaff_group_017	scat_0005	NW_005081722v1	1	1528454	4709821
scaff_group_017	scat_0005	NW_005081723v1	1	926129	4709821
scaff_group_017	scat_0005	NW_005081724v1	1	946058	4709821
scaff_group_017	scat_0005	NW_005081725v1	1	1309180	4709821
scaff_group_017	scat_0006	NW_005081726v1	1	878076	3991788
scaff_group_017	scat_0006	NW_005081727v1	1	1024416	3991788
scaff_group_017	scat_0006	NW_005081728v1	1	1175496	3991788
scaff_group_017	scat_0006	NW_005081729v1	1	913800	3991788
scaff_group_017	scat_0007	NW_005081730v1	1	1088936	4579811
scaff_group_017	scat_0007	NW_005081731v1	1	1332312	4579811
scaff_group_017	scat_0007	NW_005081732v1	1	1176009	4579811
scaff_group_017	scat_0007	NW_005081733v1	1	982554	4579811
scaff_group_017	scat_0008	NW_005081734v1	1	978386	4302160
scaff_group_017	scat_0008	NW_005081735v1	1	1042425	4302160
scaff_group_017	scat_0008	NW_005081736v1	1	913136	4302160
scaff_group_017	scat_0008	NW_005081737v1	1	1368213	4302160
scaff_group_017	scat_0009	NW_005081738v1	1	852449	4369271
scaff_group_017	scat_0009	NW_005081739v1	1	1399377	4369271
scaff_group_017	scat_0009	NW_005081740v1	1	838212	4369271
scaff_group_017	scat_0009	NW_005081741v1	1	1279233	4369271
scaff_group_017	scat_0010	NW_005081742v1	1	825557	4512018
scaff_group_017	scat_0010	NW_005081743v1	1	1014152	4512018
scaff_group_017	scat_0010	NW_005081744v1	1	1030464	4512018
scaff_group_017	scat_0010	NW_005081745v1	1	883178	4512018
scaff_group_017	scat_0010	NW_005081746v1	1	758667	4512018
scaff_group_017	scat_0011	NW_005081747v1	1	779486	4249038
scaff_group_017	scat_0011	NW_005081748v1	1	870198	4249038
scaff_group_017	scat_0011	NW_005081749v1	1	1337797	4249038
scaff_group_017	scat_0011	NW_005081750v1	1	1261557	4249038
scaff_group_017	scat_0012	NW_005081751v1	1	1044468	1044468
scaff_group_018	scat_0001	NW_005081752v1	1	1031561	4435873
scaff_group_018	scat_0001	NW_005081753v1	1	750225	4435873
scaff_group_018	scat_0001	NW_005081754v1	1	810001	4435873
scaff_group_018	scat_0001	NW_005081755v1	1	755315	4435873
scaff_group_018	scat_0001	NW_005081756v1	1	1088771	4435873
scaff_group_018	scat_0002	NW_005081757v1	1	863662	4149929
scaff_group_018	scat_0002	NW_005081758v1	1	1220185	4149929
scaff_group_018	scat_0002	NW_005081759v1	1	794177	4149929
scaff_group_018	scat_0002	NW_005081760v1	1	1271905	4149929
scaff_group_018	scat_0003	NW_005081761v1	1	921155	4545405
scaff_group_018	scat_0003	NW_005081762v1	1	661022	4545405
scaff_group_018	scat_0003	NW_005081763v1	1	1245480	4545405
scaff_group_018	scat_0003	NW_005081764v1	1	978886	4545405
scaff_group_018	scat_0003	NW_005081765v1	1	738862	4545405
scaff_group_018	scat_0004	NW_005081766v1	1	1316434	4750299
scaff_group_018	scat_0004	NW_005081767v1	1	717310	4750299
scaff_group_018	scat_0004	NW_005081768v1	1	949835	4750299
scaff_group_018	scat_0004	NW_005081769v1	1	731032	4750299
scaff_group_018	scat_0004	NW_005081770v1	1	1035688	4750299
scaff_group_018	scat_0005	NW_005081771v1	1	578351	3797253
scaff_group_018	scat_0005	NW_005081772v1	1	611311	3797253
scaff_group_018	scat_0005	NW_005081773v1	1	624993	3797253
scaff_group_018	scat_0005	NW_005081774v1	1	700567	3797253
scaff_group_018	scat_0005	NW_005081775v1	1	606670	3797253
scaff_group_018	scat_0005	NW_005081776v1	1	675361	3797253
scaff_group_018	scat_0006	NW_005081777v1	1	1326265	4415261
scaff_group_018	scat_0006	NW_005081778v1	1	646330	4415261
scaff_group_018	scat_0006	NW_005081779v1	1	1041711	4415261
scaff_group_018	scat_0006	NW_005081780v1	1	567635	4415261
scaff_group_018	scat_0006	NW_005081781v1	1	833320	4415261
scaff_group_018	scat_0007	NW_005081782v1	1	1266348	4457428
scaff_group_018	scat_0007	NW_005081783v1	1	577082	4457428
scaff_group_018	scat_0007	NW_005081784v1	1	572131	4457428
scaff_group_018	scat_0007	NW_005081785v1	1	727287	4457428
scaff_group_018	scat_0007	NW_005081786v1	1	625968	4457428
scaff_group_018	scat_0007	NW_005081787v1	1	688612	4457428
scaff_group_018	scat_0008	NW_005081788v1	1	685200	4500266
scaff_group_018	scat_0008	NW_005081789v1	1	628570	4500266
scaff_group_018	scat_0008	NW_005081790v1	1	990080	4500266
scaff_group_018	scat_0008	NW_005081791v1	1	516901	4500266
scaff_group_018	scat_0008	NW_005081792v1	1	809322	4500266
scaff_group_018	scat_0008	NW_005081793v1	1	870193	4500266
scaff_group_018	scat_0009	NW_005081794v1	1	578149	4677941
