id	scatter_idx	chrom	start	end	scatter_length
SCAF_1	scat_0001	SCAF_1	1	4970805	4970805
SCAF_1	scat_0002	SCAF_1	4970806	9941610	4970805
SCAF_1	scat_0003	SCAF_1	9941611	14912415	4970805
SCAF_1	scat_0004	SCAF_1	14912416	19883220	4970805
SCAF_1	scat_0005	SCAF_1	19883221	24854025	4970805
SCAF_1	scat_0006	SCAF_1	24854026	29824830	4970805
SCAF_1	scat_0007	SCAF_1	29824831	34795635	4970805
SCAF_1	scat_0008	SCAF_1	34795636	39766440	4970805
SCAF_1	scat_0009	SCAF_1	39766441	44737245	4970805
SCAF_1	scat_0010	SCAF_1	44737246	49708050	4970805
SCAF_1	scat_0011	SCAF_1	49708051	54678855	4970805
SCAF_1	scat_0012	SCAF_1	54678856	59649660	4970805
SCAF_1	scat_0013	SCAF_1	59649661	64620465	4970805
SCAF_1	scat_0014	SCAF_1	64620466	69591270	4970805
SCAF_1	scat_0015	SCAF_1	69591271	74562066	4970796
SCAF_2	scat_0001	SCAF_2	1	4928842	4928842
SCAF_2	scat_0002	SCAF_2	4928843	9857684	4928842
SCAF_2	scat_0003	SCAF_2	9857685	14786526	4928842
SCAF_2	scat_0004	SCAF_2	14786527	19715368	4928842
SCAF_2	scat_0005	SCAF_2	19715369	24644210	4928842
SCAF_2	scat_0006	SCAF_2	24644211	29573052	4928842
SCAF_2	scat_0007	SCAF_2	29573053	34501894	4928842
SCAF_2	scat_0008	SCAF_2	34501895	39430736	4928842
SCAF_2	scat_0009	SCAF_2	39430737	44359578	4928842
SCAF_2	scat_0010	SCAF_2	44359579	49288420	4928842
SCAF_2	scat_0011	SCAF_2	49288421	54217262	4928842
SCAF_2	scat_0012	SCAF_2	54217263	59146104	4928842
SCAF_2	scat_0013	SCAF_2	59146105	64074946	4928842
SCAF_2	scat_0014	SCAF_2	64074947	69003788	4928842
SCAF_2	scat_0015	SCAF_2	69003789	73932623	4928835
SCAF_3	scat_0001	SCAF_3	1	4691890	4691890
SCAF_3	scat_0002	SCAF_3	4691891	9383780	4691890
SCAF_3	scat_0003	SCAF_3	9383781	14075670	4691890
SCAF_3	scat_0004	SCAF_3	14075671	18767560	4691890
SCAF_3	scat_0005	SCAF_3	18767561	23459450	4691890
SCAF_3	scat_0006	SCAF_3	23459451	28151340	4691890
SCAF_3	scat_0007	SCAF_3	28151341	32843230	4691890
SCAF_3	scat_0008	SCAF_3	32843231	37535120	4691890
SCAF_3	scat_0009	SCAF_3	37535121	42227010	4691890
SCAF_3	scat_0010	SCAF_3	42227011	46918900	4691890
SCAF_3	scat_0011	SCAF_3	46918901	51610790	4691890
SCAF_3	scat_0012	SCAF_3	51610791	56302680	4691890
SCAF_3	scat_0013	SCAF_3	56302681	60994570	4691890
SCAF_3	scat_0014	SCAF_3	60994571	65686460	4691890
SCAF_3	scat_0015	SCAF_3	65686461	70378346	4691886
SCAF_4	scat_0001	SCAF_4	1	4917997	4917997
SCAF_4	scat_0002	SCAF_4	4917998	9835994	4917997
SCAF_4	scat_0003	SCAF_4	9835995	14753991	4917997
SCAF_4	scat_0004	SCAF_4	14753992	19671988	4917997
SCAF_4	scat_0005	SCAF_4	19671989	24589985	4917997
SCAF_4	scat_0006	SCAF_4	24589986	29507982	4917997
SCAF_4	scat_0007	SCAF_4	29507983	34425979	4917997
SCAF_4	scat_0008	SCAF_4	34425980	39343976	4917997
SCAF_4	scat_0009	SCAF_4	39343977	44261973	4917997
SCAF_4	scat_0010	SCAF_4	44261974	49179970	4917997
SCAF_4	scat_0011	SCAF_4	49179971	54097967	4917997
SCAF_4	scat_0012	SCAF_4	54097968	59015964	4917997
SCAF_4	scat_0013	SCAF_4	59015965	63933961	4917997
SCAF_4	scat_0014	SCAF_4	63933962	68851946	4917985
SCAF_5	scat_0001	SCAF_5	1	4936311	4936311
SCAF_5	scat_0002	SCAF_5	4936312	9872622	4936311
SCAF_5	scat_0003	SCAF_5	9872623	14808933	4936311
SCAF_5	scat_0004	SCAF_5	14808934	19745244	4936311
SCAF_5	scat_0005	SCAF_5	19745245	24681555	4936311
SCAF_5	scat_0006	SCAF_5	24681556	29617866	4936311
SCAF_5	scat_0007	SCAF_5	29617867	34554177	4936311
SCAF_5	scat_0008	SCAF_5	34554178	39490488	4936311
SCAF_5	scat_0009	SCAF_5	39490489	44426799	4936311
SCAF_5	scat_0010	SCAF_5	44426800	49363110	4936311
SCAF_5	scat_0011	SCAF_5	49363111	54299421	4936311
SCAF_5	scat_0012	SCAF_5	54299422	59235732	4936311
SCAF_5	scat_0013	SCAF_5	59235733	64172041	4936309
SCAF_6	scat_0001	SCAF_6	1	4770956	4770956
SCAF_6	scat_0002	SCAF_6	4770957	9541912	4770956
SCAF_6	scat_0003	SCAF_6	9541913	14312868	4770956
SCAF_6	scat_0004	SCAF_6	14312869	19083824	4770956
SCAF_6	scat_0005	SCAF_6	19083825	23854780	4770956
SCAF_6	scat_0006	SCAF_6	23854781	28625736	4770956
SCAF_6	scat_0007	SCAF_6	28625737	33396692	4770956
SCAF_6	scat_0008	SCAF_6	33396693	38167643	4770951
SCAF_7	scat_0001	SCAF_7	1	4383822	4383822
SCAF_7	scat_0002	SCAF_7	4383823	8767644	4383822
SCAF_7	scat_0003	SCAF_7	8767645	13151466	4383822
SCAF_7	scat_0004	SCAF_7	13151467	17535288	4383822
SCAF_7	scat_0005	SCAF_7	17535289	21919110	4383822
SCAF_7	scat_0006	SCAF_7	21919111	26302932	4383822
SCAF_7	scat_0007	SCAF_7	26302933	30686754	4383822
SCAF_7	scat_0008	SCAF_7	30686755	35070569	4383815
SCAF_8	scat_0001	SCAF_8	1	4802709	4802709
SCAF_8	scat_0002	SCAF_8	4802710	9605418	4802709
SCAF_8	scat_0003	SCAF_8	9605419	14408127	4802709
SCAF_8	scat_0004	SCAF_8	14408128	19210836	4802709
SCAF_8	scat_0005	SCAF_8	19210837	24013545	4802709
SCAF_8	scat_0006	SCAF_8	24013546	28816254	4802709
SCAF_8	scat_0007	SCAF_8	28816255	33618958	4802704
SCAF_9	scat_0001	SCAF_9	1	4684526	4684526
SCAF_9	scat_0002	SCAF_9	4684527	9369052	4684526
SCAF_9	scat_0003	SCAF_9	9369053	14053578	4684526
SCAF_9	scat_0004	SCAF_9	14053579	18738104	4684526
SCAF_9	scat_0005	SCAF_9	18738105	23422630	4684526
SCAF_9	scat_0006	SCAF_9	23422631	28107156	4684526
SCAF_9	scat_0007	SCAF_9	28107157	32791680	4684524
scaff_group_001	scat_0001	SCAF_10	1	4547473	4547473
scaff_group_001	scat_0002	SCAF_10	4547474	9094946	4547473
scaff_group_001	scat_0003	SCAF_10	9094947	13642419	4547473
scaff_group_001	scat_0004	SCAF_10	13642420	18189892	4547473
scaff_group_001	scat_0005	SCAF_10	18189893	22737361	4547469
scaff_group_001	scat_0006	SCAF_11	1	4266830	4266830
scaff_group_001	scat_0007	SCAF_11	4266831	8533660	4266830
scaff_group_001	scat_0008	SCAF_11	8533661	12800490	4266830
scaff_group_001	scat_0009	SCAF_11	12800491	17067320	4266830
scaff_group_001	scat_0010	SCAF_11	17067321	21334147	4266827
scaff_group_002	scat_0001	SCAF_12	1	4129086	4129086
scaff_group_002	scat_0002	SCAF_12	4129087	8258172	4129086
scaff_group_002	scat_0003	SCAF_12	8258173	12387258	4129086
scaff_group_002	scat_0004	SCAF_12	12387259	16516344	4129086
scaff_group_002	scat_0005	SCAF_12	16516345	20645427	4129083
scaff_group_002	scat_0006	SCAF_13	1	4081871	4081871
scaff_group_002	scat_0007	SCAF_13	4081872	8163742	4081871
scaff_group_002	scat_0008	SCAF_13	8163743	12245613	4081871
