id	chrom	len	cumul
scaff_group001	NW_026458967.1	61686	61686
scaff_group001	NW_026458968.1	14668	76354
scaff_group001	NW_026458969.1	71659	148013
scaff_group001	NW_026458971.1	74521	222534
scaff_group001	NW_026458972.1	68348	290882
scaff_group001	NW_026458973.1	67855	358737
scaff_group001	NW_026458975.1	71842	430579
scaff_group001	NW_026458976.1	69830	500409
scaff_group001	NW_026458978.1	68676	569085
scaff_group001	NW_026458979.1	69885	638970
scaff_group001	NW_026458980.1	70003	708973
scaff_group001	NW_026458981.1	70603	779576
scaff_group001	NW_026458982.1	52878	832454
scaff_group001	NW_026458983.1	66581	899035
scaff_group001	NW_026458984.1	81788	980823
scaff_group001	NW_026458986.1	63058	1043881
scaff_group001	NW_026458987.1	60909	1104790
scaff_group001	NW_026458988.1	70040	1174830
scaff_group001	NW_026458989.1	70314	1245144
scaff_group001	NW_026458990.1	71148	1316292
scaff_group001	NW_026458991.1	70579	1386871
scaff_group001	NW_026458992.1	66663	1453534
scaff_group001	NW_026458993.1	71020	1524554
scaff_group001	NW_026458994.1	69128	1593682
scaff_group001	NW_026458995.1	69667	1663349
scaff_group001	NW_026458996.1	67577	1730926
scaff_group001	NW_026458997.1	54780	1785706
scaff_group001	NW_026458998.1	80135	1865841
scaff_group001	NW_026458999.1	77091	1942932
scaff_group001	NW_026459000.1	74770	2017702
scaff_group001	NW_026459001.1	61458	2079160
scaff_group001	NW_026459002.1	65479	2144639
scaff_group001	NW_026459003.1	72541	2217180
scaff_group001	NW_026459004.1	76736	2293916
scaff_group001	NW_026459005.1	58943	2352859
scaff_group001	NW_026459006.1	74569	2427428
scaff_group001	NW_026459007.1	67445	2494873
scaff_group001	NW_026459008.1	71777	2566650
scaff_group001	NW_026459009.1	61537	2628187
scaff_group001	NW_026459010.1	75579	2703766
scaff_group001	NW_026459011.1	60934	2764700
scaff_group001	NW_026459012.1	73804	2838504
scaff_group001	NW_026459013.1	67535	2906039
scaff_group001	NW_026459014.1	69710	2975749
scaff_group001	NW_026459015.1	58242	3033991
scaff_group001	NW_026459016.1	82186	3116177
scaff_group001	NW_026459017.1	54598	3170775
scaff_group001	NW_026459018.1	79156	3249931
scaff_group001	NW_026459019.1	76676	3326607
scaff_group001	NW_026459020.1	68108	3394715
scaff_group001	NW_026459021.1	63282	3457997
scaff_group001	NW_026459022.1	55868	3513865
scaff_group001	NW_026459023.1	71796	3585661
scaff_group001	NW_026459024.1	75428	3661089
scaff_group001	NW_026459025.1	67894	3728983
scaff_group001	NW_026459026.1	63498	3792481
scaff_group001	NW_026459027.1	59538	3852019
scaff_group001	NW_026459028.1	65485	3917504
scaff_group001	NW_026459030.1	72279	3989783
scaff_group001	NW_026459031.1	68528	4058311
scaff_group001	NW_026459032.1	72709	4131020
scaff_group001	NW_026459033.1	65782	4196802
scaff_group001	NW_026459034.1	66642	4263444
scaff_group001	NW_026459035.1	69253	4332697
scaff_group001	NW_026459036.1	63860	4396557
scaff_group001	NW_026459037.1	68399	4464956
scaff_group001	NW_026459038.1	68130	4533086
scaff_group001	NW_026459039.1	69627	4602713
scaff_group001	NW_026459040.1	73386	4676099
scaff_group001	NW_026459041.1	78060	4754159
scaff_group001	NW_026459042.1	59057	4813216
scaff_group001	NW_026459043.1	73826	4887042
scaff_group001	NW_026459044.1	53163	4940205
scaff_group001	NW_026459045.1	70813	5011018
scaff_group001	NW_026459046.1	66310	5077328
scaff_group001	NW_026459047.1	66540	5143868
scaff_group001	NW_026459048.1	61893	5205761
scaff_group001	NW_026459049.1	67604	5273365
scaff_group001	NW_026459050.1	64662	5338027
scaff_group001	NW_026459051.1	63177	5401204
scaff_group001	NW_026459052.1	75435	5476639
scaff_group001	NW_026459053.1	61386	5538025
scaff_group001	NW_026459054.1	70567	5608592
scaff_group001	NW_026459056.1	67926	5676518
scaff_group001	NW_026459057.1	63588	5740106
scaff_group001	NW_026459058.1	66280	5806386
scaff_group001	NW_026459059.1	53885	5860271
scaff_group001	NW_026459060.1	69281	5929552
scaff_group001	NW_026459061.1	74712	6004264
scaff_group001	NW_026459063.1	69874	6074138
scaff_group001	NW_026459064.1	44330	6118468
scaff_group001	NW_026459065.1	70763	6189231
scaff_group001	NW_026459066.1	77725	6266956
scaff_group001	NW_026459067.1	51766	6318722
scaff_group001	NW_026459068.1	68511	6387233
scaff_group001	NW_026459069.1	72923	6460156
scaff_group001	NW_026459070.1	67554	6527710
scaff_group001	NW_026459071.1	71109	6598819
scaff_group001	NW_026459072.1	36916	6635735
scaff_group001	NW_026459074.1	63048	6698783
scaff_group001	NW_026459075.1	66068	6764851
scaff_group001	NW_026459076.1	90911	6855762
scaff_group001	NW_026459077.1	69842	6925604
scaff_group001	NW_026459078.1	59482	6985086
scaff_group001	NW_026459079.1	74201	7059287
scaff_group001	NW_026459080.1	75443	7134730
scaff_group001	NW_026459081.1	34528	7169258
scaff_group001	NW_026459082.1	50229	7219487
scaff_group001	NW_026459083.1	11053	7230540
scaff_group001	NW_026459084.1	68252	7298792
scaff_group001	NW_026459086.1	68886	7367678
scaff_group001	NW_026459089.1	73408	7441086
scaff_group001	NW_026459090.1	73432	7514518
scaff_group001	NW_026459094.1	73831	7588349
scaff_group001	NW_026459095.1	63914	7652263
scaff_group001	NW_026459096.1	11642	7663905
scaff_group001	NW_026459097.1	62262	7726167
scaff_group001	NW_026459099.1	70115	7796282
scaff_group001	NW_026459104.1	12658	7808940
scaff_group001	NW_026459105.1	67466	7876406
scaff_group001	NW_026459106.1	65581	7941987
scaff_group001	NW_026459109.1	68946	8010933
scaff_group001	NW_026459111.1	67059	8077992
scaff_group001	NW_026459113.1	75088	8153080
scaff_group001	NW_026459115.1	15939	8169019
scaff_group001	NW_026459116.1	59397	8228416
scaff_group001	NW_026459117.1	75582	8303998
scaff_group001	NW_026459120.1	72909	8376907
scaff_group001	NW_026459121.1	15363	8392270
scaff_group001	NW_026459123.1	72034	8464304
scaff_group001	NW_026459126.1	67296	8531600
scaff_group001	NW_026459128.1	68259	8599859
scaff_group001	NW_026459129.1	67050	8666909
scaff_group001	NW_026459130.1	76658	8743567
scaff_group001	NW_026459131.1	15193	8758760
scaff_group001	NW_026459136.1	66902	8825662
scaff_group001	NW_026459138.1	65530	8891192
scaff_group001	NW_026459139.1	69340	8960532
scaff_group001	NW_026459141.1	65022	9025554
scaff_group001	NW_026459142.1	70696	9096250
scaff_group001	NW_026459143.1	14888	9111138
