id	scatter_idx	chrom	start	end	scatter_length
NC_055957.1	scat_0001	NC_055957.1	1	4708715	4708715
NC_055957.1	scat_0002	NC_055957.1	4708716	9417430	4708715
NC_055957.1	scat_0003	NC_055957.1	9417431	14126145	4708715
NC_055957.1	scat_0004	NC_055957.1	14126146	18834860	4708715
NC_055957.1	scat_0005	NC_055957.1	18834861	23543575	4708715
NC_055957.1	scat_0006	NC_055957.1	23543576	28252290	4708715
NC_055957.1	scat_0007	NC_055957.1	28252291	32961005	4708715
NC_055957.1	scat_0008	NC_055957.1	32961006	37669720	4708715
NC_055957.1	scat_0009	NC_055957.1	37669721	42378435	4708715
NC_055957.1	scat_0010	NC_055957.1	42378436	47087150	4708715
NC_055957.1	scat_0011	NC_055957.1	47087151	51795865	4708715
NC_055957.1	scat_0012	NC_055957.1	51795866	56504578	4708713
NC_055958.1	scat_0001	NC_055958.1	1	4932474	4932474
NC_055958.1	scat_0002	NC_055958.1	4932475	9864948	4932474
NC_055958.1	scat_0003	NC_055958.1	9864949	14797422	4932474
NC_055958.1	scat_0004	NC_055958.1	14797423	19729896	4932474
NC_055958.1	scat_0005	NC_055958.1	19729897	24662370	4932474
NC_055958.1	scat_0006	NC_055958.1	24662371	29594844	4932474
NC_055958.1	scat_0007	NC_055958.1	29594845	34527318	4932474
NC_055958.1	scat_0008	NC_055958.1	34527319	39459792	4932474
NC_055958.1	scat_0009	NC_055958.1	39459793	44392265	4932473
NC_055959.1	scat_0001	NC_055959.1	1	4638278	4638278
NC_055959.1	scat_0002	NC_055959.1	4638279	9276556	4638278
NC_055959.1	scat_0003	NC_055959.1	9276557	13914834	4638278
NC_055959.1	scat_0004	NC_055959.1	13914835	18553112	4638278
NC_055959.1	scat_0005	NC_055959.1	18553113	23191390	4638278
NC_055959.1	scat_0006	NC_055959.1	23191391	27829668	4638278
NC_055959.1	scat_0007	NC_055959.1	27829669	32467946	4638278
NC_055959.1	scat_0008	NC_055959.1	32467947	37106224	4638278
NC_055959.1	scat_0009	NC_055959.1	37106225	41744500	4638276
NC_055960.1	scat_0001	NC_055960.1	1	4484943	4484943
NC_055960.1	scat_0002	NC_055960.1	4484944	8969886	4484943
NC_055960.1	scat_0003	NC_055960.1	8969887	13454829	4484943
NC_055960.1	scat_0004	NC_055960.1	13454830	17939772	4484943
NC_055960.1	scat_0005	NC_055960.1	17939773	22424715	4484943
NC_055960.1	scat_0006	NC_055960.1	22424716	26909658	4484943
NC_055960.1	scat_0007	NC_055960.1	26909659	31394601	4484943
NC_055960.1	scat_0008	NC_055960.1	31394602	35879544	4484943
NC_055960.1	scat_0009	NC_055960.1	35879545	40364483	4484939
NC_055961.1	scat_0001	NC_055961.1	1	4467919	4467919
NC_055961.1	scat_0002	NC_055961.1	4467920	8935838	4467919
NC_055961.1	scat_0003	NC_055961.1	8935839	13403757	4467919
NC_055961.1	scat_0004	NC_055961.1	13403758	17871676	4467919
NC_055961.1	scat_0005	NC_055961.1	17871677	22339595	4467919
NC_055961.1	scat_0006	NC_055961.1	22339596	26807514	4467919
NC_055961.1	scat_0007	NC_055961.1	26807515	31275433	4467919
NC_055961.1	scat_0008	NC_055961.1	31275434	35743352	4467919
NC_055961.1	scat_0009	NC_055961.1	35743353	40211269	4467917
NC_055962.1	scat_0001	NC_055962.1	1	4976864	4976864
NC_055962.1	scat_0002	NC_055962.1	4976865	9953728	4976864
NC_055962.1	scat_0003	NC_055962.1	9953729	14930592	4976864
NC_055962.1	scat_0004	NC_055962.1	14930593	19907456	4976864
NC_055962.1	scat_0005	NC_055962.1	19907457	24884320	4976864
NC_055962.1	scat_0006	NC_055962.1	24884321	29861184	4976864
NC_055962.1	scat_0007	NC_055962.1	29861185	34838048	4976864
NC_055962.1	scat_0008	NC_055962.1	34838049	39814911	4976863
NW_024582116.1	scat_0001	NW_024582116.1	1	22192	22192
NC_055963.1	scat_0001	NC_055963.1	1	4918810	4918810
NC_055963.1	scat_0002	NC_055963.1	4918811	9837620	4918810
NC_055963.1	scat_0003	NC_055963.1	9837621	14756430	4918810
NC_055963.1	scat_0004	NC_055963.1	14756431	19675240	4918810
NC_055963.1	scat_0005	NC_055963.1	19675241	24594050	4918810
NC_055963.1	scat_0006	NC_055963.1	24594051	29512860	4918810
NC_055963.1	scat_0007	NC_055963.1	29512861	34431670	4918810
NC_055963.1	scat_0008	NC_055963.1	34431671	39350476	4918806
NC_055964.1	scat_0001	NC_055964.1	1	4864038	4864038
NC_055964.1	scat_0002	NC_055964.1	4864039	9728076	4864038
NC_055964.1	scat_0003	NC_055964.1	9728077	14592114	4864038
NC_055964.1	scat_0004	NC_055964.1	14592115	19456152	4864038
NC_055964.1	scat_0005	NC_055964.1	19456153	24320190	4864038
NC_055964.1	scat_0006	NC_055964.1	24320191	29184228	4864038
NC_055964.1	scat_0007	NC_055964.1	29184229	34048266	4864038
NC_055964.1	scat_0008	NC_055964.1	34048267	38912301	4864035
NC_055965.1	scat_0001	NC_055965.1	1	4824226	4824226
NC_055965.1	scat_0002	NC_055965.1	4824227	9648452	4824226
NC_055965.1	scat_0003	NC_055965.1	9648453	14472678	4824226
NC_055965.1	scat_0004	NC_055965.1	14472679	19296904	4824226
NC_055965.1	scat_0005	NC_055965.1	19296905	24121130	4824226
NC_055965.1	scat_0006	NC_055965.1	24121131	28945356	4824226
NC_055965.1	scat_0007	NC_055965.1	28945357	33769582	4824226
NC_055965.1	scat_0008	NC_055965.1	33769583	38593806	4824224
NC_055966.1	scat_0001	NC_055966.1	1	4822978	4822978
NC_055966.1	scat_0002	NC_055966.1	4822979	9645956	4822978
NC_055966.1	scat_0003	NC_055966.1	9645957	14468934	4822978
NC_055966.1	scat_0004	NC_055966.1	14468935	19291912	4822978
NC_055966.1	scat_0005	NC_055966.1	19291913	24114890	4822978
NC_055966.1	scat_0006	NC_055966.1	24114891	28937868	4822978
NC_055966.1	scat_0007	NC_055966.1	28937869	33760846	4822978
NC_055966.1	scat_0008	NC_055966.1	33760847	38583819	4822973
NC_055967.1	scat_0001	NC_055967.1	1	4805009	4805009
