id	scatter_idx	chrom	start	end	scatter_length
NC_069361.1	scat_0001	NC_069361.1	1	4844428	4844428
NC_069361.1	scat_0002	NC_069361.1	4844429	9688856	4844428
NC_069361.1	scat_0003	NC_069361.1	9688857	14533284	4844428
NC_069361.1	scat_0004	NC_069361.1	14533285	19377712	4844428
NC_069361.1	scat_0005	NC_069361.1	19377713	24222140	4844428
NC_069361.1	scat_0006	NC_069361.1	24222141	29066568	4844428
NC_069361.1	scat_0007	NC_069361.1	29066569	33910996	4844428
NC_069361.1	scat_0008	NC_069361.1	33910997	38755424	4844428
NC_069361.1	scat_0009	NC_069361.1	38755425	43599852	4844428
NC_069361.1	scat_0010	NC_069361.1	43599853	48444280	4844428
NC_069361.1	scat_0011	NC_069361.1	48444281	53288708	4844428
NC_069361.1	scat_0012	NC_069361.1	53288709	58133136	4844428
NC_069361.1	scat_0013	NC_069361.1	58133137	62977564	4844428
NC_069361.1	scat_0014	NC_069361.1	62977565	67821992	4844428
NC_069361.1	scat_0015	NC_069361.1	67821993	72666420	4844428
NC_069361.1	scat_0016	NC_069361.1	72666421	77510848	4844428
NC_069361.1	scat_0017	NC_069361.1	77510849	82355276	4844428
NC_069361.1	scat_0018	NC_069361.1	82355277	87199704	4844428
NC_069361.1	scat_0019	NC_069361.1	87199705	92044132	4844428
NC_069361.1	scat_0020	NC_069361.1	92044133	96888560	4844428
NC_069361.1	scat_0021	NC_069361.1	96888561	101732988	4844428
NC_069361.1	scat_0022	NC_069361.1	101732989	106577416	4844428
NC_069361.1	scat_0023	NC_069361.1	106577417	111421844	4844428
NC_069361.1	scat_0024	NC_069361.1	111421845	116266272	4844428
NC_069361.1	scat_0025	NC_069361.1	116266273	121110697	4844425
NC_069362.1	scat_0001	NC_069362.1	1	4819965	4819965
NC_069362.1	scat_0002	NC_069362.1	4819966	9639930	4819965
NC_069362.1	scat_0003	NC_069362.1	9639931	14459895	4819965
NC_069362.1	scat_0004	NC_069362.1	14459896	19279860	4819965
NC_069362.1	scat_0005	NC_069362.1	19279861	24099825	4819965
NC_069362.1	scat_0006	NC_069362.1	24099826	28919790	4819965
NC_069362.1	scat_0007	NC_069362.1	28919791	33739755	4819965
NC_069362.1	scat_0008	NC_069362.1	33739756	38559720	4819965
NC_069362.1	scat_0009	NC_069362.1	38559721	43379685	4819965
NC_069362.1	scat_0010	NC_069362.1	43379686	48199650	4819965
NC_069362.1	scat_0011	NC_069362.1	48199651	53019615	4819965
NC_069362.1	scat_0012	NC_069362.1	53019616	57839580	4819965
NC_069362.1	scat_0013	NC_069362.1	57839581	62659545	4819965
NC_069362.1	scat_0014	NC_069362.1	62659546	67479510	4819965
NC_069362.1	scat_0015	NC_069362.1	67479511	72299475	4819965
NC_069362.1	scat_0016	NC_069362.1	72299476	77119440	4819965
NC_069362.1	scat_0017	NC_069362.1	77119441	81939405	4819965
NC_069362.1	scat_0018	NC_069362.1	81939406	86759370	4819965
NC_069362.1	scat_0019	NC_069362.1	86759371	91579335	4819965
NC_069362.1	scat_0020	NC_069362.1	91579336	96399300	4819965
NC_069362.1	scat_0021	NC_069362.1	96399301	101219265	4819965
NC_069362.1	scat_0022	NC_069362.1	101219266	106039230	4819965
NC_069362.1	scat_0023	NC_069362.1	106039231	110859195	4819965
NC_069362.1	scat_0024	NC_069362.1	110859196	115679160	4819965
NC_069362.1	scat_0025	NC_069362.1	115679161	120499105	4819945
NC_069363.1	scat_0001	NC_069363.1	1	4956404	4956404
NC_069363.1	scat_0002	NC_069363.1	4956405	9912808	4956404
NC_069363.1	scat_0003	NC_069363.1	9912809	14869212	4956404
NC_069363.1	scat_0004	NC_069363.1	14869213	19825616	4956404
NC_069363.1	scat_0005	NC_069363.1	19825617	24782020	4956404
NC_069363.1	scat_0006	NC_069363.1	24782021	29738424	4956404
NC_069363.1	scat_0007	NC_069363.1	29738425	34694828	4956404
NC_069363.1	scat_0008	NC_069363.1	34694829	39651232	4956404
NC_069363.1	scat_0009	NC_069363.1	39651233	44607636	4956404
NC_069363.1	scat_0010	NC_069363.1	44607637	49564040	4956404
NC_069363.1	scat_0011	NC_069363.1	49564041	54520444	4956404
NC_069363.1	scat_0012	NC_069363.1	54520445	59476848	4956404
NC_069363.1	scat_0013	NC_069363.1	59476849	64433252	4956404
NC_069363.1	scat_0014	NC_069363.1	64433253	69389656	4956404
NC_069363.1	scat_0015	NC_069363.1	69389657	74346060	4956404
NC_069363.1	scat_0016	NC_069363.1	74346061	79302464	4956404
NC_069363.1	scat_0017	NC_069363.1	79302465	84258868	4956404
NC_069363.1	scat_0018	NC_069363.1	84258869	89215272	4956404
NC_069363.1	scat_0019	NC_069363.1	89215273	94171676	4956404
NC_069363.1	scat_0020	NC_069363.1	94171677	99128080	4956404
NC_069363.1	scat_0021	NC_069363.1	99128081	104084471	4956391
NC_069364.1	scat_0001	NC_069364.1	1	4808048	4808048
NC_069364.1	scat_0002	NC_069364.1	4808049	9616096	4808048
NC_069364.1	scat_0003	NC_069364.1	9616097	14424144	4808048
NC_069364.1	scat_0004	NC_069364.1	14424145	19232192	4808048
NC_069364.1	scat_0005	NC_069364.1	19232193	24040240	4808048
NC_069364.1	scat_0006	NC_069364.1	24040241	28848288	4808048
NC_069364.1	scat_0007	NC_069364.1	28848289	33656336	4808048
NC_069364.1	scat_0008	NC_069364.1	33656337	38464384	4808048
NC_069364.1	scat_0009	NC_069364.1	38464385	43272432	4808048
NC_069364.1	scat_0010	NC_069364.1	43272433	48080480	4808048
NC_069364.1	scat_0011	NC_069364.1	48080481	52888528	4808048
NC_069364.1	scat_0012	NC_069364.1	52888529	57696576	4808048
NC_069364.1	scat_0013	NC_069364.1	57696577	62504624	4808048
NC_069364.1	scat_0014	NC_069364.1	62504625	67312672	4808048
NC_069364.1	scat_0015	NC_069364.1	67312673	72120720	4808048
NC_069364.1	scat_0016	NC_069364.1	72120721	76928768	4808048
NC_069364.1	scat_0017	NC_069364.1	76928769	81736816	4808048
NC_069364.1	scat_0018	NC_069364.1	81736817	86544864	4808048
NC_069364.1	scat_0019	NC_069364.1	86544865	91352912	4808048
NC_069364.1	scat_0020	NC_069364.1	91352913	96160960	4808048
NC_069364.1	scat_0021	NC_069364.1	96160961	100968995	4808035
NC_069365.1	scat_0001	NC_069365.1	1	4891610	4891610
NC_069365.1	scat_0002	NC_069365.1	4891611	9783220	4891610
NC_069365.1	scat_0003	NC_069365.1	9783221	14674830	4891610
NC_069365.1	scat_0004	NC_069365.1	14674831	19566440	4891610
NC_069365.1	scat_0005	NC_069365.1	19566441	24458050	4891610
NC_069365.1	scat_0006	NC_069365.1	24458051	29349660	4891610
NC_069365.1	scat_0007	NC_069365.1	29349661	34241270	4891610
