id	chrom	len	cumul
scaff_group001	NW_023493657.1	4173621	4173621
scaff_group001	NW_023493658.1	2864942	7038563
scaff_group001	NW_023493659.1	2745910	9784473
scaff_group001	NW_023493660.1	1886234	11670707
scaff_group001	NW_023493661.1	1874749	13545456
scaff_group001	NW_023493662.1	1797194	15342650
scaff_group001	NW_023493663.1	1654043	16996693
scaff_group001	NW_023493664.1	1504970	18501663
scaff_group001	NW_023493665.1	1484196	19985859
scaff_group001	NW_023493666.1	1258143	21244002
scaff_group001	NW_023493667.1	1125905	22369907
scaff_group001	NW_023493668.1	1079841	23449748
scaff_group001	NW_023493669.1	996466	24446214
scaff_group001	NW_023493670.1	928286	25374500
scaff_group001	NW_023493671.1	920589	26295089
scaff_group001	NW_023493672.1	888553	27183642
scaff_group001	NW_023493673.1	880732	28064374
scaff_group001	NW_023493674.1	871358	28935732
scaff_group001	NW_023493675.1	858942	29794674
scaff_group001	NW_023493676.1	856417	30651091
scaff_group001	NW_023493677.1	844186	31495277
scaff_group001	NW_023493678.1	817877	32313154
scaff_group001	NW_023493679.1	813722	33126876
scaff_group001	NW_023493680.1	802530	33929406
scaff_group001	NW_023493681.1	721750	34651156
scaff_group001	NW_023493682.1	677476	35328632
scaff_group001	NW_023493683.1	673672	36002304
scaff_group001	NW_023493684.1	666177	36668481
scaff_group001	NW_023493685.1	631356	37299837
scaff_group001	NW_023493686.1	624742	37924579
scaff_group001	NW_023493687.1	614079	38538658
scaff_group001	NW_023493688.1	586704	39125362
scaff_group001	NW_023493689.1	585200	39710562
scaff_group001	NW_023493690.1	581096	40291658
scaff_group001	NW_023493691.1	579594	40871252
scaff_group001	NW_023493692.1	571058	41442310
scaff_group001	NW_023493693.1	569428	42011738
scaff_group001	NW_023493694.1	566240	42577978
scaff_group001	NW_023493695.1	522437	43100415
scaff_group001	NW_023493696.1	555235	43655650
scaff_group001	NW_023493697.1	553900	44209550
scaff_group001	NW_023493698.1	512900	44722450
scaff_group001	NW_023493699.1	510155	45232605
scaff_group001	NW_023493700.1	494969	45727574
scaff_group001	NW_023493701.1	454405	46181979
scaff_group001	NW_023493702.1	476391	46658370
scaff_group001	NW_023493703.1	444543	47102913
scaff_group001	NW_023493704.1	431231	47534144
scaff_group001	NW_023493705.1	393735	47927879
scaff_group001	NW_023493706.1	390127	48318006
scaff_group001	NW_023493707.1	371972	48689978
scaff_group001	NW_023493708.1	280603	48970581
scaff_group001	NW_023493709.1	360411	49330992
scaff_group001	NW_023493710.1	357920	49688912
scaff_group001	NW_023493711.1	346706	50035618
scaff_group001	NW_023493712.1	344771	50380389
scaff_group001	NW_023493713.1	326358	50706747
scaff_group001	NW_023493714.1	322154	51028901
scaff_group001	NW_023493715.1	317248	51346149
scaff_group001	NW_023493716.1	310465	51656614
scaff_group001	NW_023493717.1	303798	51960412
scaff_group001	NW_023493718.1	304122	52264534
scaff_group001	NW_023493719.1	294106	52558640
scaff_group001	NW_023493720.1	292263	52850903
scaff_group001	NW_023493721.1	285447	53136350
scaff_group001	NW_023493722.1	281602	53417952
scaff_group001	NW_023493723.1	277254	53695206
scaff_group001	NW_023493724.1	270651	53965857
scaff_group001	NW_023493725.1	267613	54233470
scaff_group001	NW_023493726.1	264701	54498171
scaff_group001	NW_023493727.1	263776	54761947
scaff_group001	NW_023493728.1	262636	55024583
scaff_group001	NW_023493729.1	262149	55286732
scaff_group001	NW_023493730.1	261280	55548012
scaff_group001	NW_023493731.1	258486	55806498
scaff_group002	NW_023493732.1	257264	56063762
scaff_group002	NW_023493733.1	256012	56319774
scaff_group002	NW_023493734.1	255236	56575010
scaff_group002	NW_023493735.1	254303	56829313
scaff_group002	NW_023493736.1	251635	57080948
scaff_group002	NW_023493737.1	248635	57329583
scaff_group002	NW_023493738.1	244422	57574005
scaff_group002	NW_023493739.1	242555	57816560
scaff_group002	NW_023493740.1	241564	58058124
scaff_group002	NW_023493741.1	234810	58292934
scaff_group002	NW_023493742.1	233449	58526383
scaff_group002	NW_023493743.1	230526	58756909
scaff_group002	NW_023493744.1	227073	58983982
scaff_group002	NW_023493745.1	225311	59209293
scaff_group002	NW_023493746.1	224729	59434022
scaff_group002	NW_023493747.1	220602	59654624
scaff_group002	NW_023493748.1	217504	59872128
scaff_group002	NW_023493749.1	217487	60089615
scaff_group002	NW_023493750.1	215874	60305489
scaff_group002	NW_023493751.1	211368	60516857
scaff_group002	NW_023493752.1	209781	60726638
scaff_group002	NW_023493753.1	209243	60935881
scaff_group002	NW_023493754.1	208685	61144566
scaff_group002	NW_023493755.1	205087	61349653
scaff_group002	NW_023493756.1	204828	61554481
scaff_group002	NW_023493757.1	203669	61758150
scaff_group002	NW_023493758.1	203074	61961224
scaff_group002	NW_023493759.1	199767	62160991
scaff_group002	NW_023493760.1	198720	62359711
scaff_group002	NW_023493761.1	196600	62556311
scaff_group002	NW_023493762.1	195254	62751565
scaff_group002	NW_023493763.1	194312	62945877
scaff_group002	NW_023493764.1	191184	63137061
scaff_group002	NW_023493765.1	189006	63326067
scaff_group002	NW_023493766.1	186717	63512784
scaff_group002	NW_023493767.1	185860	63698644
scaff_group002	NW_023493768.1	184161	63882805
scaff_group002	NW_023493769.1	183173	64065978
scaff_group002	NW_023493770.1	177119	64243097
scaff_group002	NW_023493771.1	175105	64418202
scaff_group002	NW_023493772.1	171834	64590036
scaff_group002	NW_023493773.1	171737	64761773
scaff_group002	NW_023493774.1	169868	64931641
scaff_group002	NW_023493775.1	167894	65099535
