id	chrom	len	cumul
scaff_group_001	JAEPEU010001976.1	276	276
scaff_group_001	JAEPEU010009262.1	333	609
scaff_group_001	JAEPEU010007942.1	367	976
scaff_group_001	JAEPEU010006675.1	416	1392
scaff_group_001	JAEPEU010003074.1	440	1832
scaff_group_001	JAEPEU010005026.1	456	2288
scaff_group_001	JAEPEU010006399.1	470	2758
scaff_group_001	JAEPEU010005944.1	488	3246
scaff_group_001	JAEPEU010009554.1	497	3743
scaff_group_001	JAEPEU010004236.1	506	4249
scaff_group_001	JAEPEU010002445.1	511	4760
scaff_group_001	JAEPEU010003870.1	514	5274
scaff_group_001	JAEPEU010003368.1	517	5791
scaff_group_001	JAEPEU010000536.1	520	6311
scaff_group_001	JAEPEU010003859.1	526	6837
scaff_group_001	JAEPEU010002493.1	532	7369
scaff_group_001	JAEPEU010008629.1	537	7906
scaff_group_001	JAEPEU010002429.1	540	8446
scaff_group_001	JAEPEU010008987.1	545	8991
scaff_group_001	JAEPEU010009275.1	551	9542
scaff_group_001	JAEPEU010004470.1	555	10097
scaff_group_001	JAEPEU010007409.1	561	10658
scaff_group_001	JAEPEU010008764.1	568	11226
scaff_group_001	JAEPEU010003872.1	570	11796
scaff_group_001	JAEPEU010003924.1	578	12374
scaff_group_001	JAEPEU010002026.1	584	12958
scaff_group_001	JAEPEU010005401.1	589	13547
scaff_group_001	JAEPEU010003579.1	594	14141
scaff_group_001	JAEPEU010004050.1	600	14741
scaff_group_001	JAEPEU010003784.1	605	15346
scaff_group_001	JAEPEU010004266.1	611	15957
scaff_group_001	JAEPEU010004424.1	617	16574
scaff_group_001	JAEPEU010008587.1	620	17194
scaff_group_001	JAEPEU010002352.1	630	17824
scaff_group_001	JAEPEU010009891.1	637	18461
scaff_group_001	JAEPEU010009560.1	642	19103
scaff_group_001	JAEPEU010002012.1	647	19750
scaff_group_001	JAEPEU010000930.1	653	20403
scaff_group_001	JAEPEU010007916.1	657	21060
scaff_group_001	JAEPEU010001555.1	663	21723
scaff_group_001	JAEPEU010008754.1	672	22395
scaff_group_001	JAEPEU010002406.1	681	23076
scaff_group_001	JAEPEU010004113.1	690	23766
scaff_group_001	JAEPEU010001545.1	699	24465
scaff_group_001	JAEPEU010002690.1	704	25169
scaff_group_001	JAEPEU010004766.1	713	25882
scaff_group_001	JAEPEU010007403.1	720	26602
scaff_group_001	JAEPEU010000293.1	726	27328
scaff_group_001	JAEPEU010004471.1	731	28059
scaff_group_001	JAEPEU010009788.1	738	28797
scaff_group_001	JAEPEU010003358.1	745	29542
scaff_group_001	JAEPEU010004288.1	754	30296
scaff_group_001	JAEPEU010002222.1	761	31057
scaff_group_001	JAEPEU010002836.1	771	31828
scaff_group_001	JAEPEU010002428.1	777	32605
scaff_group_001	JAEPEU010001986.1	786	33391
scaff_group_001	JAEPEU010007267.1	798	34189
scaff_group_001	JAEPEU010008511.1	806	34995
scaff_group_001	JAEPEU010007900.1	814	35809
scaff_group_001	JAEPEU010000156.1	820	36629
scaff_group_001	JAEPEU010005768.1	824	37453
scaff_group_001	JAEPEU010001675.1	835	38288
scaff_group_001	JAEPEU010008446.1	843	39131
scaff_group_001	JAEPEU010004280.1	859	39990
scaff_group_001	JAEPEU010008796.1	871	40861
scaff_group_001	JAEPEU010008000.1	877	41738
scaff_group_001	JAEPEU010006369.1	889	42627
scaff_group_001	JAEPEU010002028.1	896	43523
scaff_group_001	JAEPEU010007246.1	903	44426
scaff_group_001	JAEPEU010005276.1	910	45336
scaff_group_001	JAEPEU010009888.1	914	46250
scaff_group_001	JAEPEU010002468.1	919	47169
scaff_group_001	JAEPEU010002755.1	927	48096
scaff_group_001	JAEPEU010002140.1	934	49030
scaff_group_001	JAEPEU010003339.1	945	49975
scaff_group_001	JAEPEU010001762.1	958	50933
scaff_group_001	JAEPEU010002906.1	974	51907
scaff_group_001	JAEPEU010001615.1	985	52892
scaff_group_001	JAEPEU010009883.1	1001	53893
scaff_group_001	JAEPEU010003783.1	1017	54910
scaff_group_001	JAEPEU010000933.1	1034	55944
scaff_group_001	JAEPEU010004314.1	1043	56987
scaff_group_001	JAEPEU010000301.1	1057	58044
scaff_group_001	JAEPEU010004372.1	1063	59107
scaff_group_001	JAEPEU010008822.1	1075	60182
scaff_group_001	JAEPEU010002890.1	1083	61265
scaff_group_001	JAEPEU010002993.1	1097	62362
scaff_group_001	JAEPEU010004012.1	1104	63466
scaff_group_001	JAEPEU010002126.1	1113	64579
scaff_group_001	JAEPEU010002081.1	1123	65702
scaff_group_001	JAEPEU010004511.1	1136	66838
scaff_group_001	JAEPEU010000319.1	1146	67984
scaff_group_001	JAEPEU010001230.1	1163	69147
scaff_group_001	JAEPEU010007714.1	1172	70319
scaff_group_001	JAEPEU010008491.1	1179	71498
scaff_group_001	JAEPEU010009787.1	1190	72688
scaff_group_001	JAEPEU010003474.1	1199	73887
scaff_group_001	JAEPEU010008193.1	1207	75094
scaff_group_001	JAEPEU010003871.1	1216	76310
scaff_group_001	JAEPEU010006304.1	1228	77538
scaff_group_001	JAEPEU010003377.1	1233	78771
scaff_group_001	JAEPEU010001470.1	1244	80015
scaff_group_001	JAEPEU010008712.1	1261	81276
scaff_group_001	JAEPEU010003433.1	1269	82545
scaff_group_001	JAEPEU010008955.1	1283	83828
scaff_group_001	JAEPEU010007109.1	1290	85118
scaff_group_001	JAEPEU010007297.1	1303	86421
scaff_group_001	JAEPEU010004124.1	1317	87738
scaff_group_001	JAEPEU010001731.1	1326	89064
scaff_group_001	JAEPEU010007040.1	1340	90404
scaff_group_001	JAEPEU010005949.1	1356	91760
scaff_group_001	JAEPEU010008535.1	1368	93128
scaff_group_001	JAEPEU010004332.1	1381	94509
scaff_group_001	JAEPEU010008188.1	1390	95899
