chrom	num_bases
NC_037097.1	96198142
NC_037098.1	57406636
NC_037099.1	81079776
NC_037100.1	74299616
NC_037101.1	93271540
NC_037102.1	77009353
NC_037103.1	86953105
NC_037104.1	73297397
NC_037105.1	90872356
NC_037106.1	60898746
NC_037107.1	48052637
NC_037108.1	77127610
NC_037109.1	75288599
NC_037110.1	55471129
NC_037111.1	39428130
NC_037112.1	70616635
NC_037113.1	22714575
NC_037114.1	40412799
NC_037115.1	55012541
NC_037116.1	47556325
NC_037117.1	37043404
NC_037118.1	41221645
NC_037119.1	22700843
NC_037120.1	26611365
NC_037121.1	39160273
NC_037122.1	45903566
NC_037123.1	18375126
NC_037124.1	40359125
NC_037125.1	34644177
NC_037126.1	42913752
NC_037127.1	36717787
NC_037128.1	13335349
NC_037129.1	37913358
NC_037130.1	17226513
