id	scatter_idx	chrom	start	end	scatter_length
CM031199.1	scat_0001	CM031199.1	1	1166667	1166667
CM031199.1	scat_0002	CM031199.1	1166668	2333334	1166667
CM031199.1	scat_0003	CM031199.1	2333335	3500001	1166667
CM031199.1	scat_0004	CM031199.1	3500002	4666668	1166667
CM031199.1	scat_0005	CM031199.1	4666669	5833335	1166667
CM031199.1	scat_0006	CM031199.1	5833336	7000002	1166667
CM031199.1	scat_0007	CM031199.1	7000003	8166669	1166667
CM031199.1	scat_0008	CM031199.1	8166670	9333336	1166667
CM031199.1	scat_0009	CM031199.1	9333337	10500003	1166667
CM031199.1	scat_0010	CM031199.1	10500004	11666670	1166667
CM031199.1	scat_0011	CM031199.1	11666671	12833337	1166667
CM031199.1	scat_0012	CM031199.1	12833338	14000000	1166663
CM031200.1	scat_0001	CM031200.1	1	1200000	1200000
CM031200.1	scat_0002	CM031200.1	1200001	2400000	1200000
CM031200.1	scat_0003	CM031200.1	2400001	3600000	1200000
CM031200.1	scat_0004	CM031200.1	3600001	4800000	1200000
CM031200.1	scat_0005	CM031200.1	4800001	6000000	1200000
CM031200.1	scat_0006	CM031200.1	6000001	7200000	1200000
CM031200.1	scat_0007	CM031200.1	7200001	8400000	1200000
CM031200.1	scat_0008	CM031200.1	8400001	9600000	1200000
CM031200.1	scat_0009	CM031200.1	9600001	10800000	1200000
CM031200.1	scat_0010	CM031200.1	10800001	12000000	1200000
CM031201.1	scat_0001	CM031201.1	1	1111112	1111112
CM031201.1	scat_0002	CM031201.1	1111113	2222224	1111112
CM031201.1	scat_0003	CM031201.1	2222225	3333336	1111112
CM031201.1	scat_0004	CM031201.1	3333337	4444448	1111112
CM031201.1	scat_0005	CM031201.1	4444449	5555560	1111112
CM031201.1	scat_0006	CM031201.1	5555561	6666672	1111112
CM031201.1	scat_0007	CM031201.1	6666673	7777784	1111112
CM031201.1	scat_0008	CM031201.1	7777785	8888896	1111112
CM031201.1	scat_0009	CM031201.1	8888897	10000000	1111104
CM031202.1	scat_0001	CM031202.1	1	1200000	1200000
CM031202.1	scat_0002	CM031202.1	1200001	2400000	1200000
CM031202.1	scat_0003	CM031202.1	2400001	3600000	1200000
CM031202.1	scat_0004	CM031202.1	3600001	4800000	1200000
CM031202.1	scat_0005	CM031202.1	4800001	6000000	1200000
scaff_group_001	scat_0001	JAEPEU010001976.1	1	276	1199605
scaff_group_001	scat_0001	JAEPEU010009262.1	1	333	1199605
scaff_group_001	scat_0001	JAEPEU010007942.1	1	367	1199605
scaff_group_001	scat_0001	JAEPEU010006675.1	1	416	1199605
scaff_group_001	scat_0001	JAEPEU010003074.1	1	440	1199605
scaff_group_001	scat_0001	JAEPEU010005026.1	1	456	1199605
scaff_group_001	scat_0001	JAEPEU010006399.1	1	470	1199605
scaff_group_001	scat_0001	JAEPEU010005944.1	1	488	1199605
scaff_group_001	scat_0001	JAEPEU010009554.1	1	497	1199605
scaff_group_001	scat_0001	JAEPEU010004236.1	1	506	1199605
scaff_group_001	scat_0001	JAEPEU010002445.1	1	511	1199605
scaff_group_001	scat_0001	JAEPEU010003870.1	1	514	1199605
scaff_group_001	scat_0001	JAEPEU010003368.1	1	517	1199605
scaff_group_001	scat_0001	JAEPEU010000536.1	1	520	1199605
scaff_group_001	scat_0001	JAEPEU010003859.1	1	526	1199605
scaff_group_001	scat_0001	JAEPEU010002493.1	1	532	1199605
scaff_group_001	scat_0001	JAEPEU010008629.1	1	537	1199605
scaff_group_001	scat_0001	JAEPEU010002429.1	1	540	1199605
scaff_group_001	scat_0001	JAEPEU010008987.1	1	545	1199605
scaff_group_001	scat_0001	JAEPEU010009275.1	1	551	1199605
