id	scatter_idx	chrom	start	end	scatter_length
NC_048565.1	scat_0001	NC_048565.1	1	4788618	4788618
NC_048565.1	scat_0002	NC_048565.1	4788619	9577236	4788618
NC_048565.1	scat_0003	NC_048565.1	9577237	14365854	4788618
NC_048565.1	scat_0004	NC_048565.1	14365855	19154472	4788618
NC_048565.1	scat_0005	NC_048565.1	19154473	23943090	4788618
NC_048565.1	scat_0006	NC_048565.1	23943091	28731708	4788618
NC_048565.1	scat_0007	NC_048565.1	28731709	33520326	4788618
NC_048565.1	scat_0008	NC_048565.1	33520327	38308944	4788618
NC_048565.1	scat_0009	NC_048565.1	38308945	43097562	4788618
NC_048565.1	scat_0010	NC_048565.1	43097563	47886180	4788618
NC_048565.1	scat_0011	NC_048565.1	47886181	52674798	4788618
NC_048565.1	scat_0012	NC_048565.1	52674799	57463416	4788618
NC_048565.1	scat_0013	NC_048565.1	57463417	62252034	4788618
NC_048565.1	scat_0014	NC_048565.1	62252035	67040652	4788618
NC_048565.1	scat_0015	NC_048565.1	67040653	71829270	4788618
NC_048565.1	scat_0016	NC_048565.1	71829271	76617888	4788618
NC_048565.1	scat_0017	NC_048565.1	76617889	81406506	4788618
NC_048565.1	scat_0018	NC_048565.1	81406507	86195124	4788618
NC_048565.1	scat_0019	NC_048565.1	86195125	90983742	4788618
NC_048565.1	scat_0020	NC_048565.1	90983743	95772356	4788614
NC_048566.1	scat_0001	NC_048566.1	1	4943185	4943185
NC_048566.1	scat_0002	NC_048566.1	4943186	9886370	4943185
NC_048566.1	scat_0003	NC_048566.1	9886371	14829555	4943185
NC_048566.1	scat_0004	NC_048566.1	14829556	19772740	4943185
NC_048566.1	scat_0005	NC_048566.1	19772741	24715925	4943185
NC_048566.1	scat_0006	NC_048566.1	24715926	29659110	4943185
NC_048566.1	scat_0007	NC_048566.1	29659111	34602295	4943185
NC_048566.1	scat_0008	NC_048566.1	34602296	39545480	4943185
NC_048566.1	scat_0009	NC_048566.1	39545481	44488665	4943185
NC_048566.1	scat_0010	NC_048566.1	44488666	49431850	4943185
NC_048566.1	scat_0011	NC_048566.1	49431851	54375035	4943185
NC_048566.1	scat_0012	NC_048566.1	54375036	59318220	4943185
NC_048566.1	scat_0013	NC_048566.1	59318221	64261405	4943185
NC_048566.1	scat_0014	NC_048566.1	64261406	69204590	4943185
NC_048566.1	scat_0015	NC_048566.1	69204591	74147775	4943185
