id	scatter_idx	chrom	start	end	scatter_length
NC_048565.1	scat_0001	NC_048565.1	1	2992887	2992887
NC_048565.1	scat_0002	NC_048565.1	2992888	5985774	2992887
NC_048565.1	scat_0003	NC_048565.1	5985775	8978661	2992887
NC_048565.1	scat_0004	NC_048565.1	8978662	11971548	2992887
NC_048565.1	scat_0005	NC_048565.1	11971549	14964435	2992887
NC_048565.1	scat_0006	NC_048565.1	14964436	17957322	2992887
NC_048565.1	scat_0007	NC_048565.1	17957323	20950209	2992887
NC_048565.1	scat_0008	NC_048565.1	20950210	23943096	2992887
NC_048565.1	scat_0009	NC_048565.1	23943097	26935983	2992887
NC_048565.1	scat_0010	NC_048565.1	26935984	29928870	2992887
NC_048565.1	scat_0011	NC_048565.1	29928871	32921757	2992887
NC_048565.1	scat_0012	NC_048565.1	32921758	35914644	2992887
NC_048565.1	scat_0013	NC_048565.1	35914645	38907531	2992887
NC_048565.1	scat_0014	NC_048565.1	38907532	41900418	2992887
NC_048565.1	scat_0015	NC_048565.1	41900419	44893305	2992887
NC_048565.1	scat_0016	NC_048565.1	44893306	47886192	2992887
NC_048565.1	scat_0017	NC_048565.1	47886193	50879079	2992887
NC_048565.1	scat_0018	NC_048565.1	50879080	53871966	2992887
NC_048565.1	scat_0019	NC_048565.1	53871967	56864853	2992887
NC_048565.1	scat_0020	NC_048565.1	56864854	59857740	2992887
NC_048565.1	scat_0021	NC_048565.1	59857741	62850627	2992887
NC_048565.1	scat_0022	NC_048565.1	62850628	65843514	2992887
NC_048565.1	scat_0023	NC_048565.1	65843515	68836401	2992887
NC_048565.1	scat_0024	NC_048565.1	68836402	71829288	2992887
NC_048565.1	scat_0025	NC_048565.1	71829289	74822175	2992887
NC_048565.1	scat_0026	NC_048565.1	74822176	77815062	2992887
NC_048565.1	scat_0027	NC_048565.1	77815063	80807949	2992887
NC_048565.1	scat_0028	NC_048565.1	80807950	83800836	2992887
NC_048565.1	scat_0029	NC_048565.1	83800837	86793723	2992887
NC_048565.1	scat_0030	NC_048565.1	86793724	89786610	2992887
NC_048565.1	scat_0031	NC_048565.1	89786611	92779497	2992887
NC_048565.1	scat_0032	NC_048565.1	92779498	95772356	2992859
NC_048566.1	scat_0001	NC_048566.1	1	2965911	2965911
NC_048566.1	scat_0002	NC_048566.1	2965912	5931822	2965911
NC_048566.1	scat_0003	NC_048566.1	5931823	8897733	2965911
NC_048566.1	scat_0004	NC_048566.1	8897734	11863644	2965911
NC_048566.1	scat_0005	NC_048566.1	11863645	14829555	2965911
NC_048566.1	scat_0006	NC_048566.1	14829556	17795466	2965911
NC_048566.1	scat_0007	NC_048566.1	17795467	20761377	2965911
NC_048566.1	scat_0008	NC_048566.1	20761378	23727288	2965911
NC_048566.1	scat_0009	NC_048566.1	23727289	26693199	2965911
NC_048566.1	scat_0010	NC_048566.1	26693200	29659110	2965911
NC_048566.1	scat_0011	NC_048566.1	29659111	32625021	2965911
NC_048566.1	scat_0012	NC_048566.1	32625022	35590932	2965911
NC_048566.1	scat_0013	NC_048566.1	35590933	38556843	2965911
NC_048566.1	scat_0014	NC_048566.1	38556844	41522754	2965911
NC_048566.1	scat_0015	NC_048566.1	41522755	44488665	2965911
NC_048566.1	scat_0016	NC_048566.1	44488666	47454576	2965911
NC_048566.1	scat_0017	NC_048566.1	47454577	50420487	2965911
NC_048566.1	scat_0018	NC_048566.1	50420488	53386398	2965911
NC_048566.1	scat_0019	NC_048566.1	53386399	56352309	2965911
