chrom	num_bases
NC_056429.1	95801903
NC_056430.1	75537397
NC_056431.1	81554755
NC_056432.1	75613410
NC_056433.1	90317969
NC_056434.1	80340224
NC_056435.1	77130101
NC_056436.1	91267893
NC_056437.1	86417572
NC_056438.1	84826039
NC_056439.1	56679371
NC_056440.1	75652860
NC_056441.1	95666326
NC_056442.1	62516319
NC_056443.1	41069628
NC_056444.1	89555470
NC_056445.1	24928494
NC_056446.1	46953456
NC_056447.1	60026146
NC_056448.1	52270623
NC_056449.1	44939649
NC_056450.1	46238377
NC_056451.1	27813821
NC_056452.1	34545068
NC_056453.1	47919032
NC_056454.1	54312133
NC_056455.1	21534814
NC_056456.1	45212454
NC_056457.1	39891728
NC_056458.1	52926507
NC_056459.1	41055135
NC_056460.1	16871153
NC_056461.1	50232734
NC_056462.1	15889890
