id	scatter_idx	chrom	start	end	scatter_length
NC_037097.1	scat_0001	NC_037097.1	1	4809908	4809908
NC_037097.1	scat_0002	NC_037097.1	4809909	9619816	4809908
NC_037097.1	scat_0003	NC_037097.1	9619817	14429724	4809908
NC_037097.1	scat_0004	NC_037097.1	14429725	19239632	4809908
NC_037097.1	scat_0005	NC_037097.1	19239633	24049540	4809908
NC_037097.1	scat_0006	NC_037097.1	24049541	28859448	4809908
NC_037097.1	scat_0007	NC_037097.1	28859449	33669356	4809908
NC_037097.1	scat_0008	NC_037097.1	33669357	38479264	4809908
NC_037097.1	scat_0009	NC_037097.1	38479265	43289172	4809908
NC_037097.1	scat_0010	NC_037097.1	43289173	48099080	4809908
NC_037097.1	scat_0011	NC_037097.1	48099081	52908988	4809908
NC_037097.1	scat_0012	NC_037097.1	52908989	57718896	4809908
NC_037097.1	scat_0013	NC_037097.1	57718897	62528804	4809908
NC_037097.1	scat_0014	NC_037097.1	62528805	67338712	4809908
NC_037097.1	scat_0015	NC_037097.1	67338713	72148620	4809908
NC_037097.1	scat_0016	NC_037097.1	72148621	76958528	4809908
NC_037097.1	scat_0017	NC_037097.1	76958529	81768436	4809908
NC_037097.1	scat_0018	NC_037097.1	81768437	86578344	4809908
NC_037097.1	scat_0019	NC_037097.1	86578345	91388252	4809908
NC_037097.1	scat_0020	NC_037097.1	91388253	96198142	4809890
NC_037098.1	scat_0001	NC_037098.1	1	4783887	4783887
NC_037098.1	scat_0002	NC_037098.1	4783888	9567774	4783887
NC_037098.1	scat_0003	NC_037098.1	9567775	14351661	4783887
NC_037098.1	scat_0004	NC_037098.1	14351662	19135548	4783887
NC_037098.1	scat_0005	NC_037098.1	19135549	23919435	4783887
NC_037098.1	scat_0006	NC_037098.1	23919436	28703322	4783887
NC_037098.1	scat_0007	NC_037098.1	28703323	33487209	4783887
NC_037098.1	scat_0008	NC_037098.1	33487210	38271096	4783887
NC_037098.1	scat_0009	NC_037098.1	38271097	43054983	4783887
NC_037098.1	scat_0010	NC_037098.1	43054984	47838870	4783887
NC_037098.1	scat_0011	NC_037098.1	47838871	52622757	4783887
NC_037098.1	scat_0012	NC_037098.1	52622758	57406636	4783879
NC_037099.1	scat_0001	NC_037099.1	1	4769399	4769399
NC_037099.1	scat_0002	NC_037099.1	4769400	9538798	4769399
NC_037099.1	scat_0003	NC_037099.1	9538799	14308197	4769399
NC_037099.1	scat_0004	NC_037099.1	14308198	19077596	4769399
NC_037099.1	scat_0005	NC_037099.1	19077597	23846995	4769399
NC_037099.1	scat_0006	NC_037099.1	23846996	28616394	4769399
NC_037099.1	scat_0007	NC_037099.1	28616395	33385793	4769399
NC_037099.1	scat_0008	NC_037099.1	33385794	38155192	4769399
NC_037099.1	scat_0009	NC_037099.1	38155193	42924591	4769399
NC_037099.1	scat_0010	NC_037099.1	42924592	47693990	4769399
NC_037099.1	scat_0011	NC_037099.1	47693991	52463389	4769399
NC_037099.1	scat_0012	NC_037099.1	52463390	57232788	4769399
NC_037099.1	scat_0013	NC_037099.1	57232789	62002187	4769399
NC_037099.1	scat_0014	NC_037099.1	62002188	66771586	4769399
NC_037099.1	scat_0015	NC_037099.1	66771587	71540985	4769399
NC_037099.1	scat_0016	NC_037099.1	71540986	76310384	4769399
NC_037099.1	scat_0017	NC_037099.1	76310385	81079776	4769392
NC_037100.1	scat_0001	NC_037100.1	1	4953308	4953308
NC_037100.1	scat_0002	NC_037100.1	4953309	9906616	4953308
NC_037100.1	scat_0003	NC_037100.1	9906617	14859924	4953308
NC_037100.1	scat_0004	NC_037100.1	14859925	19813232	4953308
NC_037100.1	scat_0005	NC_037100.1	19813233	24766540	4953308
NC_037100.1	scat_0006	NC_037100.1	24766541	29719848	4953308
NC_037100.1	scat_0007	NC_037100.1	29719849	34673156	4953308
NC_037100.1	scat_0008	NC_037100.1	34673157	39626464	4953308
NC_037100.1	scat_0009	NC_037100.1	39626465	44579772	4953308
NC_037100.1	scat_0010	NC_037100.1	44579773	49533080	4953308
NC_037100.1	scat_0011	NC_037100.1	49533081	54486388	4953308
NC_037100.1	scat_0012	NC_037100.1	54486389	59439696	4953308
NC_037100.1	scat_0013	NC_037100.1	59439697	64393004	4953308
NC_037100.1	scat_0014	NC_037100.1	64393005	69346312	4953308
NC_037100.1	scat_0015	NC_037100.1	69346313	74299616	4953304
NC_037101.1	scat_0001	NC_037101.1	1	4909029	4909029
NC_037101.1	scat_0002	NC_037101.1	4909030	9818058	4909029
NC_037101.1	scat_0003	NC_037101.1	9818059	14727087	4909029
NC_037101.1	scat_0004	NC_037101.1	14727088	19636116	4909029
NC_037101.1	scat_0005	NC_037101.1	19636117	24545145	4909029
NC_037101.1	scat_0006	NC_037101.1	24545146	29454174	4909029
NC_037101.1	scat_0007	NC_037101.1	29454175	34363203	4909029
NC_037101.1	scat_0008	NC_037101.1	34363204	39272232	4909029
NC_037101.1	scat_0009	NC_037101.1	39272233	44181261	4909029
NC_037101.1	scat_0010	NC_037101.1	44181262	49090290	4909029
NC_037101.1	scat_0011	NC_037101.1	49090291	53999319	4909029
NC_037101.1	scat_0012	NC_037101.1	53999320	58908348	4909029
NC_037101.1	scat_0013	NC_037101.1	58908349	63817377	4909029
NC_037101.1	scat_0014	NC_037101.1	63817378	68726406	4909029
NC_037101.1	scat_0015	NC_037101.1	68726407	73635435	4909029
NC_037101.1	scat_0016	NC_037101.1	73635436	78544464	4909029
NC_037101.1	scat_0017	NC_037101.1	78544465	83453493	4909029
NC_037101.1	scat_0018	NC_037101.1	83453494	88362522	4909029
NC_037101.1	scat_0019	NC_037101.1	88362523	93271540	4909018
NC_037102.1	scat_0001	NC_037102.1	1	4813085	4813085
NC_037102.1	scat_0002	NC_037102.1	4813086	9626170	4813085
NC_037102.1	scat_0003	NC_037102.1	9626171	14439255	4813085
NC_037102.1	scat_0004	NC_037102.1	14439256	19252340	4813085
NC_037102.1	scat_0005	NC_037102.1	19252341	24065425	4813085
NC_037102.1	scat_0006	NC_037102.1	24065426	28878510	4813085
NC_037102.1	scat_0007	NC_037102.1	28878511	33691595	4813085
NC_037102.1	scat_0008	NC_037102.1	33691596	38504680	4813085
NC_037102.1	scat_0009	NC_037102.1	38504681	43317765	4813085
NC_037102.1	scat_0010	NC_037102.1	43317766	48130850	4813085
NC_037102.1	scat_0011	NC_037102.1	48130851	52943935	4813085
NC_037102.1	scat_0012	NC_037102.1	52943936	57757020	4813085
NC_037102.1	scat_0013	NC_037102.1	57757021	62570105	4813085
NC_037102.1	scat_0014	NC_037102.1	62570106	67383190	4813085
NC_037102.1	scat_0015	NC_037102.1	67383191	72196275	4813085
NC_037102.1	scat_0016	NC_037102.1	72196276	77009353	4813078
NC_037103.1	scat_0001	NC_037103.1	1	4830729	4830729
NC_037103.1	scat_0002	NC_037103.1	4830730	9661458	4830729
NC_037103.1	scat_0003	NC_037103.1	9661459	14492187	4830729
NC_037103.1	scat_0004	NC_037103.1	14492188	19322916	4830729
NC_037103.1	scat_0005	NC_037103.1	19322917	24153645	4830729
NC_037103.1	scat_0006	NC_037103.1	24153646	28984374	4830729
NC_037103.1	scat_0007	NC_037103.1	28984375	33815103	4830729
NC_037103.1	scat_0008	NC_037103.1	33815104	38645832	4830729
NC_037103.1	scat_0009	NC_037103.1	38645833	43476561	4830729
NC_037103.1	scat_0010	NC_037103.1	43476562	48307290	4830729
NC_037103.1	scat_0011	NC_037103.1	48307291	53138019	4830729
NC_037103.1	scat_0012	NC_037103.1	53138020	57968748	4830729
NC_037103.1	scat_0013	NC_037103.1	57968749	62799477	4830729
NC_037103.1	scat_0014	NC_037103.1	62799478	67630206	4830729
NC_037103.1	scat_0015	NC_037103.1	67630207	72460935	4830729
NC_037103.1	scat_0016	NC_037103.1	72460936	77291664	4830729
NC_037103.1	scat_0017	NC_037103.1	77291665	82122393	4830729
NC_037103.1	scat_0018	NC_037103.1	82122394	86953105	4830712
NC_037104.1	scat_0001	NC_037104.1	1	4886494	4886494
NC_037104.1	scat_0002	NC_037104.1	4886495	9772988	4886494
NC_037104.1	scat_0003	NC_037104.1	9772989	14659482	4886494
NC_037104.1	scat_0004	NC_037104.1	14659483	19545976	4886494
NC_037104.1	scat_0005	NC_037104.1	19545977	24432470	4886494
NC_037104.1	scat_0006	NC_037104.1	24432471	29318964	4886494
NC_037104.1	scat_0007	NC_037104.1	29318965	34205458	4886494
NC_037104.1	scat_0008	NC_037104.1	34205459	39091952	4886494
NC_037104.1	scat_0009	NC_037104.1	39091953	43978446	4886494
NC_037104.1	scat_0010	NC_037104.1	43978447	48864940	4886494
NC_037104.1	scat_0011	NC_037104.1	48864941	53751434	4886494
NC_037104.1	scat_0012	NC_037104.1	53751435	58637928	4886494
NC_037104.1	scat_0013	NC_037104.1	58637929	63524422	4886494
NC_037104.1	scat_0014	NC_037104.1	63524423	68410916	4886494
NC_037104.1	scat_0015	NC_037104.1	68410917	73297397	4886481
NC_037105.1	scat_0001	NC_037105.1	1	4782756	4782756
NC_037105.1	scat_0002	NC_037105.1	4782757	9565512	4782756
NC_037105.1	scat_0003	NC_037105.1	9565513	14348268	4782756
NC_037105.1	scat_0004	NC_037105.1	14348269	19131024	4782756
NC_037105.1	scat_0005	NC_037105.1	19131025	23913780	4782756
NC_037105.1	scat_0006	NC_037105.1	23913781	28696536	4782756
NC_037105.1	scat_0007	NC_037105.1	28696537	33479292	4782756
NC_037105.1	scat_0008	NC_037105.1	33479293	38262048	4782756
NC_037105.1	scat_0009	NC_037105.1	38262049	43044804	4782756
NC_037105.1	scat_0010	NC_037105.1	43044805	47827560	4782756
NC_037105.1	scat_0011	NC_037105.1	47827561	52610316	4782756
NC_037105.1	scat_0012	NC_037105.1	52610317	57393072	4782756
NC_037105.1	scat_0013	NC_037105.1	57393073	62175828	4782756
NC_037105.1	scat_0014	NC_037105.1	62175829	66958584	4782756
NC_037105.1	scat_0015	NC_037105.1	66958585	71741340	4782756
NC_037105.1	scat_0016	NC_037105.1	71741341	76524096	4782756
NC_037105.1	scat_0017	NC_037105.1	76524097	81306852	4782756
NC_037105.1	scat_0018	NC_037105.1	81306853	86089608	4782756
NC_037105.1	scat_0019	NC_037105.1	86089609	90872356	4782748
NC_037106.1	scat_0001	NC_037106.1	1	4684519	4684519
NC_037106.1	scat_0002	NC_037106.1	4684520	9369038	4684519
NC_037106.1	scat_0003	NC_037106.1	9369039	14053557	4684519
NC_037106.1	scat_0004	NC_037106.1	14053558	18738076	4684519
NC_037106.1	scat_0005	NC_037106.1	18738077	23422595	4684519
NC_037106.1	scat_0006	NC_037106.1	23422596	28107114	4684519
NC_037106.1	scat_0007	NC_037106.1	28107115	32791633	4684519
NC_037106.1	scat_0008	NC_037106.1	32791634	37476152	4684519
NC_037106.1	scat_0009	NC_037106.1	37476153	42160671	4684519
NC_037106.1	scat_0010	NC_037106.1	42160672	46845190	4684519
NC_037106.1	scat_0011	NC_037106.1	46845191	51529709	4684519
NC_037106.1	scat_0012	NC_037106.1	51529710	56214228	4684519
NC_037106.1	scat_0013	NC_037106.1	56214229	60898746	4684518
NC_037107.1	scat_0001	NC_037107.1	1	4805264	4805264
NC_037107.1	scat_0002	NC_037107.1	4805265	9610528	4805264
NC_037107.1	scat_0003	NC_037107.1	9610529	14415792	4805264
NC_037107.1	scat_0004	NC_037107.1	14415793	19221056	4805264
NC_037107.1	scat_0005	NC_037107.1	19221057	24026320	4805264
NC_037107.1	scat_0006	NC_037107.1	24026321	28831584	4805264
NC_037107.1	scat_0007	NC_037107.1	28831585	33636848	4805264
NC_037107.1	scat_0008	NC_037107.1	33636849	38442112	4805264
NC_037107.1	scat_0009	NC_037107.1	38442113	43247376	4805264
NC_037107.1	scat_0010	NC_037107.1	43247377	48052637	4805261
NC_037108.1	scat_0001	NC_037108.1	1	4820476	4820476
NC_037108.1	scat_0002	NC_037108.1	4820477	9640952	4820476
NC_037108.1	scat_0003	NC_037108.1	9640953	14461428	4820476
NC_037108.1	scat_0004	NC_037108.1	14461429	19281904	4820476
NC_037108.1	scat_0005	NC_037108.1	19281905	24102380	4820476
NC_037108.1	scat_0006	NC_037108.1	24102381	28922856	4820476
NC_037108.1	scat_0007	NC_037108.1	28922857	33743332	4820476
NC_037108.1	scat_0008	NC_037108.1	33743333	38563808	4820476
NC_037108.1	scat_0009	NC_037108.1	38563809	43384284	4820476
NC_037108.1	scat_0010	NC_037108.1	43384285	48204760	4820476
NC_037108.1	scat_0011	NC_037108.1	48204761	53025236	4820476
NC_037108.1	scat_0012	NC_037108.1	53025237	57845712	4820476
NC_037108.1	scat_0013	NC_037108.1	57845713	62666188	4820476
NC_037108.1	scat_0014	NC_037108.1	62666189	67486664	4820476
NC_037108.1	scat_0015	NC_037108.1	67486665	72307140	4820476
NC_037108.1	scat_0016	NC_037108.1	72307141	77127610	4820470
NC_037109.1	scat_0001	NC_037109.1	1	4705538	4705538
NC_037109.1	scat_0002	NC_037109.1	4705539	9411076	4705538
NC_037109.1	scat_0003	NC_037109.1	9411077	14116614	4705538
NC_037109.1	scat_0004	NC_037109.1	14116615	18822152	4705538
NC_037109.1	scat_0005	NC_037109.1	18822153	23527690	4705538
NC_037109.1	scat_0006	NC_037109.1	23527691	28233228	4705538
NC_037109.1	scat_0007	NC_037109.1	28233229	32938766	4705538
NC_037109.1	scat_0008	NC_037109.1	32938767	37644304	4705538
NC_037109.1	scat_0009	NC_037109.1	37644305	42349842	4705538
NC_037109.1	scat_0010	NC_037109.1	42349843	47055380	4705538
