id	chrom	len	cumul
scaff_group001	NW_024606619.1	10027	10027
scaff_group001	NW_024606620.1	10041	20068
scaff_group001	NW_024606621.1	10041	30109
scaff_group001	NW_024606622.1	10055	40164
scaff_group001	NW_024606623.1	10071	50235
scaff_group001	NW_024606624.1	10071	60306
scaff_group001	NW_024606625.1	10072	70378
scaff_group001	NW_024606626.1	10078	80456
scaff_group001	NW_024606627.1	10080	90536
scaff_group001	NW_024606628.1	10085	100621
scaff_group001	NW_024606629.1	10104	110725
scaff_group001	NW_024606630.1	10120	120845
scaff_group001	NW_024606631.1	10127	130972
scaff_group001	NW_024606632.1	10136	141108
scaff_group001	NW_024606633.1	10137	151245
scaff_group001	NW_024606634.1	10142	161387
scaff_group001	NW_024606635.1	10143	171530
scaff_group001	NW_024606636.1	10148	181678
scaff_group001	NW_024606637.1	10164	191842
scaff_group001	NW_024606638.1	10168	202010
scaff_group001	NW_024606639.1	10173	212183
scaff_group001	NW_024606640.1	10175	222358
scaff_group001	NW_024606641.1	10175	232533
scaff_group001	NW_024606642.1	10181	242714
scaff_group001	NW_024606643.1	10186	252900
scaff_group001	NW_024606644.1	10203	263103
scaff_group001	NW_024606645.1	10207	273310
scaff_group001	NW_024606646.1	10215	283525
scaff_group001	NW_024606647.1	10221	293746
scaff_group001	NW_024606648.1	10227	303973
scaff_group001	NW_024606649.1	10252	314225
scaff_group001	NW_024606650.1	10254	324479
scaff_group001	NW_024606651.1	10259	334738
scaff_group001	NW_024606652.1	10268	345006
scaff_group001	NW_024606653.1	10289	355295
scaff_group001	NW_024606654.1	10293	365588
scaff_group001	NW_024606655.1	10293	375881
scaff_group001	NW_024606656.1	10296	386177
scaff_group001	NW_024606657.1	10308	396485
scaff_group001	NW_024606658.1	10319	406804
scaff_group001	NW_024606659.1	10324	417128
scaff_group001	NW_024606660.1	10325	427453
scaff_group001	NW_024606661.1	10361	437814
scaff_group001	NW_024606662.1	10367	448181
scaff_group001	NW_024606663.1	10372	458553
scaff_group001	NW_024606664.1	10402	468955
scaff_group001	NW_024606665.1	10414	479369
scaff_group001	NW_024606666.1	10416	489785
scaff_group001	NW_024606667.1	10449	500234
scaff_group001	NW_024606668.1	10490	510724
scaff_group001	NW_024606669.1	10494	521218
scaff_group001	NW_024606670.1	10505	531723
scaff_group001	NW_024606671.1	10517	542240
scaff_group001	NW_024606672.1	10528	552768
scaff_group001	NW_024606673.1	10547	563315
scaff_group001	NW_024606674.1	10565	573880
scaff_group001	NW_024606675.1	10565	584445
scaff_group001	NW_024606676.1	10571	595016
scaff_group001	NW_024606677.1	10594	605610
scaff_group001	NW_024606678.1	10597	616207
scaff_group001	NW_024606679.1	10599	626806
scaff_group001	NW_024606680.1	10606	637412
scaff_group001	NW_024606681.1	10615	648027
scaff_group001	NW_024606682.1	10622	658649
scaff_group001	NW_024606683.1	10651	669300
scaff_group001	NW_024606684.1	10661	679961
scaff_group001	NW_024606685.1	10680	690641
scaff_group001	NW_024606686.1	10704	701345
scaff_group001	NW_024606687.1	10708	712053
scaff_group001	NW_024606688.1	10716	722769
scaff_group001	NW_024606689.1	10742	733511
scaff_group001	NW_024606690.1	10749	744260
scaff_group001	NW_024606691.1	10762	755022
scaff_group001	NW_024606692.1	10789	765811
scaff_group001	NW_024606693.1	10812	776623
scaff_group001	NW_024606694.1	10813	787436
scaff_group001	NW_024606695.1	10827	798263
scaff_group001	NW_024606696.1	10838	809101
scaff_group001	NW_024606697.1	10901	820002
scaff_group001	NW_024606698.1	10913	830915
scaff_group001	NW_024606699.1	10938	841853
scaff_group001	NW_024606700.1	10939	852792
scaff_group001	NW_024606701.1	10946	863738
scaff_group001	NW_024606702.1	10994	874732
scaff_group001	NW_024606703.1	11007	885739
scaff_group001	NW_024606704.1	11011	896750
scaff_group001	NW_024606705.1	11019	907769
scaff_group001	NW_024606706.1	11035	918804
scaff_group001	NW_024606707.1	11049	929853
scaff_group001	NW_024606708.1	11050	940903
scaff_group001	NW_024606709.1	11066	951969
scaff_group001	NW_024606710.1	11068	963037
scaff_group001	NW_024606711.1	11084	974121
scaff_group001	NW_024606712.1	11093	985214
scaff_group001	NW_024606713.1	11096	996310
scaff_group001	NW_024606714.1	11100	1007410
scaff_group001	NW_024606715.1	11106	1018516
scaff_group001	NW_024606716.1	11120	1029636
scaff_group001	NW_024606717.1	11131	1040767
scaff_group001	NW_024606718.1	11135	1051902
scaff_group001	NW_024606719.1	11137	1063039
scaff_group001	NW_024606720.1	11157	1074196
scaff_group001	NW_024606721.1	11161	1085357
scaff_group001	NW_024606722.1	11163	1096520
scaff_group001	NW_024606723.1	11165	1107685
scaff_group001	NW_024606724.1	11166	1118851
scaff_group001	NW_024606725.1	11185	1130036
scaff_group001	NW_024606726.1	11186	1141222
scaff_group001	NW_024606727.1	11200	1152422
scaff_group001	NW_024606728.1	11200	1163622
scaff_group001	NW_024606729.1	11239	1174861
scaff_group001	NW_024606730.1	11242	1186103
scaff_group001	NW_024606731.1	11245	1197348
scaff_group001	NW_024606732.1	11262	1208610
scaff_group001	NW_024606733.1	11309	1219919
scaff_group001	NW_024606734.1	11323	1231242
scaff_group001	NW_024606735.1	11328	1242570
scaff_group001	NW_024606736.1	11352	1253922
scaff_group001	NW_024606737.1	11360	1265282
scaff_group001	NW_024606738.1	11369	1276651
scaff_group001	NW_024606739.1	11370	1288021
scaff_group001	NW_024606740.1	11377	1299398
scaff_group001	NW_024606741.1	11378	1310776
scaff_group001	NW_024606742.1	11386	1322162
scaff_group001	NW_024606743.1	11420	1333582
scaff_group001	NW_024606744.1	11450	1345032
scaff_group001	NW_024606745.1	11458	1356490
scaff_group001	NW_024606746.1	11459	1367949
scaff_group001	NW_024606747.1	11535	1379484
scaff_group001	NW_024606748.1	11545	1391029
scaff_group001	NW_024606749.1	11602	1402631
scaff_group001	NW_024606750.1	11609	1414240
scaff_group001	NW_024606751.1	11619	1425859
scaff_group001	NW_024606752.1	11628	1437487
scaff_group001	NW_024606753.1	11636	1449123
scaff_group001	NW_024606754.1	11646	1460769
scaff_group001	NW_024606755.1	11649	1472418
scaff_group001	NW_024606756.1	11660	1484078
scaff_group001	NW_024606757.1	11667	1495745
scaff_group001	NW_024606758.1	11670	1507415
scaff_group001	NW_024606759.1	11681	1519096
scaff_group001	NW_024606760.1	11699	1530795
scaff_group001	NW_024606761.1	11730	1542525
scaff_group001	NW_024606762.1	11737	1554262
scaff_group001	NW_024606763.1	11743	1566005
scaff_group001	NW_024606764.1	11752	1577757
scaff_group001	NW_024606765.1	11777	1589534
scaff_group001	NW_024606766.1	11779	1601313
scaff_group001	NW_024606767.1	11787	1613100
scaff_group001	NW_024606768.1	11793	1624893
scaff_group001	NW_024606769.1	11810	1636703
scaff_group001	NW_024606770.1	11819	1648522
scaff_group001	NW_024606771.1	11821	1660343
scaff_group001	NW_024606772.1	11824	1672167
scaff_group001	NW_024606773.1	11844	1684011
scaff_group001	NW_024606774.1	11859	1695870
scaff_group001	NW_024606775.1	11884	1707754
scaff_group001	NW_024606776.1	11890	1719644
scaff_group001	NW_024606777.1	11890	1731534
scaff_group001	NW_024606778.1	11906	1743440
scaff_group001	NW_024606779.1	11916	1755356
scaff_group001	NW_024606780.1	11923	1767279
scaff_group001	NW_024606781.1	11940	1779219
scaff_group001	NW_024606782.1	11944	1791163
scaff_group001	NW_024606783.1	11947	1803110
scaff_group001	NW_024606784.1	11957	1815067
scaff_group001	NW_024606785.1	11962	1827029
scaff_group001	NW_024606786.1	11967	1838996
scaff_group001	NW_024606787.1	12000	1850996
scaff_group001	NW_024606788.1	12014	1863010
scaff_group001	NW_024606789.1	12039	1875049
scaff_group001	NW_024606790.1	12070	1887119
scaff_group001	NW_024606791.1	12078	1899197
scaff_group001	NW_024606792.1	12099	1911296
scaff_group001	NW_024606793.1	12110	1923406
scaff_group001	NW_024606794.1	12114	1935520
